pie,shape,polymer type,number_of_particles,comment
Spherules_opaque,sphere,PS,18,
Spherules_opaque,sphere,PE,4,
Spherules_opaque,sphere,PP,1,
Spherules_opaque,sphere,PVC,1,
Spherules_opaque,sphere,Other,2,
Spherules_transparent,sphere,PS,11,
Spherules_transparent,sphere,PMMA,2,
Fragments,fragment,PS,10,
Fragments,fragment,PE,23,
Fragments,fragment,PP,6,
Fragments,fragment,Polyester,5,"Labeled as 1% in Fig. S1, but has to be larger; value calculated from other particles and total number of particles"
Fragments,fragment,Other,11,
Fibres,fibre,PS,1,
Fibres,fibre,PE,1,
Fibres,fibre,PP,13,
Fibres,fibre,Polyester,1,
Fibres,fibre,PVC,1,
Fibres,fibre,Other,2,
Foam,fragment,PS,4,
Foam,fragment,Other,1,
