Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.1_0-5_1-8_1v5\ML1.1 0-5 1-8 1v5.ilab
Date of Export:;2021-05-07 16:52:09
Classes:;24
Particles on File:;6745

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;84
;2;PET;PET;9
;3;PA;PA;9
;4;PC;PC;8
;5;PMMA;PMMA;51
;6;PVC;PVC;41
;7;PE;PE;594
;8;PP;PP;281
;9;POM;POM;17
;10;ABS;ABS;6
;11;PAN;PAN;1
;12;PS;PS;102
;13;PBT;PBT;2
;14;PPSU;PPSU;0
;15;CA;CA;3
;16;EVAc;EVAc;207
;17;PEEK;PEEK;0
;18;EVOH;EVOH;6
;19;PSU;PSU;0
;20;SILICONE;SI;6
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;5318
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;1427

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00001;1;122,102499999944;1;PU;52;522;52;52;522;522;52;522;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44784292345679;0,30297117999724;;"";"";"";"";"";""
;00002;1;122,102499999944;1;PU;92;521;92;92;521;521;92;521;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,57463466666667;0,28446320989441;;"";"";"";"";"";""
;00003;1;122,102499999944;1;PU;106;699;106;106;699;699;106;699;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43687183227074;8,50342561052842E-02;;"";"";"";"";"";""
;00004;1;122,102499999944;1;PU;110;652;110;110;652;652;110;652;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40009728000000;0,10383607151305;;"";"";"";"";"";""
;00005;1;122,102499999944;1;PU;134;269;134;134;269;269;134;269;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36117374453775;0,38319922738088;;"";"";"";"";"";""
;00006;1;122,102499999944;1;PU;161;515;161;161;515;515;161;515;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42014121201506;0,52006457946957;;"";"";"";"";"";""
;00007;1;122,102499999944;1;PU;166;764;166;166;764;764;166;764;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,31405771342025;0,20647661445856;;"";"";"";"";"";""
;00008;6;732,614999999662;1;PU;169;758;169;170;758;761;169;760;0,22381453572523;0,97463175281647;4,14770979417472;2,19844628854170;1,88665505079318;77,0668216029527;0,37382826666667;0,18249863391379;;"";"";"";"";"";""
;00009;1;122,102499999944;1;PU;170;764;170;170;764;764;170;764;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43837819259259;0,41560726051354;;"";"";"";"";"";""
;00010;1;122,102499999944;1;PU;174;484;174;174;484;484;174;484;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34493808977119;7,67416671242075E-02;;"";"";"";"";"";""
;00011;1;122,102499999944;1;PU;183;187;183;183;187;187;183;187;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46540964345679;7,89615251967447E-02;;"";"";"";"";"";""
;00012;2;244,204999999887;1;PU;190;591;190;191;591;591;190;591;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,46168888888889;5,81667589567551E-02;;"";"";"";"";"";""
;00013;1;122,102499999944;1;PU;192;446;192;192;446;446;192;446;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35972678837764;0,53025414743677;;"";"";"";"";"";""
;00014;6;732,614999999662;1;PU;209;160;209;210;160;163;209;162;0,22381453572523;0,97463175281647;4,14770979417466;2,19844628854170;1,88665505079315;77,0668216029527;0,20264768853333;0,51178067496775;;"";"";"";"";"";""
;00015;4;488,409999999775;1;PU;212;153;212;213;153;155;212;154;0,52573111211913;0,85065080835204;3,22703272882322;1,85065080835204;1,74372859226577;58,2825255885390;0,67823407407407;0,25362106737583;;"";"";"";"";"";""
;00016;33;4029,38249999814;1;PU;212;156;212;219;156;162;215;159;0,95189309809145;0,30643030170963;9,50183349689798;5,08140050111288;1,86992414686010;17,8442349915957;0,79175830004622;0,44635256210130;;"";"";"";"";"";""
;00017;1;122,102499999944;1;PU;247;735;247;247;735;735;247;735;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40827828148148;0,45293604780167;;"";"";"";"";"";""
;00018;1;122,102499999944;1;PU;258;830;258;258;830;830;258;830;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48386503111111;0,22276115305581;;"";"";"";"";"";""
;00019;1;122,102499999944;1;PU;313;449;313;313;449;449;313;449;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50491426049054;0,61554045367740;;"";"";"";"";"";""
;00020;1;122,102499999944;1;PU;313;452;313;313;452;452;313;452;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35547356807645;0,54155408325136;;"";"";"";"";"";""
;00021;1;122,102499999944;1;PU;321;656;321;321;656;656;321;656;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46358397197695;4,22386353426144E-02;;"";"";"";"";"";""
;00022;1;122,102499999944;1;PU;321;846;321;321;846;846;321;846;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40733809777778;1,04667371737599E-02;;"";"";"";"";"";""
;00023;26;3174,66499999854;1;PU;330;861;330;340;861;869;334;866;0,70303616562512;0,71115409710071;13,7195944330568;3,85273431987844;3,56100195185265;45,3288935834543;0,59430387105185;0,42587616554546;;"";"";"";"";"";""
;00024;1;122,102499999944;1;PU;332;879;332;332;879;879;332;879;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,57315555555556;0,26400369474166;;"";"";"";"";"";""
;00025;1;122,102499999944;1;PU;342;868;342;342;868;868;342;868;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47549629629630;0,35575960051469;;"";"";"";"";"";""
;00026;1;122,102499999944;1;PU;369;922;369;369;922;922;369;922;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53646294635457;0,55567885019328;;"";"";"";"";"";""
;00027;1;122,102499999944;1;PU;370;428;370;370;428;428;370;428;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37033411590836;0,11443821353123;;"";"";"";"";"";""
;00028;1;122,102499999944;1;PU;393;415;393;393;415;415;393;415;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30288447002316;0,57620530254000;;"";"";"";"";"";""
;00029;1;122,102499999944;1;PU;404;415;404;404;415;415;404;415;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32967017799174;0,29348074100734;;"";"";"";"";"";""
;00030;1;122,102499999944;1;PU;435;81;435;435;81;81;435;81;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44610074698728;0,16609440403514;;"";"";"";"";"";""
;00031;1;122,102499999944;1;PU;464;818;464;464;818;818;464;818;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,21022395354074;0,24454334555582;;"";"";"";"";"";""
;00032;1;122,102499999944;1;PU;471;790;471;471;790;790;471;790;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,19765793668892;0,23480397710050;;"";"";"";"";"";""
;00033;1;122,102499999944;1;PU;471;828;471;471;828;828;471;828;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42031756261199;0,10794457139484;;"";"";"";"";"";""
;00034;1;122,102499999944;1;PU;477;784;477;477;784;784;477;784;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34852918613333;0,44541431469581;;"";"";"";"";"";""
;00035;1;122,102499999944;1;PU;481;806;481;481;806;806;481;806;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36629070633086;0,16292961780561;;"";"";"";"";"";""
;00036;1;122,102499999944;1;PU;482;400;482;482;400;400;482;400;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41833690621893;1,51964542019313E-02;;"";"";"";"";"";""
;00037;1;122,102499999944;1;PU;561;701;561;561;701;701;561;701;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53770350238025;0,77114239943163;;"";"";"";"";"";""
;00038;5;610,512499999719;1;PU;569;709;569;570;708;710;570;709;-0,31622776601684;0,94868329805051;3,21359436211793;2,26491106406729;1,41886116991588;108,434948822922;0,54419456000000;0,78402480385602;;"";"";"";"";"";""
;00039;1;122,102499999944;1;PU;574;782;574;574;782;782;574;782;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,31536069419896;0,35339527311021;;"";"";"";"";"";""
;00040;1;122,102499999944;1;PU;586;908;586;586;908;908;586;908;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48656648975802;0,25121996311517;;"";"";"";"";"";""
;00041;1;122,102499999944;1;PU;594;535;594;594;535;535;594;535;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41220329529370;0,17357051249351;;"";"";"";"";"";""
;00042;1;122,102499999944;1;PU;610;859;610;610;859;859;610;859;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37568307514735;0,17839476549650;;"";"";"";"";"";""
;00043;1;122,102499999944;1;PU;616;793;616;616;793;793;616;793;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37323396740741;0,18145902359556;;"";"";"";"";"";""
;00044;1;122,102499999944;1;PU;617;781;617;617;781;781;617;781;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44992000000000;0,00000000000000;;"";"";"";"";"";""
;00045;1;122,102499999944;1;PU;623;88;623;623;88;88;623;88;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49484893752889;0,24384131992613;;"";"";"";"";"";""
