Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.1_0-5_1-8_2v5\ML1.1_0-5_1-8_2v5.ilab
Date of Export:;2021-05-07 11:52:05
Classes:;24
Particles on File:;5398

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;16
;2;PET;PET;4
;3;PA;PA;2
;4;PC;PC;0
;5;PMMA;PMMA;52
;6;PVC;PVC;30
;7;PE;PE;264
;8;PP;PP;150
;9;POM;POM;3
;10;ABS;ABS;6
;11;PAN;PAN;0
;12;PS;PS;166
;13;PBT;PBT;1
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;100
;17;PEEK;PEEK;0
;18;EVOH;EVOH;2
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;4599
;23;PLA;PLA;2
;24;PLA-PBAT;PLAPBAT;1

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;799

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00001;1;122,102499999984;1;PU;126;314;126;126;314;314;126;314;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35436929920737;0,10075901777192;;"";"";"";"";"";""
;00002;2;244,204999999968;1;PU;183;769;183;183;769;770;183;770;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,33814728256229;0,54007492569649;;"";"";"";"";"";""
;00003;1;122,102499999984;1;PU;236;313;236;236;313;313;236;313;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,31514927407407;3,44005930551236E-02;;"";"";"";"";"";""
;00004;2;244,204999999968;1;PU;236;528;236;237;528;528;236;528;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,47395555555556;0,30661177660365;;"";"";"";"";"";""
;00005;1;122,102499999984;1;PU;297;773;297;297;773;773;297;773;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42037680861235;3,71634442090257E-02;;"";"";"";"";"";""
;00006;1;122,102499999984;1;PU;323;453;323;323;453;453;323;453;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41106290915556;4,08360505546794E-02;;"";"";"";"";"";""
;00007;1;122,102499999984;1;PU;327;674;327;327;674;674;327;674;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42602951111111;0,29484428381381;;"";"";"";"";"";""
;00008;1;122,102499999984;1;PU;371;705;371;371;705;705;371;705;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41136339373827;0,20198634123632;;"";"";"";"";"";""
;00009;1;122,102499999984;1;PU;513;852;513;513;852;852;513;852;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,26337283240132;0,27747140748196;;"";"";"";"";"";""
;00010;2;244,204999999968;1;PU;560;770;560;561;770;770;560;770;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,47858998992593;0,27669725191756;;"";"";"";"";"";""
;00011;1;122,102499999984;1;PU;562;769;562;562;769;769;562;769;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,70875970370370;0,35509577948965;;"";"";"";"";"";""
;00012;1;122,102499999984;1;PU;596;440;596;596;440;440;596;440;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,31738884551111;0,31846101882680;;"";"";"";"";"";""
;00013;1;122,102499999984;1;PU;670;665;670;670;665;665;670;665;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32168894712855;0,27103383885587;;"";"";"";"";"";""
;00014;6;732,614999999903;1;PU;722;452;722;724;452;453;723;452;1,00000000000000;0,00000000000000;3,00000000000000;2,00000000000000;1,50000000000000;0,00000000000000;0,36554404767078;0,34537780656860;;"";"";"";"";"";""
;00015;2;244,204999999968;1;PU;752;766;752;753;766;766;752;766;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,30710749592615;0,17333305330140;;"";"";"";"";"";""
;00016;1;122,102499999984;1;PU;861;422;861;861;422;422;861;422;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48837973333333;0,39883018745717;;"";"";"";"";"";""
;00017;1;122,102499999984;2;PET;188;717;188;188;717;717;188;717;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35728366408825;0,31880513143714;;"";"";"";"";"";""
;00018;221;26984,6524999964;2;PET;418;897;398;418;890;911;407;901;9,94557413455711E-02;0,99504198680930;23,0893506191420;21,6964856669506;1,06419772186023;84,2921694845549;0,00000000000000;0,00000000000000;OK;"ja";"Fragment";"transparent";"304";"273";""
;00019;37;4517,79249999940;7;PE;102;572;92;102;572;578;96;575;0,93189924098292;-0,36271725166505;11,4071441648244;6,33471848460420;1,80073419087970;158,732834178670;0,00000000000000;0,00000000000000;OK;"ja";"Fragment";"schwarz";"229";"121";""
;00020;57;6959,84249999908;7;PE;135;523;120;135;521;527;126;524;0,97786518357373;-0,20923594995678;16,5049215534331;6,16687643403566;2,67638272470333;167,922419271833;0,00000000000000;0,00000000000000;OK;"ja";"Fragment";"grau";"209";"118";""
;00021;1;122,102499999984;2;PET;949;594;949;949;594;594;949;594;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,82090666666667;0,60863976353916;;"";"";"";"";"";""
;00022;2;244,204999999968;2;PET;960;386;960;960;386;387;960;386;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,58440979599003;0,27752926839347;;"";"";"";"";"";""
;00023;1;122,102499999984;3;PA;885;577;885;885;577;577;885;577;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30228320179661;0,69323302759636;;"";"";"";"";"";""
;00024;11;1343,12749999982;3;PA;934;404;934;938;404;406;936;405;0,97324898946773;0,22975292054736;5,12274887841818;3,17625089948280;1,61282878479541;13,2825255885390;0,60725342814815;0,85841320509954;OK;"ja";"Fragment";"grau";"68";"62";""
;00025;1;122,102499999984;5;PMMA;164;481;164;164;481;481;164;481;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,52514767239059;0,49531188161416;OK;"ja";"Fragment";"";"22";"11";""
;00026;1;122,102499999984;5;PMMA;165;482;165;165;482;482;165;482;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44800000000000;0,47081335333716;;"";"";"";"";"";""
;00027;1;122,102499999984;5;PMMA;170;613;170;170;613;613;170;613;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,29933973648362;0,45032410986037;;"";"";"";"";"";""
;00028;1;122,102499999984;5;PMMA;171;614;171;171;614;614;171;614;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36109830320988;0,31132479820509;;"";"";"";"";"";""
;00029;13;1587,33249999979;5;PMMA;181;325;181;185;324;326;183;325;1,00000000000000;0,00000000000000;5,00000000000000;3,00000000000000;1,66666666666667;0,00000000000000;0,52089213797629;0,60032926989589;OK;"ja";"Kugel";"transparent";"86";"86";""
;00030;2;244,204999999968;5;PMMA;193;719;193;194;719;719;194;719;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,67584000000000;0,43669936219246;;"";"";"";"";"";""
;00031;2;244,204999999968;5;PMMA;219;721;219;220;721;721;220;721;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,47524351855103;0,40087333600076;;"";"";"";"";"";""
;00032;1;122,102499999984;5;PMMA;237;312;237;237;312;312;237;312;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36403913007407;0,00000000000000;;"";"";"";"";"";""
;00033;1;122,102499999984;5;PMMA;238;467;238;238;467;467;238;467;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41854701190719;0,36477407240859;;"";"";"";"";"";""
;00034;1;122,102499999984;5;PMMA;293;308;293;293;308;308;293;308;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30628847269092;0,60672144404083;;"";"";"";"";"";""
;00035;1;122,102499999984;5;PMMA;295;304;295;295;304;304;295;304;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,23375930338963;0,75605690743453;;"";"";"";"";"";""
