Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.3_0-5_1-256_2v5\ML1.3_0-5_1-256_2v5.ilab
Date of Export:;2021-04-20 11:36:18
Classes:;24
Particles on File:;13818

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;26
;2;PET;PET;3
;3;PA;PA;4
;4;PC;PC;1
;5;PMMA;PMMA;5
;6;PVC;PVC;4
;7;PE;PE;37
;8;PP;PP;6
;9;POM;POM;4
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;1
;13;PBT;PBT;1
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;1
;22;Non-Polymer;Non-Polymer;13725
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;92

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer;Shape;Length;Width;Comment
;00001;1;122,102499999944;1;PU;102;740;102;102;740;740;102;740;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53387232395062;0,00000000000000;;"";"";"";"";""
;00002;13;1587,33249999927;1;PU;105;615;105;109;614;616;107;615;0,96649964876467;-0,25666793515702;5,37933446537272;3,44633516784324;1,56088546336576;165,127559351529;0,98666666666667;0,00000000000000;;"";"";"";"";""
;00003;1;122,102499999944;1;PU;116;539;116;116;539;539;116;539;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37717333333333;0,00000000000000;;"";"";"";"";""
;00004;1;122,102499999944;1;PU;116;543;116;116;543;543;116;543;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41674928987654;0,00000000000000;;"";"";"";"";""
;00005;1;122,102499999944;1;PU;150;234;150;150;234;234;150;234;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46970829432099;0,00000000000000;;"";"";"";"";""
;00006;1;122,102499999944;1;PU;151;232;151;151;232;232;151;232;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,55804444444444;0,00000000000000;;"";"";"";"";""
;00007;11;1343,12749999938;1;PU;154;231;154;157;231;235;155;233;0,50809147223206;0,86130311496306;5,10818376158534;4,09200081712123;1,24833400331015;59,4632129176268;0,31038130251852;0,00000000000000;;"";"";"";"";""
;00008;1;122,102499999944;1;PU;308;71;308;308;71;71;308;71;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39470901728395;0,00000000000000;;"";"";"";"";""
;00009;1;122,102499999944;1;PU;342;800;342;342;800;800;342;800;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50880000000000;0,00000000000000;;"";"";"";"";""
;00010;1;122,102499999944;1;PU;343;801;343;343;801;801;343;801;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51569777777778;0,00000000000000;;"";"";"";"";""
