;ATR-Messbar(0,1);Form(Faser, Fragment, Kugel);Farbe;Analyse;Sicherheit (0,x,1);Kommentar;Bearbeiter/in;Datum;Länge;Breite
ML2_(0-5)_1-5mm_Markus_001;1;Fragment;weiß;x;x;;Hannah;17.02.2020;;
ML2_(0-5)_1-5mm_Markus_002;1;Fragment;schwarz;x;x;;Hannah;17.02.2020;;
ML2_(0-5)_1-5mm_Markus_003;1;Fragment;beige;x;x;;Hannah;17.02.2020;;
ML2_(0-5)_1-5mm_Markus_004;1;Kugel;beige;x;x;2x gem;Hannah;17.02.2020;;
ML2_(0-5)_1-5mm_Markus_005;1;Fragment;weiß;x;x;;Hannah;17.02.2020;;
ML2_(0-5)_1-5mm_Markus_006;1;Fragment;transparent;PP;1;;Hannah;17.02.2020;889;775
ML2_(0-5)_1-5mm_Markus_007;1;Fragment;braun;x;x;;Hannah;17.02.2020;;
ML2_(0-5)_1-5mm_Markus_008;1;Fragment;beige;x;x;;Hannah;17.02.2020;;
ML2_(0-5)_1-5mm_Markus_009;1;Fragment;weiß;PE;1;;Hannah;17.02.2020;1404;797
ML2_(0-5)_1-5mm_Markus_010;1;Fragment;weiß;PE;1;;Hannah;17.02.2020;4171;2346
ML2_(0-5)_1-5mm_Markus_011;1;Fragment;transparent;PET;1;;Hannah;17.02.2020;2143;1450
ML2_(0-5)_1-5mm_Markus_012;1;Fragment;transparent;PE;1;;Hannah;17.02.2020;3956;385
ML2_(0-5)_1-5mm_Markus_013;1;Fragment;weiß;x;x;;Hannah;17.02.2020;;
ML2_(0-5)_1-5mm_Markus_014;1;Fragment;blau;x;x;;Hannah;17.02.2020;;
ML2_(0-5)_1-5mm_Markus_015;1;Fragment;weiß;PE;1;;Hannah;17.02.2020;1669;1621
ML2_(0-5)_1-5mm_Markus_016;1;Fragment;braun;x;x;;Hannah;17.02.2020;;
ML2_(0-5)_1-5mm_Markus_017;1;Fragment;grau;PE;1;;Hannah;17.02.2020;2171;721
ML2_(0-5)_1-5mm_Markus_018;1;Fragment;weiß;PE;1;;Hannah;17.02.2020;5647;1398
ML2_(0-5)_1-5mm_Markus_019;1;Faser;weiß;x;x;;Hannah;17.02.2020;;
ML2_(0-5)_1-5mm_Markus_020;1;Faser;weiß;PET;1;;Hannah;17.02.2020;6974;37
ML2_(0-5)_1-5mm_Markus_021;1;Fragment;beige;x;x;2x gem;Hannah;17.02.2020;;
ML2_(0-5)_1-5mm_Markus_022;1;Faser;rotweiß;PET;1;;Hannah;17.02.2020;3164;445
ML2_(0-5)_1-5mm_Markus_023;1;Fragment;weiß;PE;1;;Hannah;17.02.2020;3202;607
ML2_(0-5)_1-5mm_Markus_024;1;Fragment;braun;x;x;;Hannah;17.02.2020;;
;;;;;;;;18.02.2020;;
;;;;;;;;19.02.2020;;
