Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML2.3_0-5_NO1_1\ML 2_3_ 0-5_No_1_1.ilab
Date of Export:;2021-04-20 11:50:16
Classes:;24
Particles on File:;1190

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;11
;2;PET;PET;0
;3;PA;PA;0
;4;PC;PC;1
;5;PMMA;PMMA;1
;6;PVC;PVC;8
;7;PE;PE;14
;8;PP;PP;5
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;3
;13;PBT;PBT;1
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;1
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;1145
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;45

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer;Shape;Length;Width;Comment
;00001;1;122,102499999944;1;PU;57;487;57;57;487;487;57;487;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50420224000000;0,00000000000000;;"";"";"";"";""
;00002;1;122,102499999944;1;PU;110;417;110;110;417;417;110;417;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,54195200000000;0,00000000000000;;"";"";"";"";""
;00003;1;122,102499999944;1;PU;258;140;258;258;140;140;258;140;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38739807890787;0,00000000000000;;"";"";"";"";""
;00004;1;122,102499999944;1;PU;302;605;302;302;605;605;302;605;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30053294080000;0,00000000000000;;"";"";"";"";""
;00005;40;4884,09999999775;1;PU;334;221;334;342;218;225;338;222;0,74821534557829;0,66345594928462;10,1334837184621;6,73144457574534;1,50539510567687;41,5639787923198;0,97333333333333;0,00000000000000;;"";"";"";"";""
;00006;1;122,102499999944;1;PU;343;393;343;343;393;393;343;393;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42593689600000;0,00000000000000;;"";"";"";"";""
;00007;1;122,102499999944;1;PU;388;884;388;388;884;884;388;884;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42011281888082;0,00000000000000;;"";"";"";"";""
;00008;1;122,102499999944;1;PU;404;73;404;404;73;73;404;73;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44585254388911;0,00000000000000;;"";"";"";"";""
;00009;1;122,102499999944;1;PU;743;242;743;743;242;242;743;242;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41425066666667;0,00000000000000;;"";"";"";"";""
;00010;1;122,102499999944;1;PU;789;316;789;789;316;316;789;316;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41276871111111;0,00000000000000;;"";"";"";"";""
;00011;1;122,102499999944;1;PU;806;389;806;806;389;389;806;389;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50012160000000;0,00000000000000;;"";"";"";"";""
;00012;1;122,102499999944;4;PC;152;446;152;152;446;446;152;446;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42287499315372;0,00000000000000;;"";"";"";"";""
;00013;1;122,102499999944;5;PMMA;565;536;565;565;536;536;565;536;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,29968055638929;0,00000000000000;;"";"";"";"";""
;00014;1;122,102499999944;6;PVC;115;359;115;115;359;359;115;359;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42752405653384;0,00000000000000;;"";"";"";"";""
;00015;1;122,102499999944;6;PVC;123;319;123;123;319;319;123;319;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45795555555556;0,00000000000000;;"";"";"";"";""
;00016;152;18559,5799999914;6;PVC;169;314;169;192;312;321;180;316;0,99954220966568;-3,02551003412605E-02;24,0197259226518;10,0866451880148;2,38133943198405;178,266245868331;0,45798403202634;0,00000000000000;OK;"";"fragment";"316";"156";""
