Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML2.3_0-5_NO2_1\ML2_3_0-5_No2_1.ilab
Date of Export:;2021-04-20 11:54:06
Classes:;24
Particles on File:;1944

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;20
;2;PET;PET;2
;3;PA;PA;0
;4;PC;PC;1
;5;PMMA;PMMA;0
;6;PVC;PVC;17
;7;PE;PE;24
;8;PP;PP;0
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;7
;13;PBT;PBT;0
;14;PPSU;PPSU;1
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;3
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;1869
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;75

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;polymer;shape;length;width;comment
;00001;1;122,102499999984;1;PU;156;275;156;156;275;275;156;275;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,54257019259259;0,21487716340861;;"";"";"0";"0";""
;00002;1;122,102499999984;1;PU;214;319;214;214;319;319;214;319;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34855747584000;9,12942823148575E-02;;"";"";"0";"0";""
;00003;1;122,102499999984;1;PU;226;237;226;226;237;237;226;237;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50201600000000;0,39181113765840;;"";"";"0";"0";""
;00004;1;122,102499999984;1;PU;246;363;246;246;363;363;246;363;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46798696296296;9,49527162160228E-02;;"";"";"0";"0";""
;00005;2;244,204999999968;1;PU;253;152;253;253;152;153;253;152;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,16384000000000;0,00000000000000;;"";"";"0";"0";""
;00006;1;122,102499999984;1;PU;284;690;284;284;690;690;284;690;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48307677108148;0,19624609652932;;"";"";"0";"0";""
;00007;1;122,102499999984;1;PU;308;623;308;308;623;623;308;623;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51364926872757;9,26928037396654E-02;;"";"";"0";"0";""
;00008;2;244,204999999968;1;PU;348;698;348;349;698;698;348;698;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,43197933037037;0,31446084021990;;"";"";"0";"0";""
;00009;1;122,102499999984;1;PU;413;771;413;413;771;771;413;771;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50432202271605;2,97358673458990E-02;;"";"";"0";"0";""
;00010;1;122,102499999984;1;PU;486;214;486;486;214;214;486;214;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41484553481482;0,00000000000000;;"";"";"0";"0";""
;00011;1;122,102499999984;1;PU;487;393;487;487;393;393;487;393;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37337676654061;0,12901340127031;;"";"";"0";"0";""
;00012;32;3907,27999999949;1;PU;497;885;497;505;881;886;501;884;0,86793906654379;-0,49667069247852;9,43352460978588;5,83636602519743;1,61633533076205;150,220021849966;0,41020074666667;0,27473016891271;;"";"";"0";"0";""
