Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML3.1_0-5_1-16_4v4\ML3_1_0-5_1-16_4v4.ilab
Date of Export:;2021-04-20 13:20:38
Classes:;24
Particles on File:;14608

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;0
;2;PET;PET;0
;3;PA;PA;0
;4;PC;PC;0
;5;PMMA;PMMA;5
;6;PVC;PVC;1
;7;PE;PE;133
;8;PP;PP;92
;9;POM;POM;6
;10;ABS;ABS;2
;11;PAN;PAN;0
;12;PS;PS;52
;13;PBT;PBT;0
;14;PPSU;PPSU;1
;15;CA;CA;0
;16;EVAc;EVAc;3
;17;PEEK;PEEK;0
;18;EVOH;EVOH;2
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;9561
;22;Non-Polymer;Non-Polymer;4750
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;297

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer;Shape;Length;Width;Comment
;00001;1;122,102499999944;5;PMMA;213;620;213;213;620;620;213;620;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,11769380135822;0,00000000000000;;"";"";"";"";""
;00002;1;122,102499999944;5;PMMA;214;619;214;214;619;619;214;619;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38497684091470;0,00000000000000;;"";"";"";"";""
;00003;1;122,102499999944;5;PMMA;304;195;304;304;195;195;304;195;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,28883525072382;0,00000000000000;;"";"";"";"";""
;00004;1;122,102499999944;5;PMMA;724;900;724;724;900;900;724;900;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,25583652156049;0,00000000000000;;"";"";"";"";""
;00005;1;122,102499999944;5;PMMA;914;357;914;914;357;357;914;357;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,31303614061075;0,00000000000000;;"";"";"";"";""
;00006;1;122,102499999944;6;PVC;309;150;309;309;150;150;309;150;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39976339001361;0,00000000000000;;"";"";"";"";""
;00007;19;2319,94749999893;7;PE;67;518;67;73;514;518;70;516;0,78922324794331;-0,61410639542820;6,78843542600117;5,20998893011449;1,30296542220330;142,112981949376;0,62653629629630;0,00000000000000;OK;"";"fragment";"123";"80";""
;00008;1;122,102499999944;7;PE;67;520;67;67;520;520;67;520;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42400000000000;0,00000000000000;;"";"";"";"";""
;00009;4;488,409999999775;7;PE;70;521;70;72;520;521;71;521;1,00000000000000;0,00000000000000;3,00000000000000;2,00000000000000;1,50000000000000;0,00000000000000;0,92000000000000;0,00000000000000;;"";"";"";"";""
;00010;23;2808,35749999871;7;PE;83;352;83;88;350;355;85;352;0,97548295848562;-0,22007498200417;6,53763973844062;6,31756475643641;1,03483541372172;167,286562915205;0,34276010666667;0,00000000000000;OK;"";"fragment";"123";"105";""
;00011;1;122,102499999944;7;PE;85;357;85;85;357;357;85;357;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,60800000000000;0,00000000000000;;"";"";"";"";""
;00012;29;3540,97249999837;7;PE;111;322;111;117;321;325;114;323;0,99882879662800;-4,83842435785488E-02;7,13812551050361;5,14046791724758;1,38861395993804;177,226704265683;0,44906552820341;0,00000000000000;OK;"";"bead";"121";"121";""
;00013;1;122,102499999944;7;PE;113;790;113;113;790;790;113;790;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50702222222222;0,00000000000000;;"";"";"";"";""
;00014;41;5006,20249999769;7;PE;114;788;114;120;785;793;117;789;-0,21627159333742;0,97633324122212;9,45948070978932;7,07427104067017;1,33716684806201;102,490139581004;0,52382657801482;0,00000000000000;OK;"";"fragment";"140";"103";""
;00015;20;2442,04999999887;7;PE;202;691;202;207;689;693;205;691;0,99925193197019;-3,86726835614671E-02;6,07360502697387;5,03568041144217;1,20611407609850;177,783665765655;0,32620152735128;0,00000000000000;OK;"";"fragment";"89";"84";""
;00016;3;366,307499999831;7;PE;210;851;210;211;850;851;211;851;0,70710678118655;-0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;135,000000000000;0,41536474074074;0,00000000000000;;"";"";"";"";""
;00017;2;244,204999999887;7;PE;211;233;211;212;233;233;212;233;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,26204444444444;0,00000000000000;;"";"";"";"";""
;00018;1;122,102499999944;7;PE;213;234;213;213;234;234;213;234;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47616000000000;0,00000000000000;;"";"";"";"";""
;00019;1;122,102499999944;7;PE;227;287;227;227;287;287;227;287;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,52800000000000;0,00000000000000;;"";"";"";"";""
;00020;1;122,102499999944;7;PE;238;463;238;238;463;463;238;463;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53657490773333;0,00000000000000;;"";"";"";"";""
;00021;14;1709,43499999921;7;PE;239;461;239;243;461;464;241;462;0,90653183503810;0,42213745636044;5,04826479651285;4,56387041783518;1,10613675111912;24,9696077710631;0,84000000000000;0,00000000000000;OK;"";"fragment";"92";"81";""
;00022;1;122,102499999944;7;PE;253;237;253;253;237;237;253;237;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41198933333333;0,00000000000000;;"";"";"";"";""
;00023;1;122,102499999944;7;PE;284;326;284;284;326;326;284;326;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33513538329984;0,00000000000000;;"";"";"";"";""
;00024;24;2930,45999999865;7;PE;286;326;286;290;324;331;288;327;-0,35061959816550;0,93651796426030;8,95810414248413;4,39545225887571;2,03803923120655;110,525217182072;0,51498666666667;0,00000000000000;OK;"";"fragment";"119";"103";""
;00025;157;19170,0924999912;7;PE;292;584;292;310;577;591;301;584;0,92689711638858;-0,37531551477461;19,2081934951888;13,6240274557614;1,40987630548747;157,956185085207;0,97333333333333;0,00000000000000;OK;"";"fragment";"235";"165";""
;00026;1;122,102499999944;7;PE;293;583;293;293;583;583;293;583;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,67637994382222;0,00000000000000;;"";"";"";"";""
;00027;1;122,102499999944;7;PE;294;582;294;294;582;582;294;582;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49428404148148;0,00000000000000;;"";"";"";"";""
;00028;6;732,614999999662;7;PE;301;449;301;303;448;451;302;449;-0,53351214315377;0,84579240544443;4,60440150264080;2,15807266773510;2,13357111253956;122,243064786233;0,42881896296296;0,00000000000000;;"";"";"";"";""
;00029;8;976,819999999550;7;PE;304;451;304;308;449;451;306;450;0,92545294110114;-0,37886257905374;5,08067434345830;2,85090588220237;1,78212629718011;157,736754029367;0,63466666666667;0,00000000000000;;"";"";"";"";""
;00030;1;122,102499999944;7;PE;308;452;308;308;452;452;308;452;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47200000000000;0,00000000000000;;"";"";"";"";""
;00031;1;122,102499999944;7;PE;312;580;312;312;580;580;312;580;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39362465185185;0,00000000000000;;"";"";"";"";""
;00032;1;122,102499999944;7;PE;313;448;313;313;448;448;313;448;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,60313600000000;0,00000000000000;;"";"";"";"";""
;00033;1;122,102499999944;7;PE;313;582;313;313;582;582;313;582;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40128000000000;0,00000000000000;;"";"";"";"";""
;00034;1;122,102499999944;7;PE;315;453;315;315;453;453;315;453;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48000000000000;0,00000000000000;;"";"";"";"";""
;00035;1;122,102499999944;7;PE;316;447;316;316;447;447;316;447;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46565512533333;0,00000000000000;;"";"";"";"";""
;00036;1;122,102499999944;7;PE;316;455;316;316;455;455;316;455;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,71680000000000;0,00000000000000;;"";"";"";"";""
;00037;9;1098,92249999949;7;PE;317;453;317;320;451;454;319;453;0,82192561755562;-0,56959483776260;4,60496652819211;3,53071013084343;1,30426071740193;145,278022609792;0,44703630222222;0,00000000000000;;"";"";"";"";""
;00038;9;1098,92249999949;7;PE;318;459;318;322;457;460;320;458;0,87019990675348;-0,49269881498359;4,97349844199752;2,74039981350700;1,81488059424173;150,481878266037;0,85791762962963;0,00000000000000;OK;"";"fragment";"320";"147";""
;00039;15;1831,53749999916;7;PE;320;243;320;324;242;246;322;244;-0,70710678118654;0,70710678118655;5,24264068711929;5,24264068711926;1,00000000000001;135,000000000000;0,39975348148148;0,00000000000000;;"";"";"";"";""
;00040;1;122,102499999944;7;PE;320;456;320;320;456;456;320;456;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50489600000000;0,00000000000000;;"";"";"";"";""
;00041;1;122,102499999944;7;PE;321;238;321;321;238;238;321;238;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44170808888889;0,00000000000000;;"";"";"";"";""
;00042;30;3663,07499999831;7;PE;322;239;322;329;232;240;326;237;-0,61883953030306;0,78551743184623;10,3783371062851;5,66523251520772;1,83193489030248;128,231440264442;0,48387653530864;0,00000000000000;;"";"";"";"";""
;00043;1;122,102499999944;7;PE;322;248;322;322;248;248;322;248;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,31676908917921;0,00000000000000;;"";"";"";"";""
;00044;1;122,102499999944;7;PE;323;247;323;323;247;247;323;247;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51763427555556;0,00000000000000;;"";"";"";"";""
;00045;35;4273,58749999803;7;PE;324;697;324;332;691;699;328;695;0,74065431024628;-0,67188629448263;10,2846659543835;5,84074009290578;1,76084978800466;137,787182626248;0,26514962962963;0,00000000000000;OK;"";"fragment";"162";"103";""
;00046;14;1709,43499999921;7;PE;326;244;326;331;241;245;329;243;0,89831526022742;-0,43935144615961;6,37027919345636;4,59326104090962;1,38687506255791;153,937491825549;0,43074370370370;0,00000000000000;;"";"";"";"";""
;00047;1;122,102499999944;7;PE;327;701;327;327;701;701;327;701;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49066666666667;0,00000000000000;;"";"";"";"";""
;00048;14;1709,43499999921;7;PE;328;700;328;332;698;701;330;700;0,87148669933676;-0,49041914000079;5,46678507734856;4,59529837801188;1,18964746739987;150,631865847189;0,55864661333333;0,00000000000000;;"";"";"";"";""
;00049;14;1709,43499999921;7;PE;330;232;330;337;231;234;334;233;0,94995723086642;0,31237999219638;8,27446060045770;3,53749170040285;2,33907562228779;18,2027185557822;0,62920743173268;0,00000000000000;;"";"";"";"";""
;00050;1;122,102499999944;7;PE;330;235;330;330;235;235;330;235;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42082607407407;0,00000000000000;;"";"";"";"";""
;00051;1;122,102499999944;7;PE;332;237;332;332;237;237;332;237;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35726980740741;0,00000000000000;;"";"";"";"";""
;00052;1;122,102499999944;7;PE;333;235;333;333;235;235;333;235;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,65635555555556;0,00000000000000;;"";"";"";"";""
;00053;1;122,102499999944;7;PE;333;241;333;333;241;241;333;241;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47136414024691;0,00000000000000;;"";"";"";"";""
;00054;1;122,102499999944;7;PE;335;230;335;335;230;230;335;230;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48563116320237;0,00000000000000;;"";"";"";"";""
;00055;1;122,102499999944;7;PE;335;237;335;335;237;237;335;237;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53586962962963;0,00000000000000;;"";"";"";"";""
;00056;18;2197,84499999899;7;PE;335;242;335;339;238;243;337;241;-0,27187200506935;0,96233342083686;6,62728311939230;4,70261627771862;1,40927575800580;105,775692474157;0,66304000000000;0,00000000000000;OK;"";"fragment";"316";"223";""
;00057;2;244,204999999887;7;PE;339;237;339;340;237;237;340;237;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,47703517866667;0,00000000000000;;"";"";"";"";""
;00058;1;122,102499999944;7;PE;342;532;342;342;532;532;342;532;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37717219555556;0,00000000000000;;"";"";"";"";""
;00059;1;122,102499999944;7;PE;360;356;360;360;356;356;360;356;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44194808414815;0,00000000000000;;"";"";"";"";""
;00060;5;610,512499999719;7;PE;361;357;361;363;357;358;362;357;0,94868329805051;0,31622776601684;3,21359436211787;2,26491106406735;1,41886116991581;18,4349488229220;0,47553051053827;0,00000000000000;;"";"";"";"";""
;00061;7;854,717499999606;7;PE;363;844;363;365;843;845;364;844;1,00000000000000;0,00000000000000;3,00000000000000;3,00000000000000;1,00000000000000;0,00000000000000;0,51217777777778;0,00000000000000;;"";"";"";"";""
;00062;2;244,204999999887;7;PE;364;355;364;364;355;356;364;356;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,43520000000000;0,00000000000000;;"";"";"";"";""
;00063;9;1098,92249999949;7;PE;425;129;425;428;127;130;426;129;-0,64161356641137;0,76702805124512;4,58431128655809;3,17566966890161;1,44357309308676;129,912244578478;0,51273222320988;0,00000000000000;OK;"";"fragment";"245";"160";""
;00064;1;122,102499999944;7;PE;428;126;428;428;126;126;428;126;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39158518518518;0,00000000000000;;"";"";"";"";""
;00065;3;366,307499999831;7;PE;429;124;429;430;123;124;430;124;0,70710678118655;-0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;135,000000000000;0,58140444444444;0,00000000000000;;"";"";"";"";""
;00066;1;122,102499999944;7;PE;430;127;430;430;127;127;430;127;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30795487204420;0,00000000000000;;"";"";"";"";""
;00067;7;854,717499999606;7;PE;430;129;430;433;127;129;432;128;0,83484109223827;-0,55049100874621;4,60550529420721;2,38533210098450;1,93076062335571;146,599295256824;0,85866666666667;0,00000000000000;;"";"";"";"";""
;00068;30;3663,07499999831;7;PE;431;131;431;441;126;132;436;129;0,88728901086237;-0,46121384541542;11,2565316448700;5,47158373428033;2,05727120181787;152,534537497434;0,87244800000000;0,00000000000000;;"";"";"";"";""
;00069;1;122,102499999944;7;PE;432;125;432;432;125;125;432;125;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,82044444444444;0,00000000000000;;"";"";"";"";""
;00070;1;122,102499999944;7;PE;434;124;434;434;124;124;434;124;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50193273995062;0,00000000000000;;"";"";"";"";""
;00071;1;122,102499999944;7;PE;448;505;448;448;505;505;448;505;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41922607407407;0,00000000000000;;"";"";"";"";""
