Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML3.3_0-5_no.1-2\ML3_3_0-5_NO1-2.ilab
Date of Export:;2021-04-20 13:23:57
Classes:;24
Particles on File:;8947

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;27
;2;PET;PET;2
;3;PA;PA;0
;4;PC;PC;3
;5;PMMA;PMMA;7
;6;PVC;PVC;10
;7;PE;PE;55
;8;PP;PP;7
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;7
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;1
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;1
;21;Substrat;Substrate;46
;22;Non-Polymer;Non-Polymer;8780
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;121

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer;Shape;Length;Width;Comment
;00001;1;122,102499999944;1;PU;96;567;96;96;567;567;96;567;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43259259259259;0,00000000000000;;"";"";"";"";""
;00002;2;244,204999999887;1;PU;103;314;103;104;314;314;104;314;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,41333333333333;0,00000000000000;;"";"";"";"";""
;00003;1;122,102499999944;1;PU;111;771;111;111;771;771;111;771;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53011342222222;0,00000000000000;;"";"";"";"";""
;00004;1;122,102499999944;1;PU;141;573;141;141;573;573;141;573;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,56237037037037;0,00000000000000;;"";"";"";"";""
;00005;4;488,409999999775;1;PU;147;445;147;149;445;446;148;446;0,85065080835204;0,52573111211913;3,22703272882319;1,85065080835204;1,74372859226576;31,7174744114610;0,22853070696296;0,00000000000000;;"";"";"";"";""
;00006;1;122,102499999944;1;PU;163;573;163;163;573;573;163;573;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41202321447443;0,00000000000000;;"";"";"";"";""
;00007;1;122,102499999944;1;PU;168;510;168;168;510;510;168;510;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39603484444444;0,00000000000000;;"";"";"";"";""
;00008;1;122,102499999944;1;PU;199;591;199;199;591;591;199;591;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46233463466667;0,00000000000000;;"";"";"";"";""
;00009;1;122,102499999944;1;PU;232;462;232;232;462;462;232;462;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44598518518519;0,00000000000000;;"";"";"";"";""
;00010;1;122,102499999944;1;PU;274;149;274;274;149;149;274;149;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51739458370370;0,00000000000000;;"";"";"";"";""
;00011;1;122,102499999944;1;PU;282;490;282;282;490;490;282;490;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,29520852404753;0,00000000000000;;"";"";"";"";""
;00012;1;122,102499999944;1;PU;295;430;295;295;430;430;295;430;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51768888888889;0,00000000000000;;"";"";"";"";""
;00013;1;122,102499999944;1;PU;358;161;358;358;161;161;358;161;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42862608125542;0,00000000000000;;"";"";"";"";""
;00014;1;122,102499999944;1;PU;396;60;396;396;60;60;396;60;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43573333333333;0,00000000000000;;"";"";"";"";""
;00015;1;122,102499999944;1;PU;404;722;404;404;722;722;404;722;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43573333333333;0,00000000000000;;"";"";"";"";""
;00016;1;122,102499999944;1;PU;416;361;416;416;361;361;416;361;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40979660800000;0,00000000000000;;"";"";"";"";""
;00017;12;1465,22999999932;1;PU;475;225;475;479;224;227;477;225;0,92046329125717;-0,39082902841015;5,46351122184899;3,23175561092444;1,69057066177295;156,993906193009;0,93404444444444;0,00000000000000;;"";"";"";"";""
;00018;1;122,102499999944;1;PU;482;386;482;482;386;386;482;386;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,56746666666667;0,00000000000000;;"";"";"";"";""
;00019;1;122,102499999944;1;PU;494;270;494;494;270;270;494;270;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44078222222222;0,00000000000000;;"";"";"";"";""
;00020;1;122,102499999944;1;PU;497;50;497;497;50;50;497;50;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40550400000000;0,00000000000000;;"";"";"";"";""
;00021;1;122,102499999944;1;PU;498;188;498;498;188;188;498;188;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49053652848724;0,00000000000000;;"";"";"";"";""
