Data ID:;D:\mrolf2\ML1\ML1.1_5-20_1-32_1v5\ML1.1_5-20_1-32-1v5.ilab
Date of Export:;2021-02-06 11:38:24
Classes:;24
Particles on File:;6246

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;25
;2;PET;PET;13
;3;PA;PA;1
;4;PC;PC;3
;5;PMMA;PMMA;23
;6;PVC;PVC;14
;7;PE;PE;131
;8;PP;PP;99
;9;POM;POM;3
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;21
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;4
;16;EVAc;EVAc;4
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;5904
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;1

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;342

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00001;12;1465,22999999981;1;PU;36;884;36;39;884;887;38,0000000000000;887,000000000000;0,56343254750748;0,82616206909373;5,16878384980362;3,77918923320243;1,36769649013412;55,7064847374359;7,47235555555556E-02;0,26770548625798;;"";"";"";"";"";""
;00002;4;488,409999999936;1;PU;192;414;192;193;412;414;194,000000000000;414,000000000000;-0,31622776601684;0,94868329805051;3,21359436211782;1,94868329805053;1,64911064067348;108,434948822922;0,52917467970370;0,43473416426121;;"";"";"";"";"";""
;00003;2;244,204999999968;1;PU;192;416;192;193;416;416;194,000000000000;417,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,51536091495340;0,46956145276021;;"";"";"";"";"";""
;00004;1;122,102499999984;1;PU;346;845;346;346;845;845;347,000000000000;846,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37770500424691;0,45177785043128;;"";"";"";"";"";""
;00005;1;122,102499999984;1;PU;360;828;360;360;828;828;361,000000000000;829,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43663141546667;0,26427330356187;;"";"";"";"";"";""
;00006;59;7204,04749999905;1;PU;367;671;367;377;670;677;373,000000000000;675,000000000000;0,99701566496063;7,71995066247556E-02;11,3561541827301;8,51950620109767;1,33295920146956;4,42761127883930;0,90666666666667;0,45121612232119;;"";"";"";"";"";""
;00007;1;122,102499999984;1;PU;378;675;378;378;675;675;379,000000000000;676,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42185481481481;0,19137071099508;;"";"";"";"";"";""
;00008;15;1831,53749999976;1;PU;414;511;414;419;509;512;418,000000000000;511,000000000000;0,95878877750841;-0,28411983409106;6,36218355572416;3,59224649843407;1,77108769080784;163,493755971730;0,67619349120527;0,48008822797215;;"";"";"";"";"";""
;00009;1;122,102499999984;1;PU;415;505;415;415;505;505;416,000000000000;506,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37681889280000;0,46079193301162;;"";"";"";"";"";""
;00010;1;122,102499999984;1;PU;447;640;447;447;640;640;448,000000000000;641,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,57315555555556;0,30650878820108;;"";"";"";"";"";""
;00011;1;122,102499999984;1;PU;466;508;466;466;508;508;467,000000000000;509,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46400000000000;0,00000000000000;;"";"";"";"";"";""
;00012;1;122,102499999984;1;PU;475;844;475;475;844;844;476,000000000000;845,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33230849087053;0,31725172910493;;"";"";"";"";"";""
;00013;1;122,102499999984;1;PU;476;843;476;476;843;843;477,000000000000;844,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,28659495324943;0,31345625269662;;"";"";"";"";"";""
;00014;1;122,102499999984;1;PU;478;863;478;478;863;863;479,000000000000;864,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35721216000000;0,32348853820926;;"";"";"";"";"";""
;00015;1;122,102499999984;1;PU;538;488;538;538;488;488;539,000000000000;489,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42299615453487;0,66715972903150;;"";"";"";"";"";""
;00016;1;122,102499999984;1;PU;552;395;552;552;395;395;553,000000000000;396,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,23690319118173;0,24214802455498;;"";"";"";"";"";""
;00017;1;122,102499999984;1;PU;598;109;598;598;109;109;599,000000000000;110,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42513289191517;0,31964405267829;;"";"";"";"";"";""
;00018;5;610,512499999919;1;PU;663;816;663;664;816;818;664,000000000000;818,000000000000;0,31622776601684;0,94868329805051;3,21359436211787;2,26491106406729;1,41886116991585;71,5650511770780;0,32180944592593;0,25887456178109;;"";"";"";"";"";""
;00019;1;122,102499999984;1;PU;674;287;674;674;287;287;675,000000000000;288,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45482439111111;0,44145066327075;;"";"";"";"";"";""
;00020;1;122,102499999984;1;PU;687;617;687;687;617;617;688,000000000000;618,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43974497479474;2,45285682175727E-02;;"";"";"";"";"";""
;00021;1;122,102499999984;1;PU;718;160;718;718;160;160;719,000000000000;161,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41836459720165;0,38304949273866;;"";"";"";"";"";""
;00022;2;244,204999999968;1;PU;725;159;725;725;159;160;726,000000000000;160,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,30692547697778;0,11640701128176;;"";"";"";"";"";""
;00023;1;122,102499999984;1;PU;730;155;730;730;155;155;731,000000000000;156,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43998968652511;0,13852367035332;;"";"";"";"";"";""
;00024;1;122,102499999984;1;PU;743;334;743;743;334;334;744,000000000000;335,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36397177362963;3,95022328797537E-02;;"";"";"";"";"";""
;00025;1;122,102499999984;1;PU;947;407;947;947;407;407;948,000000000000;408,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34884266666667;0,10940720928048;;"";"";"";"";"";""
;00026;1;122,102499999984;2;PET;334;476;334;334;476;476;335,000000000000;477,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46036258765432;9,53688734590025E-02;;"";"";"";"";"";""
;00027;4;488,409999999936;2;PET;458;934;458;460;933;934;460,000000000000;934,000000000000;0,85065080835204;-0,52573111211913;3,22703272882325;1,85065080835216;1,74372859226568;148,282525588539;0,34044169353542;0,69778483793944;;"";"";"";"";"";""
;00028;1;122,102499999984;2;PET;462;932;462;462;932;932;463,000000000000;933,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39357919853423;0,64496313787489;;"";"";"";"";"";""
;00029;23;2808,35749999963;2;PET;466;930;466;477;922;930;473,000000000000;927,000000000000;0,80753623110922;-0,58981796805957;14,6014422866779;2,83279072526807;5,15443733857048;143,855908273004;0,69263116788622;0,60059409630809;;"";"";"";"";"";""
;00030;73;8913,48249999883;2;PET;489;647;489;518;639;647;505,000000000000;643,000000000000;0,98574550936161;-0,16824324881975;30,5960792644051;6,81737175802050;4,48795816780997;170,314306485222;0,40541635886204;0,38880087167572;;"";"";"";"";"";""
;00031;33;4029,38249999947;2;PET;509;655;509;518;649;655;515,000000000000;653,000000000000;0,81119546556168;-0,58477509920666;11,8094097852951;5,05597732780848;2,33573234601784;144,212896608727;0,33563475145003;0,63350330770354;;"";"";"";"";"";""
;00032;2;244,204999999968;2;PET;518;645;518;519;645;645;520,000000000000;646,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,39505629575733;0,24277105497098;;"";"";"";"";"";""
;00033;1;122,102499999984;2;PET;519;647;519;519;647;647;520,000000000000;648,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,23601702352501;0,30528755221024;;"";"";"";"";"";""
;00034;7;854,717499999887;2;PET;625;723;625;626;723;726;627,000000000000;725,000000000000;0,14521314468540;0,98940039549748;4,11341433117786;2,27982668486823;1,80426624465781;81,6503778830032;0,56673607423640;0,77514121793460;;"";"";"";"";"";""
;00035;1;122,102499999984;2;PET;625;750;625;625;750;750;626,000000000000;751,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36126551899091;0,52473648151887;;"";"";"";"";"";""
;00036;20;2442,04999999968;2;PET;626;739;626;629;734;743;628,000000000000;740,000000000000;-0,32919656703535;0,94426141520881;10,1567458709500;3,50358767859109;2,89895581406838;109,220017645029;0,93404444444444;0,88797450315154;OK;"ja";"Faser";"transparent";"314";"39";""
;00037;2;244,204999999968;2;PET;627;731;627;627;731;732;628,000000000000;732,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,57695990093748;0,76442859901903;;"";"";"";"";"";""
;00038;1;122,102499999984;2;PET;685;720;685;685;720;720;686,000000000000;721,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,24434474964074;0,00000000000000;;"";"";"";"";"";""
;00039;6;732,614999999903;3;PA;576;662;574;576;659;662;576,000000000000;662,000000000000;0,51449575542753;0,85749292571254;4,08697453256514;2,37198868114007;1,72301603505156;59,0362434679265;0,00000000000000;0,00000000000000;OK;"ja";"Fragment";"";"46";"39";""
;00040;1;122,102499999984;4;PC;575;724;575;575;724;724;576,000000000000;725,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,58737706402871;0,00000000000000;;"";"";"";"";"";""
;00041;1;122,102499999984;4;PC;731;157;731;731;157;157;732,000000000000;158,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43283251200000;0,25672367585471;;"";"";"";"";"";""
;00042;1;122,102499999984;4;PC;795;705;795;795;705;705;796,000000000000;706,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39846524166672;0,21377381536963;;"";"";"";"";"";""
;00043;12;1465,22999999981;5;PMMA;200;519;200;204;517;520;203,000000000000;519,000000000000;0,73387680039979;-0,67928259350212;5,29407238860344;3,20163040119940;1,65355513447779;137,212392225872;0,57096311677366;0,60911830193757;OK;"ja";"Fragment";"grau";"68";"34";""
;00044;1;122,102499999984;5;PMMA;337;566;337;337;566;566;338,000000000000;567,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,23434818891241;0,44354563193457;;"";"";"";"";"";""
;00045;5;610,512499999919;5;PMMA;389;740;389;390;740;742;391,000000000000;742,000000000000;0,31622776601684;0,94868329805051;3,21359436211787;2,26491106406735;1,41886116991581;71,5650511770780;0,44000597333333;0,53804458461731;OK;"ja";"Fragment";"weiﬂ";"104";"83";""
;00046;1;122,102499999984;5;PMMA;478;918;478;478;918;918;479,000000000000;919,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35493649036326;0,56662000454682;;"";"";"";"";"";""
;00047;2;244,204999999968;5;PMMA;534;495;534;534;495;496;535,000000000000;496,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,33386883147852;0,67224100733891;;"";"";"";"";"";""
;00048;13;1587,33249999979;5;PMMA;536;491;533;536;488;493;536,000000000000;492,000000000000;-0,42524353634446;0,90507896605615;6,37588190296964;3,28999336182392;1,93796193541100;115,166079440830;0,00000000000000;0,00000000000000;;"";"";"";"0";"0";""
;00049;1;122,102499999984;5;PMMA;535;498;535;535;498;498;536,000000000000;499,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,31881791299191;0,53689352354761;;"";"";"";"";"";""
;00050;1;122,102499999984;5;PMMA;538;486;538;538;486;486;539,000000000000;487,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,28197528324678;0,61938018634192;;"";"";"";"";"";""
;00051;2;244,204999999968;5;PMMA;541;493;541;542;493;493;542,000000000000;494,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,44926748444444;0,31135979286476;;"";"";"";"";"";""
