Data ID:;D:\mrolf2\ML1\ML1.1_5-20_1-32_2v5\ML1.1_5-20_1-32_2v5.ilab
Date of Export:;2021-02-06 11:43:03
Classes:;24
Particles on File:;2421

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;12
;2;PET;PET;3
;3;PA;PA;0
;4;PC;PC;1
;5;PMMA;PMMA;12
;6;PVC;PVC;10
;7;PE;PE;77
;8;PP;PP;37
;9;POM;POM;0
;10;ABS;ABS;2
;11;PAN;PAN;0
;12;PS;PS;12
;13;PBT;PBT;0
;14;PPSU;PPSU;2
;15;CA;CA;0
;16;EVAc;EVAc;1
;17;PEEK;PEEK;1
;18;EVOH;EVOH;4
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;2246
;23;PLA;PLA;1
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;175

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00001;1;122,102499999944;1;PU;223;608;223;223;608;608;224,000000000000;609,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42045155555556;4,32512585371254E-02;;"";"";"";"";"";""
;00002;1;122,102499999944;1;PU;245;516;245;245;516;516;246,000000000000;517,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46653458962963;0,17440586814517;;"";"";"";"";"";""
;00003;1;122,102499999944;1;PU;251;633;251;251;633;633;252,000000000000;634,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40237305468313;0,16490319850212;;"";"";"";"";"";""
;00004;1;122,102499999944;1;PU;474;66;474;474;66;66;475,000000000000;67,0000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47430162962963;0,00000000000000;;"";"";"";"";"";""
;00005;1;122,102499999944;1;PU;521;572;521;521;572;572;522,000000000000;573,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42326243555556;0,62641881966529;;"";"";"";"";"";""
;00006;3;366,307499999831;1;PU;569;484;569;571;484;484;571,000000000000;485,000000000000;1,00000000000000;0,00000000000000;3,00000000000000;1,00000000000000;3,00000000000000;0,00000000000000;0,20061443413333;0,50917529575866;;"";"";"";"";"";""
;00007;1;122,102499999944;1;PU;603;928;603;603;928;928;604,000000000000;929,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50880000000000;0,00000000000000;;"";"";"";"";"";""
;00008;1;122,102499999944;1;PU;665;871;665;665;871;871;666,000000000000;872,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38970709333333;0,20063032434437;;"";"";"";"";"";""
;00009;1;122,102499999944;1;PU;688;360;688;688;360;360;689,000000000000;361,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45823898864198;0,30565619685430;;"";"";"";"";"";""
;00010;1;122,102499999944;1;PU;739;737;739;739;737;737;740,000000000000;738,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,59989333333333;0,29506165802435;;"";"";"";"";"";""
