Data ID:;D:\mrolf2\ML1\ML1.1_5-20_1-32_4v5\ML1.1_5-20_1-32_4v5.ilab
Date of Export:;2021-02-06 11:51:01
Classes:;24
Particles on File:;14517

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;11
;2;PET;PET;9
;3;PA;PA;0
;4;PC;PC;0
;5;PMMA;PMMA;0
;6;PVC;PVC;9
;7;PE;PE;38
;8;PP;PP;28
;9;POM;POM;0
;10;ABS;ABS;1
;11;PAN;PAN;0
;12;PS;PS;5
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;7121
;22;Non-Polymer;Non-Polymer;7295
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;101

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;polymere?;Form;Farbe;Länge;Breite;Kommentar
;00001;1;122,102499999944;1;PU;80;477;80;80;477;477;81,0000000000000;478,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42194134913580;0,00000000000000;;"";"";"";"";"";""
;00002;1;122,102499999944;1;PU;142;204;142;142;204;204;143,000000000000;205,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43477241751493;0,55556395740847;;"";"";"";"";"";""
;00003;53;6471,43249999702;1;PU;226;170;226;232;166;178;230,000000000000;173,000000000000;-2,19514594113537E-02;0,99975903768344;13,0410113710240;7,06440860433469;1,84601600805227;91,2578270096830;0,97351111111111;0,64391217244359;OK;"ja";"Fragment";"transparent";"216";"185";""
;00004;1;122,102499999944;1;PU;420;488;420;420;488;488;421,000000000000;489,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46613333333333;0,28048149861225;;"";"";"";"";"";""
;00005;73;8913,48249999589;1;PU;453;251;453;463;243;255;458,000000000000;250,000000000000;-0,63828318776693;0,76980164472031;15,9821684265460;9,18547208101660;1,73993979684245;129,663919936767;0,26516088746035;0,59881067552751;OK;"ja";"Fragment";"grau";"219";"112";""
;00006;1;122,102499999944;1;PU;505;434;505;505;434;434;506,000000000000;435,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42096524199506;0,00000000000000;;"";"";"";"";"";""
;00007;1;122,102499999944;1;PU;531;123;531;531;123;123;532,000000000000;124,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30328287498924;0,34534646953029;;"";"";"";"";"";""
;00008;1;122,102499999944;1;PU;532;124;532;532;124;124;533,000000000000;125,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40106266569117;0,46917079074990;;"";"";"";"";"";""
;00009;1;122,102499999944;1;PU;618;383;618;618;383;383;619,000000000000;384,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41390459259259;0,10705205091778;;"";"";"";"";"";""
;00010;1;122,102499999944;1;PU;869;460;869;869;460;460;870,000000000000;461,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41173029925926;0,17299177979769;;"";"";"";"";"";""
;00011;1;122,102499999944;1;PU;908;519;908;908;519;519;909,000000000000;520,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48248888888889;6,00035848696883E-02;;"";"";"";"";"";""
;00012;2;244,204999999887;2;PET;184;615;184;185;615;615;186,000000000000;616,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,41214203138612;0,60565755618506;;"ja";"Faser";"schwarz";"931";"16";""
;00013;1;122,102499999944;2;PET;266;474;266;266;474;474;267,000000000000;475,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36842221415131;0,12889890676795;;"";"";"";"";"";""
;00014;6;732,614999999662;2;PET;482;434;482;484;434;435;484,000000000000;436,000000000000;1,00000000000000;0,00000000000000;3,00000000000000;2,00000000000000;1,50000000000000;0,00000000000000;0,76826137283951;0,65876219120892;;"ja";"Faser";"transparent";"960";"31";""
;00015;4;488,409999999775;2;PET;488;432;488;490;431;432;490,000000000000;432,000000000000;0,85065080835204;-0,52573111211913;3,22703272882322;1,85065080835216;1,74372859226566;148,282525588539;0,60186945366429;0,75594673733784;;"";"";"";"";"";""
;00016;32;3907,27999999820;2;PET;494;428;494;506;416;428;501,000000000000;423,000000000000;-0,70131827825620;0,71284828160259;17,9699987183055;3,19619486153977;5,62231012086930;134,532865568579;0,30272347052165;0,64647629157872;;"";"";"";"";"";""
;00017;5;610,512499999719;2;PET;511;402;511;513;401;403;513,000000000000;403,000000000000;1,00000000000000;0,00000000000000;3,00000000000000;3,00000000000000;1,00000000000000;0,00000000000000;0,33557129031968;0,50302949585998;;"";"";"";"";"";""
;00018;3;366,307499999831;2;PET;514;399;514;515;399;400;515,000000000000;400,000000000000;-0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;135,000000000000;0,32971353758025;0,72529447235503;;"";"";"";"";"";""
;00019;3;366,307499999831;2;PET;576;221;576;578;221;221;578,000000000000;222,000000000000;1,00000000000000;0,00000000000000;3,00000000000000;1,00000000000000;3,00000000000000;0,00000000000000;0,26681884272171;0,47966221939219;;"";"";"";"";"";""
;00020;13;1587,33249999927;2;PET;855;720;855;862;719;721;859,000000000000;721,000000000000;0,99344404684593;0,11431940249309;7,95410832792152;2,75824928870566;2,88375251667483;6,56437079470273;0,56956892431721;0,66580397828512;;"";"";"";"";"";""
;00021;3;366,307499999831;6;PVC;96;451;96;97;451;452;97,0000000000000;453,000000000000;0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;45,0000000000000;0,48361717956878;0,11898122554672;;"";"";"";"";"";""
;00022;52;6349,32999999707;6;PVC;112;727;112;127;721;730;121,000000000000;726,000000000000;0,95974115914864;-0,28088593314018;16,1216918269220;8,56084591346098;1,88318911353987;163,686912926774;0,65393863440184;0,58053059786689;;"";"";"";"";"";""
;00023;4;488,409999999775;6;PVC;118;722;118;120;722;723;120,000000000000;723,000000000000;0,94868329805051;0,31622776601684;3,21359436211787;1,94868329805058;1,64911064067346;18,4349488229220;0,47084417843200;0,50183874722800;;"";"";"";"";"";""
;00024;1;122,102499999944;6;PVC;122;728;122;122;728;728;123,000000000000;729,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44465777777778;0,50530295376909;;"";"";"";"";"";""
;00025;28;3418,86999999842;6;PVC;122;731;122;129;727;734;126,000000000000;732,000000000000;0,77114762262759;-0,63665637836734;9,58131525022981;5,22341200298490;1,83430203184329;140,457056502905;0,36467200000000;0,47959936636688;;"";"";"";"";"";""
;00026;1;122,102499999944;6;PVC;294;444;294;294;444;444;295,000000000000;445,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42394074074074;0,00000000000000;;"";"";"";"";"";""
;00027;1;122,102499999944;6;PVC;326;231;326;326;231;231;327,000000000000;232,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43008000000000;0,55641447488760;;"";"";"";"";"";""
;00028;9;1098,92249999949;6;PVC;483;904;483;486;904;906;485,000000000000;906,000000000000;0,93788501490462;0,34694624773494;4,16060129244875;3,22271627754424;1,29102314139152;20,3006473225022;0,29349955644120;0,78015310341438;OK;"ja";"Fragment";"grau";"66";"57";""
