Data ID:;D:\mrolf2\ausgewertet - Copy\ML-2_5-20_1-64_1v5\ML-2_5-20_1-64_1v5.ilab
Date of Export:;2021-02-06 19:07:34
Classes:;24
Particles on File:;28484

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;0
;2;PET;PET;0
;3;PA;PA;1
;4;PC;PC;0
;5;PMMA;PMMA;7
;6;PVC;PVC;1
;7;PE;PE;33
;8;PP;PP;9
;9;POM;POM;1
;10;ABS;ABS;3
;11;PAN;PAN;0
;12;PS;PS;18
;13;PBT;PBT;1
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;1
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;22619
;22;Non-Polymer;Non-Polymer;5790
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;75

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;Plastik ja/nein;Form;Farbe;L‰nge;Breite;Kommentar
;00001;1;122,102499999944;3;PA;442;893;442;442;893;893;443,000000000000;894,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34000036345679;0,67732412908398;;"";"";"";"";"";""
;00002;1564;190968,309999912;5;PMMA;62;417;62;126;394;431;92,0000000000000;415,000000000000;0,99630895772302;8,58397388211327E-02;64,9354527719152;37,6059122192881;1,72673521102913;4,92431485921908;0,94720000000000;0,68799946834193;OK;"ja";"Fragment";"grau";"746";"419";""
;00003;1;122,102499999944;5;PMMA;66;407;66;66;407;407;67,0000000000000;408,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33193852211149;0,61163164226747;;"";"";"";"";"";""
;00004;28;3418,86999999842;5;PMMA;197;679;197;202;677;684;201,000000000000;681,000000000000;0,20527067740571;0,97870524112084;7,64566601044021;6,71460891522705;1,13866140336212;78,1546552985863;0,50038840656909;0,64427622713078;OK;"ja";"Kugel";"grau";"118";"118";""
;00005;3;366,307499999831;5;PMMA;415;716;415;416;716;717;416,000000000000;717,000000000000;0,70710678118655;-0,70710678118655;2,41421356237311;1,70710678118667;1,41421356237300;135,000000000000;0,15301731257736;0,53889847490262;;"";"";"";"";"";""
;00006;6;732,614999999662;5;PMMA;677;781;677;679;781;783;679,000000000000;783,000000000000;0,60000000000000;0,80000000000000;3,80000000000018;2,40000000000003;1,58333333333339;53,1301023541560;0,37402226943362;0,44801319891296;;"";"";"";"";"";""
;00007;2;244,204999999887;5;PMMA;679;780;679;680;780;780;680,000000000000;781,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,50268858636235;0,54837985892199;;"";"";"";"";"";""
;00008;1;122,102499999944;5;PMMA;681;781;681;681;781;781;682,000000000000;782,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39831286349959;0,34721628802158;OK;"ja";"Kugel";"grau";"104";"104";""
;00009;1;122,102499999944;6;PVC;1052;632;1052;1052;632;632;1053,00000000000;633,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43008000000000;0,16142236808923;;"";"";"";"";"";""
;00010;21;2564,15249999882;7;PE;138;410;138;142;410;416;141,000000000000;414,000000000000;0,56268327707595;0,82667256498511;7,64808522113856;4,90407823827405;1,55953572711153;55,7584318949006;0,52622222222222;0,95977452821816;OK;"ja";"Fragment";"grau";"977";"156";""
;00011;2;244,204999999887;7;PE;142;417;142;143;417;417;144,000000000000;418,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,49493333333333;0,53728274303398;;"";"";"";"";"";""
