Data ID:;D:\mrolf2\ML3.1_5-20_1-16_4v4\ML3.1_5-20_1-16_4v4.ilab
Date of Export:;2020-06-30 11:13:19
Classes:;24
Particles:;30642

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;2
;2;PET;PET;0
;3;PA;PA;1
;4;PC;PC;2
;5;PMMA;PMMA;10
;6;PVC;PVC;0
;7;PE;PE;41
;8;PP;PP;40
;9;POM;POM;3
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;18
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;23803
;22;Non-Polymer;Non-Polymer;6721
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00001;1;1;PU;153;772;153;153;772;772;154,000000000000;773,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39589244169482;0,36948209844896;;"";"";"";"";"";""
;00002;9;1;PU;466;149;466;469;146;149;469,000000000000;149,000000000000;-0,51172104288335;0,85915165964478;5,11261810758440;2,88259374541150;1,77361729023476;120,778535687818;0,63801928362667;0,45821373092343;;"";"";"";"";"";""
;00003;13;3;PA;192;747;192;194;747;751;194,000000000000;750,000000000000;0,00000000000000;1,00000000000000;5,00000000000000;3,00000000000000;1,66666666666667;90,0000000000000;0,62620444444444;0,69371604049762;OK;"ja";"Fragment";"transparent";"83";"58";""
;00004;2;4;PC;793;465;793;794;465;465;794,000000000000;466,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,41127714316166;0,64027955281796;;"";"";"";"";"";""
;00005;1;4;PC;813;397;813;813;397;397;814,000000000000;398,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30330128512982;0,32468314096512;;"";"";"";"";"";""
;00006;1;5;PMMA;166;785;166;166;785;785;167,000000000000;786,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38593910625621;0,23050893270984;;"";"";"";"";"";""
;00007;1;5;PMMA;384;274;384;384;274;274;385,000000000000;275,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34138794666667;2,87236127353176E-02;;"";"";"";"";"";""
;00008;12;5;PMMA;536;23;536;541;21;23;540,000000000000;23,0000000000000;0,95970142296178;-0,28102166956506;6,36055045393897;2,91940284592357;2,17871626138214;163,678809403041;0,21642707672178;0,63407174630887;;"";"";"";"";"";""
;00009;11;5;PMMA;547;82;543;547;81;83;546,000000000000;83,0000000000000;0,95589637890091;-0,29370412459501;5,41099376479372;2,91179275780183;1,85830318806019;162,920152727165;0,00000000000000;0,00000000000000;OK;"ja";"Fragment";"transparent";"130";"68";""
;00010;2;5;PMMA;734;299;734;735;299;299;736,000000000000;300,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,32389328592593;0,26572212201622;;"";"";"";"";"";""
