Data ID:;D:\mrolf2\ML3.3_5-20\NO1-1\ML3.3_5-20_NO1-1.ilab
Date of Export:;2020-07-10 11:00:24
Classes:;24
Particles:;4182

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;23
;2;PET;PET;9
;3;PA;PA;1
;4;PC;PC;2
;5;PMMA;PMMA;2
;6;PVC;PVC;20
;7;PE;PE;22
;8;PP;PP;11
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;3
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;1
;17;PEEK;PEEK;0
;18;EVOH;EVOH;3
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;1
;22;Non-Polymer;Non-Polymer;4083
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;1

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00001;1;1;PU;89;624;89;89;624;624;90,0000000000000;625,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,54008880363141;0,54749466877978;;"";"";"";"";"";""
;00002;1;1;PU;118;719;118;118;719;719;119,000000000000;720,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41045333333333;0,42022151094961;;"";"";"";"";"";""
;00003;1;1;PU;207;854;207;207;854;854;208,000000000000;855,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48755557573720;0,26161826444312;;"";"";"";"";"";""
;00004;1;1;PU;234;610;234;234;610;610;235,000000000000;611,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38202018238683;9,25064710971628E-02;;"";"";"";"";"";""
;00005;1;1;PU;236;644;236;236;644;644;237,000000000000;645,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38519695345953;0,18604300168255;;"";"";"";"";"";""
;00006;1;1;PU;275;268;275;275;268;268;276,000000000000;269,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41667318518518;0,14079842788217;;"";"";"";"";"";""
;00007;1;1;PU;275;657;275;275;657;657;276,000000000000;658,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51495822222222;9,54328678406837E-02;;"";"";"";"";"";""
;00008;1;1;PU;313;259;313;313;259;259;314,000000000000;260,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38165217450185;0,16129291286747;;"";"";"";"";"";""
;00009;1;1;PU;336;373;336;336;373;373;337,000000000000;374,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,54758400000000;0,26915885105554;;"";"";"";"";"";""
;00010;1;1;PU;354;912;354;354;912;912;355,000000000000;913,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32010429629630;8,89582442671382E-02;;"";"";"";"";"";""
;00011;1;1;PU;387;879;387;387;879;879;388,000000000000;880,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37099140740741;7,34876413643959E-02;;"";"";"";"";"";""
;00012;1;1;PU;458;159;458;458;159;159;459,000000000000;160,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35786666666667;0,17571155853000;;"";"";"";"";"";""
;00013;1;1;PU;459;158;459;459;158;158;460,000000000000;159,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44859392000000;7,99563716297501E-02;;"";"";"";"";"";""
;00014;1;1;PU;570;83;570;570;83;83;571,000000000000;84,0000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48521430913580;2,09101320438227E-02;;"";"";"";"";"";""
;00015;1;1;PU;574;440;574;574;440;440;575,000000000000;441,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,55591111111111;0,50727409221482;;"";"";"";"";"";""
;00016;2;1;PU;605;179;605;606;179;179;606,000000000000;180,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,31995382951163;0,34919470773285;;"";"";"";"";"";""
;00017;1;1;PU;643;656;643;643;656;656;644,000000000000;657,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,31264965551934;0,35029296155412;;"";"";"";"";"";""
;00018;1;1;PU;649;939;649;649;939;939;650,000000000000;940,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47166973893004;0,14018430574392;;"";"";"";"";"";""
;00019;2;1;PU;754;320;754;755;320;320;756,000000000000;321,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,61690370044966;0,15338054585264;;"";"";"";"";"";""
;00020;1;1;PU;892;639;892;892;639;639;893,000000000000;640,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46307555555556;0,23136219742594;;"";"";"";"";"";""
