Data ID:;D:\mrolf2\ML3.3_5-20\NO1-2\ML3.3_5-20_NO1-2.ilab
Date of Export:;2020-07-10 11:02:39
Classes:;24
Particles:;4593

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;13
;2;PET;PET;3
;3;PA;PA;0
;4;PC;PC;2
;5;PMMA;PMMA;2
;6;PVC;PVC;15
;7;PE;PE;21
;8;PP;PP;4
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;3
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;1
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;4528
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;Länge;Breite;Kommentar
;00001;1;1;PU;179;447;179;179;447;447;180,000000000000;448,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36407804713086;0,16701854690691;;"";"";"";"";"";""
;00002;1;1;PU;292;287;292;292;287;287;293,000000000000;288,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41813333333333;0,53804552299588;;"";"";"";"";"";""
;00003;3;1;PU;311;210;311;312;209;210;313,000000000000;211,000000000000;0,70710678118655;-0,70710678118655;2,41421356237308;1,70710678118655;1,41421356237308;135,000000000000;0,29812168122469;0,45736559580932;;"";"";"";"";"";""
;00004;1;1;PU;322;341;322;322;341;341;323,000000000000;342,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32221837920725;0,19408159129477;;"";"";"";"";"";""
;00005;2;1;PU;346;479;346;347;479;479;348,000000000000;480,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,40186261756839;0,27369628817940;;"";"";"";"";"";""
;00006;2;1;PU;402;205;402;402;205;206;403,000000000000;206,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,38459141935660;0,30980013739063;;"";"";"";"";"";""
;00007;1;1;PU;497;317;497;497;317;317;498,000000000000;318,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45226666666667;0,33168636474309;;"";"";"";"";"";""
;00008;2;1;PU;574;212;574;575;212;212;576,000000000000;213,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,14616740020254;0,36697942566555;;"";"";"";"";"";""
;00009;1;1;PU;650;620;650;650;620;620;651,000000000000;621,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43331242666667;0,26173242356014;;"";"";"";"";"";""
;00010;1;1;PU;766;455;766;766;455;455;767,000000000000;456,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42729244444444;6,01391119441622E-02;;"";"";"";"";"";""
