Data ID:;D:\mrolf2\ML3.3_5-20\NO2-1\ML3.3_5-20_NO.2-1.ilab
Date of Export:;2020-07-10 11:06:20
Classes:;24
Particles:;3856

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;22
;2;PET;PET;4
;3;PA;PA;0
;4;PC;PC;3
;5;PMMA;PMMA;0
;6;PVC;PVC;35
;7;PE;PE;43
;8;PP;PP;7
;9;POM;POM;0
;10;ABS;ABS;2
;11;PAN;PAN;0
;12;PS;PS;2
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;1
;18;EVOH;EVOH;2
;19;PSU;PSU;0
;20;SILICONE;SI;1
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;3734
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00001;1;1;PU;84;592;84;84;592;592;85,0000000000000;593,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,26521535580943;0,00000000000000;;"";"";"";"";"";""
;00002;1;1;PU;131;512;131;131;512;512;132,000000000000;513,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39835140096000;0,19039312269806;;"";"";"";"";"";""
;00003;1;1;PU;208;211;208;208;211;211;209,000000000000;212,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45243417283951;5,31899142615804E-02;;"";"";"";"";"";""
;00004;1;1;PU;289;137;289;289;137;137;290,000000000000;138,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44518400000000;3,86566001395572E-02;;"";"";"";"";"";""
;00005;1;1;PU;384;729;384;384;729;729;385,000000000000;730,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43899496296296;0,11540446287458;;"";"";"";"";"";""
;00006;1;1;PU;434;685;434;434;685;685;435,000000000000;686,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50252210883951;1,29773499165133E-02;;"";"";"";"";"";""
;00007;2;1;PU;455;407;455;456;407;407;456,000000000000;408,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,28704768000000;0,11083918375736;;"";"";"";"";"";""
;00008;1;1;PU;469;645;469;469;645;645;470,000000000000;646,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38424572246738;0,30658351511326;;"";"";"";"";"";""
;00009;1;1;PU;491;476;491;491;476;476;492,000000000000;477,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44036926156379;0,17175484177925;;"";"";"";"";"";""
;00010;1;1;PU;495;217;495;495;217;217;496,000000000000;218,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46011701728395;0,30319850071985;;"";"";"";"";"";""
