Data ID:;D:\mrolf2\Blanks\FB_ML\1v2\FB ML3 1v2.ilab
Date of Export:;2020-07-15 17:45:37
Classes:;24
Particles:;36807

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;3
;2;PET;PET;2
;3;PA;PA;0
;4;PC;PC;0
;5;PMMA;PMMA;2
;6;PVC;PVC;20
;7;PE;PE;1
;8;PP;PP;0
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;1
;12;PS;PS;0
;13;PBT;PBT;3
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;2
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;29940
;22;Non-Polymer;Non-Polymer;6833
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;Länge;Breite;Kommentar
;00001;1;1;PU;421;299;421;421;299;299;422,000000000000;300,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47422159943208;0,27140770135407;;"";"";"";"";"";""
;00002;1;1;PU;427;304;427;427;304;304;428,000000000000;305,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41202008913541;0,60683342239381;;"";"";"";"";"";""
;00003;3;1;PU;428;303;428;429;302;303;430,000000000000;304,000000000000;0,70710678118655;-0,70710678118655;2,41421356237308;1,70710678118655;1,41421356237308;135,000000000000;0,67409066666667;0,21807524766564;;"";"";"";"";"";""
;00004;11;2;PET;515;670;515;519;670;672;518,000000000000;672,000000000000;0,96720692401960;0,25398969689445;5,12281739297282;3,44239324182820;1,48815577799943;14,7137282015949;0,44549455924916;0,34616681831405;;"";"";"";"";"";""
;00005;4;2;PET;518;676;518;520;676;677;520,000000000000;677,000000000000;0,94868329805051;-0,31622776601684;3,21359436211787;1,94868329805047;1,64911064067356;161,565051177078;0,30973764204422;0,50076700084095;OK;"ja";"Fragment";"";"192";"89";""
;00006;1;5;PMMA;765;832;765;765;832;832;766,000000000000;833,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38667589807864;0,28957017380805;;"";"";"";"";"";""
;00007;1;5;PMMA;787;801;787;787;801;801;788,000000000000;802,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38259842753909;0,26301904708885;;"";"";"";"";"";""
;00008;1;6;PVC;70;444;70;70;444;444;71,0000000000000;445,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39155200000000;4,06960482004142E-02;;"";"";"";"";"";""
;00009;1;6;PVC;225;712;225;225;712;712;226,000000000000;713,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41494044444444;0,52591478920033;;"";"";"";"";"";""
;00010;1;6;PVC;261;679;261;261;679;679;262,000000000000;680,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42733226666667;7,50651112491510E-02;;"";"";"";"";"";""
;00011;5;6;PVC;262;674;262;263;672;675;264,000000000000;675,000000000000;-0,35826376718337;0,93362041168967;4,15912500225249;1,93362041168962;2,15095216057334;110,993606247908;0,27293955559418;0,14912075701453;;"";"";"";"";"";""
;00012;3;6;PVC;269;540;269;270;540;541;271,000000000000;541,000000000000;0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;45,0000000000000;0,28239644444444;0,21578903363483;;"";"";"";"";"";""
;00013;1;6;PVC;447;665;447;447;665;665;448,000000000000;666,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40930733827160;0,38851294085588;;"";"";"";"";"";""
;00014;2;6;PVC;490;725;490;491;725;725;492,000000000000;726,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,42249244444444;0,19729318658080;;"";"";"";"";"";""
;00015;1;6;PVC;492;724;492;492;724;724;493,000000000000;725,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41813333333333;0,26038942621940;;"";"";"";"";"";""
;00016;1;6;PVC;494;144;494;494;144;144;495,000000000000;145,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43269779911111;0,26650601763098;;"";"";"";"";"";""
;00017;1;6;PVC;575;778;575;575;778;778;576,000000000000;779,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45937777777778;0,10221860292683;;"";"";"";"";"";""
;00018;1;6;PVC;646;275;646;646;275;275;647,000000000000;276,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30526280438519;0,13229414058416;;"";"";"";"";"";""
;00019;1;6;PVC;800;778;800;800;778;778;801,000000000000;779,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42580031209877;0,39082715674199;;"";"";"";"";"";""
;00020;1;6;PVC;826;738;826;826;738;738;827,000000000000;739,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48053333333333;0,31611206732549;;"";"";"";"";"";""
;00021;1;6;PVC;827;737;827;827;737;737;828,000000000000;738,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41946225777778;0,10690620773482;;"";"";"";"";"";""
;00022;1;6;PVC;849;390;849;849;390;390;850,000000000000;391,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38660555821650;0,38244829252569;;"";"";"";"";"";""
;00023;2;6;PVC;904;411;904;904;411;412;905,000000000000;412,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,45938030617284;0,00000000000000;;"";"";"";"";"";""
;00024;1;6;PVC;931;510;931;931;510;510;932,000000000000;511,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43200426666667;0,38586909622249;;"";"";"";"";"";""
;00025;1;6;PVC;944;539;944;944;539;539;945,000000000000;540,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,55797330172839;0,43368670800845;;"";"";"";"";"";""
;00026;1;6;PVC;950;527;950;950;527;527;951,000000000000;528,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39616565939095;0,17394284318042;;"";"";"";"";"";""
;00027;1;6;PVC;951;526;951;951;526;526;952,000000000000;527,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40975170370370;0,20148128582747;;"";"";"";"";"";""
;00028;3;7;PE;392;52;392;392;52;54;393,000000000000;54,0000000000000;0,00000000000000;1,00000000000000;3,00000000000000;1,00000000000000;3,00000000000000;90,0000000000000;0,36492486731852;4,01587921879617E-02;;"";"";"";"";"";""
;00029;1;11;PAN;454;36;454;454;36;36;455,000000000000;37,0000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42789878715733;0,62536239474303;OK;"ja";"Fragment";"schwarz";"155";"32";""
;00030;1;13;PBT;211;479;211;211;479;479;212,000000000000;480,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34211567050165;0,55808833373047;;"";"";"";"";"";""
;00031;5;13;PBT;378;650;378;381;649;650;380,000000000000;651,000000000000;0,99595931395311;8,98055953159171E-02;3,98787794185938;2,08576490926896;1,91194986747432;5,15242323438302;0,70689185185185;0,71941744063048;OK;"ja";"Fragment";"transparent";"70";"35";""
;00032;1;13;PBT;458;424;458;458;424;424;459,000000000000;425,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36604485530864;0,53579661472228;;"";"";"";"";"";""
;00033;1;18;EVOH;267;541;267;267;541;541;268,000000000000;542,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,62256811864564;0,65330071679937;;"";"";"";"";"";""
;00034;1;18;EVOH;464;420;464;464;420;420;465,000000000000;421,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42628125683022;0,78664907615457;;"";"";"";"";"";""
