Data ID:;D:\mrolf2\Blanks\FB_PW\2v2\FB PW3 -2v2.ilab
Date of Export:;2020-07-15 17:44:02
Classes:;24
Particles:;46162

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;1
;2;PET;PET;0
;3;PA;PA;0
;4;PC;PC;0
;5;PMMA;PMMA;0
;6;PVC;PVC;4
;7;PE;PE;0
;8;PP;PP;1
;9;POM;POM;1
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;0
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;36967
;22;Non-Polymer;Non-Polymer;9188
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;Länge;Breite;Kommentar
;00001;1;1;PU;496;302;496;496;302;302;497,000000000000;303,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37237397393319;0,33181640899026;;"";"";"";"";"";""
;00002;1;6;PVC;29;656;29;29;656;656;30,0000000000000;657,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42598400000000;0,47645033679977;;"";"";"";"";"";""
;00003;3;6;PVC;31;653;31;32;652;653;33,0000000000000;654,000000000000;0,70710678118655;-0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;135,000000000000;0,44160000000000;7,33304375897319E-02;;"";"";"";"";"";""
;00004;1;6;PVC;214;265;214;214;265;265;215,000000000000;266,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46399010639012;0,25339044985893;;"";"";"";"";"";""
;00005;1;6;PVC;492;889;492;492;889;889;493,000000000000;890,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,60347733333333;0,40953469133277;;"";"";"";"";"";""
;00006;1;8;PP;437;568;437;437;568;568;438,000000000000;569,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45687244572984;0,73134268483379;;"";"";"";"";"";""
;00007;1;9;POM;580;359;580;580;359;359;581,000000000000;360,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,52560799251873;0,00000000000000;;"";"";"";"";"";""
