Data ID:;D:\mrolf2\Blanks\FB_PW3_ML1_1v2\FB_PW3_ML1_1v2\FB PW 3 ML1-1_1v2.ilab
Date of Export:;2020-07-15 17:41:18
Classes:;24
Particles:;59476

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;14
;2;PET;PET;10
;3;PA;PA;2
;4;PC;PC;1
;5;PMMA;PMMA;9
;6;PVC;PVC;34
;7;PE;PE;4
;8;PP;PP;6
;9;POM;POM;2
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;5
;13;PBT;PBT;4
;14;PPSU;PPSU;11
;15;CA;CA;0
;16;EVAc;EVAc;2
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;3
;20;SILICONE;SI;6
;21;Substrat;Substrate;52004
;22;Non-Polymer;Non-Polymer;7358
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00001;1;1;PU;214;750;214;214;750;750;215,000000000000;751,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38271651081481;0,62724356004084;;"";"";"";"";"";""
;00002;1;1;PU;216;751;216;216;751;751;217,000000000000;752,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41260425744154;0,53092818580488;;"";"";"";"";"";""
;00003;1;1;PU;514;136;514;514;136;136;515,000000000000;137,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53800960000000;0,22208815350680;;"";"";"";"";"";""
;00004;4;1;PU;519;974;519;520;972;974;521,000000000000;974,000000000000;-0,31622776601684;0,94868329805051;3,21359436211787;1,94868329805035;1,64911064067365;108,434948822922;0,53758227741147;0,63361098240154;;"";"";"";"";"";""
;00005;1;1;PU;522;971;522;522;971;971;523,000000000000;972,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48864438517760;0,58803530843382;;"";"";"";"";"";""
;00006;1;1;PU;525;868;525;525;868;868;526,000000000000;869,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,57170802915556;0,51192527767288;;"";"";"";"";"";""
;00007;3;1;PU;633;301;633;634;300;301;635,000000000000;302,000000000000;-0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;135,000000000000;0,23355847111111;0,55352948181385;;"";"";"";"";"";""
;00008;3;1;PU;691;909;691;692;909;910;692,000000000000;910,000000000000;0,70710678118655;-0,70710678118655;2,41421356237311;1,70710678118667;1,41421356237300;135,000000000000;0,37913789629630;0,63743169217376;;"";"";"";"";"";""
;00009;1;1;PU;761;279;761;761;279;279;762,000000000000;280,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47536137102222;0,64873716022229;;"";"";"";"";"";""
;00010;1;1;PU;766;824;766;766;824;824;767,000000000000;825,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51228318024691;0,32096037010779;;"";"";"";"";"";""
