Sampling_Site,Sample_ID,MP identifier,Coordinates [pixels],,Coordinates [µm],,Polymer group,Number of pixels [-],Area on map [µm²],Major dimension [µm],Minor dimension [µm],Volume [µm³],Mass [ng]
N1,N1/1,MP_1,[1569,1197],[8630,6584],pet,219,6624.8,164.7,51.2,135700.25,187.26634
N1,N1/1,MP_2,[89,1466],[490,8063],pe,13,393.3,30.1,16.6,2616.905,2.48606
N1,N1/1,MP_3,[449,1707],[2470,9389],pe,26,786.5,41.6,24.1,7581.101,7.20205
N1,N1/1,MP_4,[549,1138],[3020,6259],pe,126,3811.5,113.8,42.7,65032.684,61.78105
N1,N1/1,MP_5,[695,534],[3823,2937],pe,11,332.8,25.3,16.7,2226.188,2.11488
N1,N1/1,MP_6,[542,1750],[2981,9625],pp,60,1815,80.6,28.7,20815.74,19.77495
N1,N1/1,MP_7,[580,1736],[3190,9548],pp,127,3841.8,112.9,43.3,66562.977,63.23483
N1,N1/2,MP_1,[662,1962],[3641,10791],pet,47,1421.8,56.9,31.8,18079.223,24.94933
N1,N1/2,MP_2,[668,1900],[3674,10450],pet,69,2087.3,123.7,21.5,17943.854,24.76252
N1,N1/2,MP_3,[1033,1043],[5682,5737],pet,1018,30794.5,648.5,60.5,744765.75,1027.77675
N1,N1/2,MP_4,[1253,1825],[6892,10038],pet,27,816.8,37.6,27.7,9042.832,12.47911
N1,N1/2,MP_5,[1420,563],[7810,3097],pet,49,1482.3,83.2,22.7,13452.697,18.56472
N1,N1/2,MP_6,[1434,558],[7887,3069],pet,44,1331,53.8,31.5,16785.039,23.16335
N1,N1/2,MP_7,[1995,1846],[10973,10153],pet,87,2631.8,84.2,39.8,41870.734,57.78161
N1,N1/2,MP_8,[834,2020],[4587,11110],pet,38,1149.5,50.3,29.1,13366.059,18.44516
N1,N1/2,MP_9,[193,1137],[1062,6254],pet,47,1421.8,100,18.1,10290.161,14.20042
N1,N1/2,MP_10,[2034,1704],[11187,9372],pet,28,847,44.2,24.4,8267.221,11.40876
N1,N1/2,MP_11,[924,1730],[5082,9515],pe,57,1724.3,85.5,25.7,17714.133,16.82843
N1,N1/2,MP_12,[955,1065],[5253,5858],pe,28,847,39.1,27.6,9334.154,8.86745
N1,N1/2,MP_13,[1010,1636],[5555,8998],pe,2028,61347,587.9,132.9,3260415.25,3097.3945
N1,N1/2,MP_14,[998,1749],[5489,9620],pe,15,453.8,28.8,20,3636.559,3.45473
N1,N1/2,MP_15,[1123,836],[6177,4598],pe,44,1331,56.5,30,15971.519,15.17294
N1,N1/2,MP_16,[1315,2034],[7233,11187],pe,55,1663.8,60.8,34.9,23196.699,22.03686
N1,N1/2,MP_17,[1373,1829],[7552,10060],pe,75,2268.8,93.2,31,28120.285,26.71427
N1,N1/2,MP_18,[1469,122],[8080,671],pe,187,5656.8,323.5,22.3,50382.527,47.8634
N1,N1/2,MP_19,[1516,117],[8338,644],pe,12,363,28.2,16.4,2381.702,2.26262
N1,N1/2,MP_20,[1680,2087],[9240,11479],pe,51,1542.8,91.7,21.4,13222.718,12.56158
N1,N1/2,MP_21,[1745,839],[9598,4615],pe,36,1089,51.7,26.8,11688.572,11.10414
N1,N1/2,MP_22,[1013,961],[5572,5286],pp,51,1542.8,61,32.2,19857.012,18.86416
N1,N1/2,MP_23,[1030,950],[5665,5225],pp,22,665.5,64,13.2,3526.293,3.34998
N2,N2/1,MP_1,[1013,1439],[5572,7915],pet,300,9075,238.1,48.5,176186.313,243.13711
N2,N2/1,MP_2,[1110,1467],[6105,8069],pet,69,2087.3,94.6,28.1,23452.318,32.3642
N2,N2/1,MP_3,[1241,1022],[6826,5621],pet,20,605,61.6,12.5,3026.748,4.17691
N2,N2/1,MP_4,[1299,1062],[7145,5841],pet,345,10436.3,198.7,66.9,279123.063,385.18981
N2,N2/1,MP_5,[1330,1109],[7315,6100],pet,328,9922,294.6,42.9,170168.656,234.83275
N2,N2/1,MP_6,[1540,1444],[8470,7942],pet,33,998.3,50.3,25.3,10087.211,13.92035
N2,N2/1,MP_7,[1670,1386],[9185,7623],pet,169,5112.3,225.7,28.8,58974.293,81.38452
N2,N2/1,MP_8,[2095,1330],[11523,7315],pet,19,574.8,48.5,15.1,3471.979,4.79133
N2,N2/1,MP_9,[1798,679],[9889,3735],pe,71,2147.8,91.9,29.7,25553.123,24.27547
N2,N2/1,MP_10,[2108,1515],[11594,8333],pe,30,907.5,54.5,21.2,7694.601,7.30987
N2,N2/1,MP_11,[1643,1812],[9037,9966],pp,24,726,56.2,16.4,4775.833,4.53704
N2,N2/1,MP_12,[1667,1835],[9169,10093],pp,37,1119.3,58.9,24.2,10824.026,10.28283
N2,N2/2,MP_1,[832,1500],[4576,8250],pet,153,4628.3,184.4,32,59163.332,81.6454
N2,N2/2,MP_2,[1426,637],[7843,3504],pe,26,786.5,39,25.7,8087.274,7.68291
N3,N3/1,MP_1,[725,1304],[3988,7172],pet,83,2510.8,116.5,27.4,27555.564,38.02668
N3,N3/1,MP_2,[1159,1138],[6375,6259],pet,77,2329.3,109.1,27.2,25337.83,34.96621
N3,N3/1,MP_3,[962,1339],[5291,7365],pet,99,2994.8,128.2,29.8,35640.359,49.1837
N3,N3/1,MP_4,[616,254],[3388,1397],pe,31,937.8,66.6,17.9,6722.568,6.38644
N3,N3/1,MP_5,[624,263],[3432,1447],pe,59,1784.8,73.5,30.9,22064.156,20.96095
N3,N3/1,MP_6,[1124,1871],[6182,10291],pe,2906,87906.5,723.6,154.7,5439086.5,5167.132
N3,N3/1,MP_7,[1196,1948],[6578,10714],pe,26,786.5,40.3,24.9,7820.304,7.42929
N3,N3/1,MP_8,[1336,1337],[7348,7354],pp,570,17242.5,246.4,89.1,614443.125,583.72094
N3,N3/1,MP_9,[1957,973],[10764,5352],pp,101,3055.3,173.4,22.4,27420.242,26.04923
N3,N3/1,MP_10,[112,823],[616,4527],pp,166,5021.5,236,27.1,54411.949,51.69135
N3,N3/2,MP_1,[982,916],[5401,5038],pet,53,1603.3,63.8,32,20509.395,28.30296
N3,N3/2,MP_2,[1608,2091],[8844,11501],pet,48,1452,109.1,17,9846.241,13.58781
N3,N3/2,MP_3,[144,1785],[792,9818],pe,52,1573,112.8,17.8,11174.354,10.61564
N3,N3/2,MP_4,[2123,566],[11677,3113],pe,10,302.5,30.1,12.8,1548.465,1.47104
N3,N3/2,MP_5,[216,1901],[1188,10456],pp,108,3267,149.5,27.8,36354.758,34.53702
N3,N3/2,MP_6,[839,2136],[4615,11748],pp,138,4174.5,209.9,25.3,42281.98,40.16788
N3,N3/2,MP_7,[1244,80],[6842,440],pp,115,3478.8,103,43,59833.973,56.84227
N5,N5/1,MP_1,[938,1862],[5159,10241],pet,164,4961,171.4,36.9,73137.563,100.92984
N5,N5/1,MP_2,[974,1860],[5357,10230],pet,231,6987.8,227.5,39.1,109329.258,150.87438
N5,N5/1,MP_3,[1055,1838],[5803,10109],pet,180,5445,145.5,47.6,103758.727,143.18705
N5,N5/1,MP_4,[1655,1629],[9103,8960],pet,217,6564.3,336.4,24.8,65227.082,90.01338
N5,N5/1,MP_5,[48,1499],[264,8245],pe,196,5929,139.7,54,128178.234,121.76932
N5,N5/1,MP_6,[531,2164],[2921,11902],pe,385,11646.3,177,83.8,390289.781,370.77528
N5,N5/1,MP_7,[810,2171],[4455,11941],pp,88,2662,123,27.6,29339.445,27.87247
N5,N5/2,MP_1,[412,746],[2266,4103],pet,9,272.3,25.3,13.7,1490.258,2.05656
N5,N5/2,MP_2,[841,689],[4626,3790],pet,12,363,30.1,15.4,2229.789,3.07711
N5,N5/2,MP_3,[2145,720],[11798,3960],pet,60,1815,76,30.4,22065.285,30.45009
N5,N5/2,MP_4,[960,307],[5280,1689],pet,31,937.8,46.8,25.5,9567.92,13.20373
N5,N5/2,MP_5,[513,530],[2822,2915],pe,9,272.3,25.3,13.7,1490.258,1.41575
N5,N5/2,MP_6,[1404,232],[7722,1276],pe,28,847,46.5,23.2,7863.635,7.47045
N5,N5/2,MP_7,[1646,912],[9053,5016],pe,65,1966.3,74.3,33.7,26500.545,25.17552
N5,N5/2,MP_8,[682,494],[3751,2717],pp,118,3569.5,100,45.4,64882.969,61.63882
N6,N6/1,MP_1,[1204,127],[6622,699],pa,9,272.3,33.5,10.3,1125.339,1.28289
N6,N6/1,MP_2,[666,1685],[3663,9268],pe,44,1331,61.3,27.6,14715.456,13.97968
N6,N6/2,MP_1,[1157,1743],[6364,9587],pet,61,1845.3,72.3,32.5,23986.336,33.10114
N6,N6/2,MP_2,[1155,1300],[6353,7150],pe,29,877.3,67.6,16.5,5797.828,5.50794
N6,N6/2,MP_3,[2220,867],[12210,4769],pe,21,635.3,42.4,19.1,4847.788,4.6054
N6,N6/2,MP_4,[1245,1865],[6848,10258],pp,192,5808,130,56.9,132123.203,125.51704
N6,N6/2,MP_5,[1362,844],[7491,4642],pp,148,4477,165.2,34.5,61808.039,58.71764
N6,N6/2,MP_6,[1976,1588],[10868,8734],pp,33,998.3,63.5,20,7990.863,7.59132
N7,N7/1,MP_1,[142,691],[781,3801],pet,52,1573,74.3,27,16963.883,23.41016
N7,N7/1,MP_2,[323,696],[1777,3828],pet,317,9589.3,362,33.7,129380.914,178.54566
N7,N7/1,MP_3,[345,618],[1898,3399],pet,74,2238.5,118.5,24,21531.629,29.71365
N7,N7/1,MP_4,[386,512],[2123,2816],pet,114,3448.5,198.7,22.1,30481.686,42.06473
N7,N7/1,MP_5,[424,490],[2332,2695],pet,89,2692.3,76.6,44.8,48208.809,66.52816
N7,N7/1,MP_6,[696,2212],[3828,12166],pet,292,8833,176.1,63.9,225603.578,311.33294
N7,N7/1,MP_7,[1274,1627],[7007,8949],pet,84,2541,186.5,17.4,17636.311,24.33811
N7,N7/1,MP_8,[1302,1651],[7161,9081],pet,62,1875.5,143.6,16.6,12476.102,17.21702
N7,N7/1,MP_9,[1330,1678],[7315,9229],pet,106,3206.5,95.3,42.8,54940.707,75.81817
N7,N7/1,MP_10,[1692,753],[9306,4142],pet,23,695.8,48.5,18.3,5087.749,7.02109
N7,N7/1,MP_11,[1712,109],[9416,600],pet,45,1361.3,64,27.1,14753.602,20.35997
N7,N7/1,MP_12,[1731,913],[9521,5022],pet,98,2964.5,163.5,23.1,27379.418,37.7836
N7,N7/1,MP_13,[1758,895],[9669,4923],pet,36,1089,94.6,14.7,6383.997,8.80992
N7,N7/1,MP_14,[2286,1285],[12573,7068],pet,196,5929,149.6,50.5,119713.609,165.20478
N7,N7/1,MP_15,[2284,1172],[12562,6446],pet,506,15306.5,352.6,55.3,338403.938,466.99744
N7,N7/1,MP_16,[1251,1622],[6881,8921],pet,11,332.8,25.3,16.7,2226.188,3.07214
N7,N7/1,MP_17,[1317,1673],[7244,9202],pet,27,816.8,40.5,25.7,8388.444,11.57605
N7,N7/1,MP_18,[233,655],[1282,3603],pe,24,726,40.3,22.9,6663.454,6.33028
N7,N7/1,MP_19,[437,1038],[2404,5709],pe,10,302.5,25.3,15.2,1839.825,1.74783
N7,N7/1,MP_20,[655,729],[3603,4010],pe,68,2057,67.6,38.7,31877.711,30.28382
N7,N7/1,MP_21,[1532,1989],[8426,10940],pe,35,1058.8,46.5,29,12286.931,11.67258
N7,N7/1,MP_22,[1561,159],[8586,875],pe,20,605,35.1,21.9,5308.186,5.04278
N7,N7/1,MP_23,[1890,309],[10395,1700],pe,189,5717.3,160.6,45.3,103651.406,98.46884
N7,N7/1,MP_24,[2057,1640],[11314,9020],pe,171,5172.8,122.7,53.7,111075.008,105.52126
N7,N7/1,MP_25,[2146,621],[11803,3416],pe,43,1300.8,55.8,29.7,15454.884,14.68214
N7,N7/1,MP_26,[732,2240],[4026,12320],pe,46,1391.5,75.8,23.4,13007.469,12.35709
N7,N7/1,MP_27,[738,2232],[4059,12276],pe,28,847,39,27.7,9379.324,8.91036
N7,N7/1,MP_28,[1950,753],[10725,4142],abs,348,10527,166.6,80.5,338858.688,362.57881
N7,N7/1,MP_29,[214,1071],[1177,5891],pp,22,665.5,37.6,22.6,6003.746,5.70356
N7,N7/1,MP_30,[1121,783],[6166,4307],pp,15,453.8,35.1,16.5,2985.854,2.83656
N7,N7/1,MP_31,[1222,1232],[6721,6776],pp,48,1452,61.3,30.2,17512.609,16.63698
N7,N7/1,MP_32,[1453,1070],[7992,5885],pp,62,1875.5,65.9,36.3,27199.061,25.83911
