id,site,visit,point,length,roundness,L,a,b
A5U4,Napindan,August,5,3013.284,0.830020456,78.53501434,-4.933425975,20.44538717
A4D1,Napindan,August,4,2374.008,0.744285608,62.19478719,-21.58438553,3.681339326
A5U1,Napindan,August,5,1331.255,0.675899917,43.69122247,25.57318958,37.10534735
A3U3,Napindan,August,3,3397.898,0.624578645,28.63661181,-1.131788712,1.907043374
A5U2,Napindan,August,5,1142.332,0.353014237,33.16958901,-11.17203525,-13.42513801
A5U3,Napindan,August,5,1557.529,0.192560315,61.51667257,-19.6617318,-6.997224611
A5U5,Napindan,August,5,1281.474,0.18066014,79.19188554,-9.523625172,9.393733977
B1U2,Sampiruhan,August,1,2625.743,0.935897152,38.8162698,-16.11278685,-3.624414508
B4U6,Sampiruhan,August,4,4238.883,0.773966688,82.69489313,-1.718180356,-0.442220748
B2D3,Sampiruhan,August,2,535.218,0.765014237,44.51365748,-9.10334874,15.79273034
B3U5,Sampiruhan,August,3,2554.136,0.756199095,82.13141027,-11.76717236,16.30270662
B4D1,Sampiruhan,August,4,1001.432,0.745219263,36.40245927,-19.17679906,1.495806662
B3D2,Sampiruhan,August,3,942.153,0.730900652,54.93026239,-9.576519562,8.244814578
B3U3,Sampiruhan,August,3,2160.367,0.643273146,84.8032235,-11.19020213,19.60884471
B4D2,Sampiruhan,August,4,433.72,0.603145053,31.98841248,-14.10751158,-8.229924842
B2D2,Sampiruhan,August,2,621.275,0.531936943,34.27082957,-1.388612963,32.35809226
B4D4,Sampiruhan,August,4,3680.915,0.502971817,73.29175927,-2.035965024,3.597293489
B5U2,Sampiruhan,August,5,1057.138,0.446290255,41.24454151,-28.30102548,8.368692923
B5D1,Sampiruhan,August,5,1376.408,0.422961044,40.54450015,-15.47850943,16.11019604
B2U1,Sampiruhan,August,2,2085.014,0.421988423,79.12389224,-10.04156131,10.91074315
B3U2,Sampiruhan,August,3,1275.341,0.410660368,78.37182991,-11.05194101,18.99430634
B5D2,Sampiruhan,August,5,932.792,0.399498439,17.3752768,19.16842462,-43.04469933
B5U4,Sampiruhan,August,5,1339.435,0.397712664,42.74551472,-14.39312417,15.590206
B2D4,Sampiruhan,August,2,387.672,0.385330015,32.41285837,-7.512850147,16.7521104
B1U1,Sampiruhan,August,1,1242.564,0.380594969,41.13956942,-4.122111396,-34.3274203
B3U1,Sampiruhan,August,3,1080.844,0.366967138,87.17367329,-10.71827133,27.70220402
B1U5,Sampiruhan,August,1,801.256,0.354716442,12.2703758,-5.085832226,2.639040691
B2U3,Sampiruhan,August,2,1071.817,0.334715107,80.26853081,-10.72218112,20.62433638
B1U4,Sampiruhan,August,1,908.478,0.331870942,65.04564422,-0.226584344,40.60486337
B3U4,Sampiruhan,August,3,1613.356,0.301313807,70.57101194,-11.31725556,14.37446075
B5U1,Sampiruhan,August,5,897.358,0.29324079,38.87188285,-29.30717493,18.28810108
B4D3,Sampiruhan,August,4,874.883,0.284605699,31.88636842,-8.845036044,-13.46192037
B2U2,Sampiruhan,August,2,955.338,0.284212045,81.50035464,-13.69809435,21.23457138
B4U4,Sampiruhan,August,4,1440.07,0.25703013,65.87706707,-14.17289267,-30.21692417
B1D1,Sampiruhan,August,1,972.721,0.209834193,37.9190042,-13.55096192,-7.439532106
B2D1,Sampiruhan,August,2,732.767,0.207071391,35.11725169,2.851259496,24.85965093
B4U2,Sampiruhan,August,4,1593.215,0.205447307,39.76077768,-17.72493577,-4.094391947
B4U11,Sampiruhan,August,4,2207.887,0.198534366,39.68533506,-10.8500225,13.81400792
B4U1,Sampiruhan,August,4,1636.468,0.185675834,33.34734462,-19.0881692,-6.232455839
B3D1,Sampiruhan,August,3,590.367,0.173339416,64.63914522,-10.78620051,66.17822327
B4U5,Sampiruhan,August,4,1197.227,0.161415196,41.64145956,-11.34704588,14.11887358
B4U3,Sampiruhan,August,4,785.797,0.128927488,34.13968462,-15.77403644,-11.35083077
B2U4,Sampiruhan,August,2,1086.685,0.089471681,29.72680621,10.43696186,34.04271858
C2U30,San Isidro,August,2,4667.143,0.89325157,79.93334717,-18.57452397,24.23514551
C2U34,San Isidro,August,2,3125.194,0.844077729,83.70712781,-5.545557423,15.49772822
C3D1,San Isidro,August,3,2255.21,0.842548107,43.46798098,-2.601837537,21.63083434
C2U50,San Isidro,August,2,2905.405,0.841811075,89.36636059,-2.915562336,6.233158705
C2U37,San Isidro,August,2,2951.593,0.835229838,83.26613625,-6.161581654,17.52149583
C2U47,San Isidro,August,2,2448.183,0.835033478,56.12084344,-24.59122514,29.3860724
C2U31,San Isidro,August,2,3858.318,0.828389628,78.48468781,-43.02977765,7.21456403
C2U48,San Isidro,August,2,2610.454,0.825517109,68.50272701,-2.687326275,10.45594264
C2U41,San Isidro,August,2,3423.935,0.820695962,86.27378066,-3.023346867,11.26734404
C2U11,San Isidro,August,2,2063.252,0.813618634,38.05712966,-20.209224,10.70999635
C1U6,San Isidro,August,1,4581.23,0.802989347,71.8749487,-16.54456672,18.31973896
C2U20,San Isidro,August,2,2045.373,0.757710651,40.05011878,-23.22861835,12.23635534
C1U10,San Isidro,August,1,4795.742,0.754936943,76.45708992,-17.38049278,18.82729745
C1U9,San Isidro,August,1,4092.979,0.732115775,85.08872296,-20.42353536,13.98235761
C3U8,San Isidro,August,3,1782.247,0.722896649,40.28652728,-14.39817822,13.96698328
C1U8,San Isidro,August,1,4224.972,0.719772326,69.7743864,-17.76821942,15.85497832
C2U44,San Isidro,August,2,2618.929,0.718571126,76.76159851,-14.3959349,-7.941787112
C2U39,San Isidro,August,2,4210.227,0.71633527,88.79444217,-5.903766612,24.8717386
C1U13,San Isidro,August,1,2474.913,0.711984584,72.35489695,-21.13251869,-19.1501978
C1U11,San Isidro,August,1,4722.443,0.706256494,89.11469842,-17.73101514,15.08753476
C4U2,San Isidro,August,4,2924.496,0.696986245,37.66153085,-2.91335662,24.44792462
C2U35,San Isidro,August,2,4069.368,0.694428986,72.9826269,-7.883541169,-5.277264344
C3U6,San Isidro,August,3,2845.239,0.689308376,75.82190046,-2.687641152,7.868407188
C3U15,San Isidro,August,3,1309.817,0.682195388,47.2776952,-8.135022417,26.54445333
C1U15,San Isidro,August,1,3503.769,0.672728113,62.95134963,-2.061059012,8.576594225
C3U16,San Isidro,August,3,1840.551,0.671282119,42.30699013,-7.1331447,7.862574281
C3U11,San Isidro,August,3,1062.882,0.66853643,42.36929149,-3.703685527,18.32408357
C2U28,San Isidro,August,2,4094.795,0.655445169,89.65369293,-4.572099472,18.77924124
C1D3,San Isidro,August,1,2157.857,0.652310383,27.44867084,-3.42348469,-20.99455547
C2U6,San Isidro,August,2,885.279,0.647748852,43.98065914,-0.559738922,-41.13328613
C2U23,San Isidro,August,2,2493.728,0.629901749,64.85985724,-11.2928937,27.27497683
C2U9,San Isidro,August,2,1312.295,0.628372772,55.8859765,-18.47591432,22.03599479
C1D5,San Isidro,August,1,1774.836,0.623045494,42.85654749,-8.976292812,12.26074618
C1U5,San Isidro,August,1,2019.603,0.616382731,40.30737887,-14.81267235,-1.373156639
C1D6,San Isidro,August,1,1107.077,0.607207209,41.88825353,-5.883695922,15.8015292
C1D7,San Isidro,August,1,1680.394,0.604063508,45.08783183,-13.60717529,5.093686908
C1U3,San Isidro,August,1,1019.162,0.600423129,41.15279499,14.73900988,-56.83623832
C2U45,San Isidro,August,2,4410.917,0.587375439,79.1055727,-1.019204982,8.897289037
