,Type,st,Salinity,Square,Polymer,Sea,wm_new
0,Fragment,S_01,32.5935,5.029,PE,Barents Sea,Atlantic surface water
1,Fragment,S_01,32.5935,21.394,PE,Barents Sea,Atlantic surface water
2,Fragment,S_01,32.5935,6.25,PE,Barents Sea,Atlantic surface water
3,Fragment,S_01,32.5935,6.25,PVC,Barents Sea,Atlantic surface water
4,Fragment,S_02,33.1986,0.679,PE,Barents Sea,Atlantic surface water
5,Fibre,S_03,31.7578,5,Polyester,Kara Sea,Atlantic surface water
6,Fragment,S_03,31.7578,11.456,PE,Kara Sea,Atlantic surface water
7,Fragment,S_03,31.7578,2.692,PE,Kara Sea,Atlantic surface water
8,Fragment,S_09,14.8213,2.151,PP,Kara Sea,Inner Plume
9,Fragment,S_09,14.8213,2.577,PA,Kara Sea,Inner Plume
10,Fibre,S_09,14.8213,0.831,Polyester,Kara Sea,Inner Plume
11,Fragment,S_10,19.8518,7.066,PVC,Kara Sea,Outer Plume
12,Fragment,S_10,19.8518,4.323,PVC,Kara Sea,Outer Plume
13,Fragment,S_10,19.8518,1.355,PVC,Kara Sea,Outer Plume
14,Fragment,S_10,19.8518,0.808,PA,Kara Sea,Outer Plume
15,Fragment,S_10,19.8518,0.512,PA,Kara Sea,Outer Plume
16,Fragment,S_20,24.8077,7.753,PA,East Siberian Sea,Outer Plume
17,Fragment,S_21,25.3625,2.24,PE,East Siberian Sea,Outer Plume
18,Fragment,S_21,25.3625,2.35,PE,East Siberian Sea,Outer Plume
19,Fragment,S_21,25.3625,0.078,PE,East Siberian Sea,Outer Plume
20,Fragment,S_21,25.3625,0.378,PE,East Siberian Sea,Outer Plume
21,Fibre,S_21,25.3625,1.915,Polyester,East Siberian Sea,Outer Plume
22,Fragment,S_21,25.3625,8.93,PUR,East Siberian Sea,Outer Plume
23,Fragment,S_21,25.3625,1.271,PUR,East Siberian Sea,Outer Plume
24,Fragment,S_21,25.3625,0.57,PUR,East Siberian Sea,Outer Plume
25,Fragment,S_21,25.3625,1.56,PUR,East Siberian Sea,Outer Plume
26,Fragment,S_21,25.3625,0.56,PUR,East Siberian Sea,Outer Plume
27,Fragment,S_23,22.0703,0.746,PE,East Siberian Sea,Outer Plume
28,Fragment,S_23,22.0703,0.662,PE,East Siberian Sea,Outer Plume
29,Fibre,S_28,18.802,0.15,PUR,Laptev Sea,Outer Plume
30,Fibre,S_28,18.802,0.15,PUR,Laptev Sea,Outer Plume
31,Fragment,S_28,18.802,6.625,PE,Laptev Sea,Outer Plume
32,Fragment,S_28,18.802,0.863,PE,Laptev Sea,Outer Plume
33,Fragment,S_28,18.802,0.853,PVC,Laptev Sea,Outer Plume
34,Fragment,S_28,18.802,0.446,PVC,Laptev Sea,Outer Plume
35,Fibre,S_31,15.019,1.818,Polyester,Laptev Sea,Inner Plume
36,Fibre,S_32,14.8354,0.3,Polyester,Laptev Sea,Inner Plume
37,Fibre,S_32,14.8354,0.25,Polyester,Laptev Sea,Inner Plume
38,Fragment,S_46,30.5626,1.828913,PS,Barents Sea,Atlantic surface water
39,Fragment,S_46,30.5626,0.721803,PS,Barents Sea,Atlantic surface water
40,Fragment,S_46,30.5626,6.257356,PE,Barents Sea,Atlantic surface water
