,Type,Color,Long,Short,Square,Comment,Polymer,st,Lon,Lat,Dens,Mass,Sea,Salinity,wm_new,width
0,Fragment,Gray,895,767,711000,,PET,P-02,41.51402778,66.86388889,1.4,0.00004977,Barents Sea,28.3506,Atlantic surface water,50
1,Fragment,Transp,789,121,226500,"film, folded",PE,P-02,41.51402778,66.86388889,0.923,4.18119E-06,Barents Sea,28.3506,Atlantic surface water,20
2,Fragment,Transp,776,552,478000,film,PMMA,P-02,41.51402778,66.86388889,1.18,8.4606E-06,Barents Sea,28.3506,Atlantic surface water,15
3,Fragment,Black,420,37,15000,,PE,R-02,46.56375,69.37236111,0.923,2.769E-07,Barents Sea,33.043,Atlantic surface water,20
4,Fibre,Blue,914,,13710,,Acryl_fibre,R-03,52.24708333,69.87736111,1.16,1.8736E-07,Barents Sea,32.9473,Atlantic surface water,15
5,Fragment,brown/transp,269,47,12000,,PE,R-05,61.29972222,71.53236111,0.923,2.2152E-07,Kara Sea,31.2744,Atlantic surface water,20
6,Fibre,Blue,3428,,51420,,Polyester_fibre,R-06,64.84847222,72.70847222,1.4,8.48089E-07,Kara Sea,32.0548,Atlantic surface water,15
7,Fibre,Blue,1998,,29970,,Polyester_fibre,R-06,64.84847222,72.70847222,1.4,4.94306E-07,Kara Sea,32.0548,Atlantic surface water,15
8,Fragment,white,339,197,27000,,PA,R-06,64.84847222,72.70847222,1.14,1.2312E-06,Kara Sea,32.0548,Atlantic surface water,40
9,Fragment,Black,348,156,34000,,NBR,R-08,71.41208333,73.78722222,1.522,1.55244E-06,Kara Sea,16.0612,Outer Plume,30
11,Fibre,Blue,1276,,19140,,PA,R-09,75.88972222,73.85319444,1.14,2.57056E-07,Kara Sea,17.3745,Outer Plume,15
12,Fibre,Gray,437,50,21000,,PP,R-09,75.88972222,73.85319444,0.946,7.30542E-08,Kara Sea,17.3745,Outer Plume,15
13,Fibre,Gray,304,50,15000,,PP,R-09,75.88972222,73.85319444,0.946,5.08203E-08,Kara Sea,17.3745,Outer Plume,15
14,Fibre,Gray,622,,9330,,Acryl_fibre,R-10,81.69019444,74.41666667,1.16,1.27503E-07,Kara Sea,15.4989,Inner Plume,15
15,Fibre,Blue,895,,13425,,Acryl_fibre,R-10,81.69019444,74.41666667,1.16,1.83465E-07,Kara Sea,15.4989,Inner Plume,15
16,Fibre,Turkisk,636,,9540,,Acryl_fibre,R-10,81.69019444,74.41666667,1.16,1.30373E-07,Kara Sea,15.4989,Inner Plume,15
17,Fibre,turkisk,1360,,20400,,Acryl_fibre,R-12,92.39916667,76.81733333,1.16,2.78785E-07,Kara Sea,29.5112,Polar surface water,15
18,Fibre,Blue,1033,,15495,,Polyester_fibre,R-12,92.39916667,76.81733333,1.4,2.55565E-07,Kara Sea,29.5112,Polar surface water,15
19,Fibre,Blue,565,,8475,,Polyester_fibre,R-12,92.39916667,76.81733333,1.4,1.39781E-07,Kara Sea,29.5112,Polar surface water,15
20,Fragment,Gray,707,177,129450,film,PE,R-12,92.39916667,76.81733333,0.923,2.38965E-06,Kara Sea,29.5112,Polar surface water,20
21,Fragment,white,270,266,85700,bead,PTFE,R-12,92.39916667,76.81733333,2.2,0.000009427,Kara Sea,29.5112,Polar surface water,50
22,Fragment,white,569,61,34000,,PTFE,R-13,98.40151667,77.50408333,2.2,0.000002992,Kara Sea,29.924,Polar surface water,40
23,Fragment,transp,763,318,100000,,POM,R-13,98.40151667,77.50408333,1.41,0.00000564,Kara Sea,29.924,Polar surface water,40
24,Fragment,transp,893,130,64000,film,PE,R-14,102.44,77.89623333,0.923,1.18144E-06,Kara Sea,33.9978,Polar surface water,20
25,Fragment,transp,667,179,100000,film,PE,R-14,102.44,77.89623333,0.923,0.000001846,Kara Sea,33.9978,Polar surface water,20
26,Fragment,Gray/transp,204,177,12500,,NBR,R-14,102.44,77.89623333,1.522,3.805E-07,Kara Sea,33.9978,Polar surface water,20
27,Fibre,Blue,344,,5160,,Polyester_fibre,R-15,106.8339583,77.84141667,1.4,8.51057E-08,Laptev Sea,29.9782,Polar surface water,15
28,Fibre,Blue,528,,7920,,Polyester_fibre,R-15,106.8339583,77.84141667,1.4,1.30627E-07,Laptev Sea,29.9782,Polar surface water,15
29,Fibre,Gray,465,,6975,,PP,R-15,106.8339583,77.84141667,0.946,7.7735E-08,Laptev Sea,29.9782,Polar surface water,15
30,Fragment,Gray/black,456,142,33500,film,PE,R-15,106.8339583,77.84141667,0.923,6.1841E-07,Laptev Sea,29.9782,Polar surface water,20
31,Fibre,Blue,1361,,20415,,Acryl_fibre,R-16,112.6192333,77.648175,1.16,2.7899E-07,Laptev Sea,30.3906,Polar surface water,15
32,Fibre,Blue,199,,2985,,Polyester_fibre,R-16,112.6192333,77.648175,1.4,4.92327E-08,Laptev Sea,30.3906,Polar surface water,15
33,Fibre,Blue,449,,6735,,PA,R-16,112.6192333,77.648175,1.14,9.04531E-08,Laptev Sea,30.3906,Polar surface water,15
34,Fragment,Gray/black,211,144,27600,,NBR,R-16,112.6192333,77.648175,1.522,1.68029E-06,Laptev Sea,30.3906,Polar surface water,40
35,Fragment,Black,127,88,28400,,PS,R-16,112.6192333,77.648175,1.1,9.372E-07,Laptev Sea,30.3906,Polar surface water,30
36,Fibre,Blue,1010,,15150,,Acryl_fibre,R-17,118.639725,77.363725,1.16,2.07039E-07,Laptev Sea,30.4143,Polar surface water,15
37,Fragment,black,1039,52,75000,,PP,R-17,118.639725,77.363725,0.946,0.000002838,Laptev Sea,30.4143,Polar surface water,40
38,Fragment,white,481,326,104490,,PTFE,R-17,118.639725,77.363725,2.2,1.14939E-05,Laptev Sea,30.4143,Polar surface water,50
39,Fragment,gray/black,372,37,13800,,PS,R-17,118.639725,77.363725,1.1,2.277E-07,Laptev Sea,30.4143,Polar surface water,15
40,Fibre,Blue,3661,,54915,,Polyester_fibre,R-18,123.7716333,76.98645,1.4,9.05733E-07,Laptev Sea,28.5022,Polar surface water,15
41,Fibre,Blue,925,,13875,,Polyester_fibre,R-18,123.7716333,76.98645,1.4,2.28845E-07,Laptev Sea,28.5022,Polar surface water,15
42,Fibre,Blue,455,,6825,,Polyester_fibre,R-18,123.7716333,76.98645,1.4,1.12567E-07,Laptev Sea,28.5022,Polar surface water,15
43,Fibre,pink,1864,,27960,,Polyester_fibre,R-19,129.1015917,76.84164167,1.4,4.61154E-07,Laptev Sea,30.4965,Polar surface water,15
44,Fragment,transp,923,344,270000,film,PE,R-20,136.4790667,76.86465833,0.923,4.9842E-06,Laptev Sea,24.9341,Outer Plume,20
45,Fibre,gray,403,,6045,,Acryl_fibre,R-21,144.5146667,76.712225,1.16,8.26105E-08,East Siberian Sea,20.5382,Outer Plume,15
46,Fibre,gray,366,,5490,,Acryl_fibre,R-21,144.5146667,76.712225,1.16,7.50259E-08,East Siberian Sea,20.5382,Outer Plume,15
47,Fibre,gray,199,,2985,,Acryl_fibre,R-21,144.5146667,76.712225,1.16,4.07928E-08,East Siberian Sea,20.5382,Outer Plume,15
48,Fibre,gray,1437,,21555,,Acryl_fibre,R-21,144.5146667,76.712225,1.16,2.94569E-07,East Siberian Sea,20.5382,Outer Plume,15
49,Fibre,gray,459,,6885,,PP,R-22,148.6706,76.68363333,0.946,7.67319E-08,East Siberian Sea,25.0037,Outer Plume,15
50,Fragment,white,500,47,11000,,PMMA,R-22,148.6706,76.68363333,1.18,2.596E-07,East Siberian Sea,25.0037,Outer Plume,20
51,Fragment,white/brown,203,155,25000,,PS,R-22,148.6706,76.68363333,1.1,0.000000825,East Siberian Sea,25.0037,Outer Plume,30
52,Fibre,Blue,5239,,78585,,Polyester_fibre,R-23,148.9740083,76.67959167,1.4,1.29613E-06,East Siberian Sea,25.1341,Outer Plume,15
53,Fragment,black,309,309,61000,film,PE,R-23,148.9740083,76.67959167,0.923,1.12606E-06,East Siberian Sea,25.1341,Outer Plume,20
54,Fibre,Blue,5239,,78585,,Acryl_fibre,R-24,151.6470667,76.45546667,1.16,1.07394E-06,East Siberian Sea,24.8807,Outer Plume,15
55,Fibre,Blue,2177,,32655,,Acryl_fibre,R-25,156.5288333,75.8727,1.16,4.46261E-07,East Siberian Sea,21.765,Outer Plume,15
56,Fragment,gray,240,51,12200,,PA,R-26,159.7975333,75.22236667,1.14,2.7816E-07,East Siberian Sea,24.8977,Outer Plume,20
57,Fibre,pink,229,,3435,,Acryl_fibre,R-27,160.74385,74.94156667,1.16,4.69425E-08,East Siberian Sea,26.0128,Outer Plume,15
58,Fragment,white,435,156,60000,,PTFE,R-28,163.163075,74.92158333,2.2,0.00000528,East Siberian Sea,26.0442,Outer Plume,40
59,Fibre,Blue,284,,4260,,Polyester_fibre,R-29,160.8569667,74.91905,1.4,7.02617E-08,East Siberian Sea,25.8891,Outer Plume,15
60,Fibre,Blue,260,,3900,,Polyester_fibre,R-29,160.8569667,74.91905,1.4,6.43241E-08,East Siberian Sea,25.8891,Outer Plume,15
61,Fibre,Blue,5211,,78165,,Polyester_fibre,R-30,160.8750333,74.92231667,1.4,1.2892E-06,East Siberian Sea,25.9478,Outer Plume,15
62,Fibre,Blue,955,,14325,,Polyester_fibre,R-31,160.9449333,74.91196667,1.4,2.36267E-07,East Siberian Sea,26.0475,Outer Plume,15
63,Fibre,Blue,1060,,15900,,Polyester_fibre,R-34,151.328925,73.53019167,1.4,2.62244E-07,East Siberian Sea,20.547,Outer Plume,15
64,Fibre,Blue,840,,12600,,Acryl_fibre,R-36,142.9543667,72.97000833,1.16,1.72191E-07,East Siberian Sea,18.5076,Outer Plume,15
65,Fibre,Blue,454,,6810,,Polyester_fibre,R-36,142.9543667,72.97000833,1.4,1.1232E-07,East Siberian Sea,18.5076,Outer Plume,15
66,Fibre,Blue,309,,4635,,Polyester_fibre,R-36,142.9543667,72.97000833,1.4,7.64467E-08,East Siberian Sea,18.5076,Outer Plume,15
67,Fibre,Blue,161,,2415,,Polyester_fibre,R-36,142.9543667,72.97000833,1.4,3.98315E-08,East Siberian Sea,18.5076,Outer Plume,15
68,Fibre,Blue,206,,3090,,Polyester_fibre,R-36,142.9543667,72.97000833,1.4,5.09645E-08,East Siberian Sea,18.5076,Outer Plume,15
69,Fibre,gray,2055,,30825,,Polyester_fibre,R-36,142.9543667,72.97000833,1.4,5.08408E-07,East Siberian Sea,18.5076,Outer Plume,15
70,Fibre,yellow,637,,9555,,Acryl_fibre,R-36,142.9543667,72.97000833,1.16,1.30578E-07,East Siberian Sea,18.5076,Outer Plume,15
71,Fibre,Blue,5146,,77190,,Polyester_fibre,R-37,140.0484333,72.9711,1.4,1.27312E-06,East Siberian Sea,21.3527,Outer Plume,15
72,Fibre,Gray,253,,3795,,Polyester_fibre,R-37,140.0484333,72.9711,1.4,6.25923E-08,East Siberian Sea,21.3527,Outer Plume,15
74,Fibre,Blue,1212,,18180,,Polyester_fibre,R-39,130.4045333,73.11263333,1.4,2.99849E-07,Laptev Sea,13.9146,Inner Plume,15
75,Fibre,Blue,453,,6795,,Polyester_fibre,R-39,130.4045333,73.11263333,1.4,1.12072E-07,Laptev Sea,13.9146,Inner Plume,15
76,Fibre,Blue,356,,5340,,Polyester_fibre,R-39,130.4045333,73.11263333,1.4,8.80746E-08,Laptev Sea,13.9146,Inner Plume,15
77,Fibre,Blue,4908,,73620,,Polyester_fibre,R-40,130.2682667,73.34750833,1.4,1.21424E-06,Laptev Sea,13.6985,Inner Plume,15
78,Fibre,Blue,818,,12270,,Acryl_fibre,R-42,127.7962333,74.96701667,1.16,1.67681E-07,Laptev Sea,16.6213,Outer Plume,15
79,Fibre,pink,2627,,39405,,Polyester_fibre,R-42,127.7962333,74.96701667,1.4,6.49921E-07,Laptev Sea,16.6213,Outer Plume,15
80,Fibre,Blue,162,,2430,,Acryl_fibre,R-43,127.9775917,75.10531667,1.16,3.32082E-08,Laptev Sea,18.2819,Outer Plume,15
81,Fibre,Blue,707,,10605,,Polyester_fibre,R-44,127.302225,75.8033,1.4,1.74912E-07,Laptev Sea,21.7494,Outer Plume,15
82,Fibre,Blue,587,,8805,,Polyester_fibre,R-44,127.302225,75.8033,1.4,1.45224E-07,Laptev Sea,21.7494,Outer Plume,15
83,Fragment,gray,1013,121(30),54000,,SAN,R-44,127.302225,75.8033,1.08,1.7496E-06,Laptev Sea,21.7494,Outer Plume,30
84,Fragment,white,185,56,10360,,PS,R-44,127.302225,75.8033,1.1,3.4188E-07,Laptev Sea,21.7494,Outer Plume,30
85,Fibre,Blue,345,,5175,,Polyester_fibre,R-49,127.1770167,76.95890833,1.4,8.53531E-08,Laptev Sea,30.1518,Polar surface water,15
86,Fibre,Blue,176,,2640,,Polyester_fibre,R-49,127.1770167,76.95890833,1.4,4.35425E-08,Laptev Sea,28.9532,Polar surface water,15
