;ATR-Messbar(0,1);Form(Faser, Fragment, Kugel);Farbe;Analyse;Sicherheit (0,x,1);Kommentar;Bearbeiter/in;Datum;Länge;Breite
ML1.1_1-5mm_(0-5)_Markus_001;1;Fragment;braun;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_002;1;Fragment;weiß;PE;1;;Hannah;21.02.2020;3365;1607
ML1.1_1-5mm_(0-5)_Markus_003;1;Faser;weiß;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_004;1;Fragment;blau;PE;1;;Hannah;21.02.2020;2216;970
ML1.1_1-5mm_(0-5)_Markus_005;1;Fragment;transparent;PP;1;;Hannah;21.02.2020;4613;2611
ML1.1_1-5mm_(0-5)_Markus_006;1;Fragment;beige;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_007;1;Fragment;weiß;PE;1;;Hannah;21.02.2020;2085;529
ML1.1_1-5mm_(0-5)_Markus_008;1;Faser;schwarz;x;x;2x;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_009;1;Faser;braun;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_010;1;Faser;braun;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_011;1;Faser;schwarz;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_012;1;Faser;blau;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_013;1;Fragment;beige;x;x;2x;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_014;1;Faser;schwarz;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_015;1;Fragment;grau;x;x;Blend;Hannah;21.02.2020;1565;673
ML1.1_1-5mm_(0-5)_Markus_016;1;Faser;blau;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_017;1;Fragment;beige;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_018;1;Fragment;beige;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_019;1;Fragment;transparent;PP;1;;Hannah;21.02.2020;4398;4616
ML1.1_1-5mm_(0-5)_Markus_020;1;Fragment;grau;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_021;1;Faser;weiß;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_022;1;Fragment;braun;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_023;1;Fragment;braun;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_024;1;Faser;schwarz;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_025;1;Fragment;schwarz;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_026;1;Fragment;beige;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_027;1;Fragment;beige;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_028;1;Fragment;beige;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_029;1;Faser;schwarz;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_030;1;Fragment;grau;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_031;1;Fragment;grün;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_032;1;Fragment;grau;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_033;1;Fragment;grau;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_034;1;Faser;schwarz;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_035;1;Faser;schwarz;x;x;;Hannah;21.02.2020;;
ML1.1_1-5mm_(0-5)_Markus_036;1;Faser;weiß;PET;1;;Hannah;21.02.2020;9481;49
ML1.1_1-5mm_(0-5)_Markus_037;1;Fragment;beige;x;x;;Hannah;21.02.2020;;
;;;;;;;;;;
ML1_1-5mm_(0-5)_Markus_001;1;Fragment;weiß;x;x;;Hannah;21.02.2020;;
ML1_1-5mm_(0-5)_Markus_002;1;Fragment;grau;x;x;;Hannah;21.02.2020;;
ML1_1-5mm_(0-5)_Markus_003;1;Fragment;weiß;x;x;;Hannah;21.02.2020;;
ML1_1-5mm_(0-5)_Markus_004;1;Fragment;transparent;x;x;;Hannah;21.02.2020;;
ML1_1-5mm_(0-5)_Markus_005;1;Fragment;schwarz;x;x;;Hannah;21.02.2020;;
ML1_1-5mm_(0-5)_Markus_006;1;Faser;schwarz;x;x;;Hannah;21.02.2020;;
