Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.1_0-5_1-8_3v5\ML1_1_0-5_1-8_3v5.ilab
Date of Export:;2021-04-20 11:27:59
Classes:;24
Particles on File:;12504

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;22
;2;PET;PET;5
;3;PA;PA;5
;4;PC;PC;2
;5;PMMA;PMMA;26
;6;PVC;PVC;23
;7;PE;PE;305
;8;PP;PP;182
;9;POM;POM;13
;10;ABS;ABS;1
;11;PAN;PAN;0
;12;PS;PS;73
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;52
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;3924
;22;Non-Polymer;Non-Polymer;7869
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;1

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;711

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;polymer;shape;length;width;comment
;00001;1;122,102499999944;1;PU;172;568;172;172;568;568;172;568;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34373373299472;0,39127918747784;;"";"";"";"";""
;00002;1;122,102499999944;1;PU;319;833;319;319;833;833;319;833;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30484272741092;0,43290155597585;;"";"";"";"";""
;00003;1;122,102499999944;1;PU;362;171;362;362;171;171;362;171;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35279621688889;0,12086941775320;;"";"";"";"";""
;00004;3;366,307499999831;1;PU;389;603;389;390;603;604;389;603;0,70710678118655;-0,70710678118655;2,41421356237311;1,70710678118667;1,41421356237300;135,000000000000;0,17998215732675;6,69871306512635E-02;;"";"";"";"";""
;00005;1;122,102499999944;1;PU;402;80;402;402;80;80;402;80;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49759772907984;0,17227893276489;;"";"";"";"";""
;00006;2;244,204999999887;1;PU;409;498;409;409;498;499;409;498;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,48837663183539;7,56774093433735E-04;;"";"";"";"";""
;00007;1;122,102499999944;1;PU;469;116;469;469;116;116;469;116;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38545180444444;7,03600966880105E-02;;"";"";"";"";""
;00008;1;122,102499999944;1;PU;475;739;475;475;739;739;475;739;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47201899456790;0,46722726193055;;"";"";"";"";""
;00009;1;122,102499999944;1;PU;499;270;499;499;270;270;499;270;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43714332444444;5,23870828303607E-03;;"";"";"";"";""
;00010;1;122,102499999944;1;PU;535;273;535;535;273;273;535;273;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49631175111111;0,26693509898593;;"";"";"";"";""
;00011;1;122,102499999944;1;PU;537;395;537;537;395;395;537;395;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44000000000000;8,99409716188593E-02;;"";"";"";"";""
;00012;15;1831,53749999916;1;PU;571;115;571;575;115;118;573;116;0,94868329805051;0,31622776601684;5,11096095821893;4,16227766016836;1,22792407799440;18,4349488229220;0,89617777777778;0,55901072436097;;"";"";"";"";""
;00013;2;244,204999999887;1;PU;599;772;599;599;772;773;599;772;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,40565418666667;0,23567045715662;;"";"";"";"";""
;00014;1;122,102499999944;1;PU;604;767;604;604;767;767;604;767;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35275708744691;0,20445472926169;;"";"";"";"";""
;00015;1;122,102499999944;1;PU;607;139;607;607;139;139;607;139;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34964437521794;6,21489809413660E-02;;"";"";"";"";""
;00016;1;122,102499999944;1;PU;607;765;607;607;765;765;607;765;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37317051204353;0,36388316280269;;"";"";"";"";""
;00017;1;122,102499999944;1;PU;647;97;647;647;97;97;647;97;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36462574857481;6,08116223040263E-02;;"";"";"";"";""
;00018;306;37363,3649999828;1;PU;752;225;752;776;222;241;766;231;0,88382813303775;0,46781174766245;28,7612396601804;17,0124971192538;1,69059482911712;27,8923458456295;0,82526208000000;0,57669319380683;;"";"";"";"";""
;00019;1;122,102499999944;1;PU;834;744;834;834;744;744;834;744;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33187081481482;0,55869907120907;;"";"";"";"";""
