Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.1_0-5_1-8_4v5\ML 1.1 0-5 1-8 4v5.ilab
Date of Export:;2021-05-07 11:38:24
Classes:;24
Particles on File:;62037

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;13
;2;PET;PET;1
;3;PA;PA;0
;4;PC;PC;3
;5;PMMA;PMMA;18
;6;PVC;PVC;5
;7;PE;PE;152
;8;PP;PP;139
;9;POM;POM;47
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;23
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;31
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;8
;21;Substrat;Substrate;55048
;22;Non-Polymer;Non-Polymer;6549
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;440

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer?;Shape;Length;Width
;00001;5;610,512499999719;1;PU;190;655;190;192;654;655;191;655;0,94868329805051;-0,31622776601684;3,21359436211785;2,26491106406729;1,41886116991584;161,565051177078;0,32704000000000;0,00000000000000;;"";"";"0";"0"
;00002;1;122,102499999944;1;PU;291;576;291;291;576;576;291;576;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41845191111111;0,00000000000000;;"";"";"0";"0"
;00003;1;122,102499999944;1;PU;305;475;305;305;475;475;305;475;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,28742267132839;0,00000000000000;;"";"";"0";"0"
;00004;1;122,102499999944;1;PU;310;901;310;310;901;901;310;901;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44572790328889;0,00000000000000;;"";"";"0";"0"
;00005;1;122,102499999944;1;PU;475;531;475;475;531;531;475;531;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35280213333333;0,00000000000000;;"";"";"0";"0"
;00006;1;122,102499999944;1;PU;592;133;592;592;133;133;592;133;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45506696411970;0,00000000000000;;"";"";"0";"0"
;00007;12;1465,22999999932;1;PU;601;158;601;604;158;160;602;159;1,00000000000000;0,00000000000000;4,00000000000000;3,00000000000000;1,33333333333333;0,00000000000000;0,86033066666667;0,00000000000000;;"";"";"0";"0"
;00008;1;122,102499999944;1;PU;605;154;605;605;154;154;605;154;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,54496976592593;0,00000000000000;;"";"";"0";"0"
;00009;1;122,102499999944;1;PU;659;148;659;659;148;148;659;148;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,24404451555556;0,00000000000000;;"";"";"0";"0"
;00010;1;122,102499999944;1;PU;660;147;660;660;147;147;660;147;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43520000000000;0,00000000000000;;"";"";"0";"0"
;00011;1;122,102499999944;1;PU;702;878;702;702;878;878;702;878;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39096914088560;0,00000000000000;;"";"";"0";"0"
;00012;1;122,102499999944;1;PU;749;879;749;749;879;879;749;879;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47272296296296;0,00000000000000;;"";"";"0";"0"
;00013;6;732,614999999662;1;PU;835;297;835;837;297;298;836;298;1,00000000000000;0,00000000000000;3,00000000000000;2,00000000000000;1,50000000000000;0,00000000000000;0,41045333333333;0,00000000000000;;"";"";"0";"0"
;00014;1;122,102499999944;2;PET;135;319;135;135;319;319;135;319;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39413498732510;0,00000000000000;;"";"";"0";"0"
