Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.1_0-5_1-8_5v5\ML1.1_0-5_1-8_5v5.ilab
Date of Export:;2021-04-20 11:31:13
Classes:;24
Particles on File:;54958

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;2
;2;PET;PET;0
;3;PA;PA;0
;4;PC;PC;0
;5;PMMA;PMMA;2
;6;PVC;PVC;0
;7;PE;PE;4
;8;PP;PP;18
;9;POM;POM;1
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;7
;13;PBT;PBT;1
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;45283
;22;Non-Polymer;Non-Polymer;9640
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;35

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer;Shape;Length;Width;Comment
;00001;6;732,614999999903;1;PU;404;51;404;406;50;52;405;51;0,80000000000000;-0,60000000000000;3,79999999999995;2,39999999999998;1,58333333333333;143,130102354156;0,85511111111111;0,00000000000000;;"";"";"0";"0";""
;00002;1;122,102499999984;1;PU;770;475;770;770;475;475;770;475;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,31281640200228;0,00000000000000;;"";"";"0";"0";""
;00003;1;122,102499999984;5;PMMA;285;277;285;285;277;277;285;277;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,26962028822124;0,00000000000000;;"";"";"0";"0";""
;00004;3;366,307499999952;5;PMMA;621;715;621;623;715;715;622;715;1,00000000000000;0,00000000000000;3,00000000000000;1,00000000000000;3,00000000000000;0,00000000000000;0,33396371259347;0,00000000000000;;"";"";"0";"0";""
;00005;1;122,102499999984;7;PE;267;674;267;267;674;674;267;674;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39823094518519;0,00000000000000;;"";"";"0";"0";""
;00006;1;122,102499999984;7;PE;355;513;355;355;513;513;355;513;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36739011318519;0,00000000000000;;"";"";"0";"0";""
;00007;1;122,102499999984;7;PE;567;520;567;567;520;520;567;520;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,54487470353067;0,00000000000000;;"";"";"0";"0";""
;00008;1;122,102499999984;7;PE;676;482;676;676;482;482;676;482;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53045865519028;0,00000000000000;;"";"";"0";"0";""
;00009;1;122,102499999984;8;PP;462;156;462;462;156;156;462;156;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50706773333333;0,00000000000000;OK;"";"fragment";"43";"35";""
;00010;6;732,614999999903;8;PP;476;27;476;479;26;27;478;27;0,97463175281647;-0,22381453572523;4,14770979417466;2,19844628854167;1,88665505079318;167,066821602953;0,69017005321481;0,00000000000000;OK;"";"fragment";"69";"44";""
;00011;1;122,102499999984;8;PP;536;3;536;536;3;3;536;3;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,62097028740741;0,00000000000000;;"";"";"0";"0";""
;00012;74;9035,58499999881;8;PP;537;4;537;555;3;17;547;11;0,82170553850838;0,56991228095617;22,6296470646247;6,81826453541038;3,31897463747535;34,7441090648643;0,73208888888889;0,00000000000000;OK;"";"fibre";"723";"69";""
