Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.3_0-5_1-256_3v5\ML1_3_0-5_1-256_3v5.ilab
Date of Export:;2021-05-07 11:12:09
Classes:;24
Particles on File:;29974

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;8
;2;PET;PET;1
;3;PA;PA;0
;4;PC;PC;1
;5;PMMA;PMMA;2
;6;PVC;PVC;16
;7;PE;PE;10
;8;PP;PP;0
;9;POM;POM;2
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;0
;13;PBT;PBT;0
;14;PPSU;PPSU;1
;15;CA;CA;0
;16;EVAc;EVAc;1
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;21340
;22;Non-Polymer;Non-Polymer;8592
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;42

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer;Shape;Length;Width;Comment
;00001;1;122,102499999984;1;PU;1;706;1;1;706;706;1;706;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33295800292086;0,00000000000000;;"";"";"";"";""
;00002;1;122,102499999984;1;PU;444;275;444;444;275;275;444;275;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48632746793086;0,00000000000000;;"";"";"";"";""
;00003;5;610,512499999919;1;PU;457;917;457;459;917;918;458;917;0,94868329805051;0,31622776601684;3,21359436211787;2,26491106406741;1,41886116991578;18,4349488229220;0,55636423111111;0,00000000000000;;"";"";"";"";""
;00004;1;122,102499999984;1;PU;459;915;459;459;915;915;459;915;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47544309684148;0,00000000000000;;"";"";"";"";""
;00005;1;122,102499999984;1;PU;644;503;644;644;503;503;644;503;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48640000000000;0,00000000000000;;"";"";"";"";""
;00006;2;244,204999999968;1;PU;713;99;713;714;99;99;714;99;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,42552381156595;0,00000000000000;;"";"";"";"";""
;00007;1;122,102499999984;1;PU;899;371;899;899;371;371;899;371;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47308800000000;0,00000000000000;;"";"";"";"";""
;00008;10;1221,02499999984;1;PU;907;661;907;909;661;664;908;662;0,00000000000000;1,00000000000000;4,00000000000000;3,00000000000000;1,33333333333333;90,0000000000000;0,59644131555556;0,00000000000000;;"";"";"";"";""
;00009;2;244,204999999968;2;PET;589;42;589;590;42;42;590;42;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,60478608663414;0,00000000000000;OK;"";"fragment";"58";"42";""
;00010;1;122,102499999984;4;PC;308;392;308;308;392;392;308;392;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,27052375324886;0,00000000000000;;"";"";"";"";""
;00011;1;122,102499999984;5;PMMA;79;786;79;79;786;786;79;786;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46938559960765;0,00000000000000;;"";"";"";"";""
;00012;3;366,307499999952;5;PMMA;351;852;351;352;852;853;351;852;0,70710678118655;-0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;135,000000000000;0,29840527396521;0,00000000000000;;"";"";"";"";""
;00013;1;122,102499999984;6;PVC;459;912;459;459;912;912;459;912;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48401920000000;0,00000000000000;;"";"";"";"";""
;00014;2;244,204999999968;6;PVC;751;252;751;752;252;252;752;252;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,30871703703704;0,00000000000000;;"";"";"";"";""
;00015;2;244,204999999968;6;PVC;754;252;754;755;252;252;754;252;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,39960349798855;0,00000000000000;;"";"";"";"";""
;00016;2;244,204999999968;6;PVC;754;254;754;755;254;254;754;254;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,47688362666667;0,00000000000000;;"";"";"";"";""
;00017;1;122,102499999984;6;PVC;756;253;756;756;253;253;756;253;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39501980623079;0,00000000000000;;"";"";"";"";""
;00018;3;366,307499999952;6;PVC;758;255;758;759;255;256;758;256;0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;45,0000000000000;0,44202666666667;0,00000000000000;;"";"";"";"";""
;00019;4;488,409999999936;6;PVC;760;254;760;761;254;255;760;254;1,00000000000000;0,00000000000000;2,00000000000000;2,00000000000000;1,00000000000000;0,00000000000000;0,43047940213992;0,00000000000000;;"";"";"";"";""
;00020;2;244,204999999968;6;PVC;807;564;807;808;564;564;808;564;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,35033770666667;0,00000000000000;;"";"";"";"";""
;00021;2;244,204999999968;6;PVC;816;194;816;817;194;194;816;194;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,52000000000000;0,00000000000000;;"";"";"";"";""
;00022;1;122,102499999984;6;PVC;838;714;838;838;714;714;838;714;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42680720861867;0,00000000000000;;"";"";"";"";""
;00023;1;122,102499999984;6;PVC;839;715;839;839;715;715;839;715;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,65066325333333;0,00000000000000;;"";"";"";"";""
;00024;2;244,204999999968;6;PVC;842;262;842;843;262;262;842;262;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,39516909584856;0,00000000000000;;"";"";"";"";""
;00025;1;122,102499999984;6;PVC;845;273;845;845;273;273;845;273;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39802747259259;0,00000000000000;;"";"";"";"";""
;00026;7;854,717499999887;6;PVC;846;265;846;849;263;265;848;264;0,83484109223827;-0,55049100874621;4,60550529420709;2,38533210098444;1,93076062335570;146,599295256824;0,81950340740741;0,00000000000000;OK;"";"fragment";"145";"124";""
;00027;1;122,102499999984;6;PVC;847;259;847;847;259;259;847;259;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35992014889489;0,00000000000000;;"";"";"";"";""
;00028;2;244,204999999968;6;PVC;847;261;847;847;261;262;847;262;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,46107803108285;0,00000000000000;;"";"";"";"";""
;00029;1;122,102499999984;7;PE;134;448;134;134;448;448;134;448;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38026666666667;0,00000000000000;;"";"";"";"";""
;00030;4;488,409999999936;7;PE;144;483;144;145;483;484;144;484;1,00000000000000;0,00000000000000;2,00000000000000;2,00000000000000;1,00000000000000;0,00000000000000;0,71680000000000;0,00000000000000;;"";"";"";"";""
;00031;1;122,102499999984;7;PE;147;427;147;147;427;427;147;427;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46365089185185;0,00000000000000;;"";"";"";"";""
;00032;1;122,102499999984;7;PE;217;447;217;217;447;447;217;447;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37274311111111;0,00000000000000;;"";"";"";"";""
;00033;1;122,102499999984;7;PE;256;772;256;256;772;772;256;772;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44800000000000;0,00000000000000;;"";"";"";"";""
;00034;1;122,102499999984;7;PE;298;177;298;298;177;177;298;177;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51768888888889;0,00000000000000;OK;"";"fragment";"253";"184";""
;00035;52;6349,32999999916;7;PE;299;175;299;308;171;179;303;175;0,77178212306836;-0,63588706112965;10,9895793513247;7,67424898373775;1,43200714162551;140,514192775372;0,60160000000000;0,00000000000000;;"";"";"";"";""
;00036;29;3540,97249999953;7;PE;303;163;303;309;162;168;306;164;0,68381792539369;0,72965268786613;8,11318782877152;5,37791612719678;1,50861181857079;46,8572855521034;0,67200000000000;0,00000000000000;;"";"";"";"";""
;00037;1;122,102499999984;7;PE;438;475;438;438;475;475;438;475;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,58417777777778;0,00000000000000;;"";"";"";"";""
;00038;1;122,102499999984;7;PE;812;376;812;812;376;376;812;376;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41066666666667;0,00000000000000;;"";"";"";"";""
;00039;3;366,307499999952;9;POM;658;411;658;658;411;413;658;412;0,00000000000000;1,00000000000000;3,00000000000000;1,00000000000000;3,00000000000000;90,0000000000000;0,21702807703704;0,00000000000000;;"";"";"";"";""
;00040;1;122,102499999984;9;POM;762;198;762;762;198;198;762;198;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41765546666667;0,00000000000000;;"";"";"";"";""
;00041;1;122,102499999984;14;PPSU;439;325;439;439;325;325;439;325;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40183492658568;0,00000000000000;;"";"";"";"";""
;00042;1;122,102499999984;16;EVAc;412;709;412;412;709;709;412;709;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,56887194864197;0,00000000000000;;"";"";"";"";""
