Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML2.3_0-5_NO3_1\ML2_3_0-5_No3-1.ilab
Date of Export:;2021-04-20 11:57:47
Classes:;24
Particles on File:;2208

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;7
;2;PET;PET;1
;3;PA;PA;1
;4;PC;PC;0
;5;PMMA;PMMA;0
;6;PVC;PVC;9
;7;PE;PE;17
;8;PP;PP;3
;9;POM;POM;1
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;2
;13;PBT;PBT;0
;14;PPSU;PPSU;1
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;17
;22;Non-Polymer;Non-Polymer;2148
;23;PLA;PLA;1
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;43

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;polymer;shape;length;width;comment
;00001;1;122,102499999944;1;PU;142;461;142;142;461;461;142;461;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44582482172840;0,10497751393138;;"";"";"";"";""
;00002;1;122,102499999944;1;PU;242;285;242;242;285;285;242;285;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42621960596543;0,13114761162780;;"";"";"";"";""
;00003;4;488,409999999775;1;PU;283;180;283;284;179;181;284;180;-0,52573111211913;0,85065080835204;3,22703272882322;1,85065080835204;1,74372859226577;121,717474411461;0,35732148148148;0,33961973314155;;"";"";"";"";""
;00004;1;122,102499999944;1;PU;288;180;288;288;180;180;288;180;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39284944592593;0,48724665122069;;"";"";"";"";""
;00005;1;122,102499999944;1;PU;403;780;403;403;780;780;403;780;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50133333333333;0,25646594969388;;"";"";"";"";""
;00006;1;122,102499999944;1;PU;644;754;644;644;754;754;644;754;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40279153777778;0,12451752539842;;"";"";"";"";""
;00007;1;122,102499999944;1;PU;910;303;910;910;303;303;910;303;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51822222222222;4,81699519551658E-02;;"";"";"";"";""
;00008;6;732,614999999662;2;PET;187;219;187;190;218;219;188;218;0,94868329805051;-0,31622776601684;4,16227766016839;2,26491106406741;1,83772233983158;161,565051177078;0,27243070963488;0,40449640893702;OK;"";"fragment";"231";"33";""
;00009;11;1343,12749999938;3;PA;139;285;139;141;285;288;140;286;-0,26001062804231;0,96560575459400;4,41683851986659;3,45123276527264;1,27978575201017;105,070692776038;0,37376000000000;0,79044946111756;;"";"";"";"";""
;00010;1;122,102499999944;6;PVC;817;377;817;817;377;377;817;377;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,11420444444444;0,00000000000000;;"";"";"";"";""
