Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML3.3_0-5_no.2-1\ML3_3_0-5_NO2-1.ilab
Date of Export:;2021-04-20 13:25:55
Classes:;24
Particles on File:;3277

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;12
;2;PET;PET;2
;3;PA;PA;0
;4;PC;PC;6
;5;PMMA;PMMA;3
;6;PVC;PVC;26
;7;PE;PE;21
;8;PP;PP;2
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;9
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;1
;22;Non-Polymer;Non-Polymer;3194
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;82

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer;Shape;Length;Width;Comment
;00001;10;1221,02499999944;1;PU;108;426;108;111;424;427;110;426;0,89442719099992;-0,44721359549996;4,13049516849971;4,13049516849975;0,99999999999999;153,434948822922;0,67200000000000;0,00000000000000;;"";"";"";"";""
;00002;13;1587,33249999927;1;PU;109;419;109;113;417;421;111;419;0,78257891189923;-0,62255140081010;4,59283953731787;3,97028813650775;1,15680257437379;141,497308395958;0,75968948148148;0,00000000000000;;"";"";"";"";""
;00003;1;122,102499999944;1;PU;179;282;179;179;282;282;179;282;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39390315282432;0,00000000000000;;"";"";"";"";""
;00004;1;122,102499999944;1;PU;512;504;512;512;504;504;512;504;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,66151111111111;0,00000000000000;;"";"";"";"";""
;00005;10;1221,02499999944;1;PU;537;825;537;539;825;828;538;827;0,44721359549996;0,89442719099992;4,57770876399979;3,68328157299976;1,24283432403230;63,4349488229220;0,66228224000000;0,00000000000000;;"";"";"";"";""
;00006;1;122,102499999944;1;PU;582;934;582;582;934;934;582;934;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38470820345679;0,00000000000000;;"";"";"";"";""
;00007;3;366,307499999831;1;PU;583;935;583;584;934;935;584;935;0,70710678118655;-0,70710678118655;2,41421356237311;1,70710678118644;1,41421356237319;135,000000000000;0,39445804879012;0,00000000000000;;"";"";"";"";""
;00008;1;122,102499999944;1;PU;642;912;642;642;912;912;642;912;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43992177777778;0,00000000000000;;"";"";"";"";""
;00009;1;122,102499999944;1;PU;720;536;720;720;536;536;720;536;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41302971733333;0,00000000000000;;"";"";"";"";""
;00010;1;122,102499999944;1;PU;753;738;753;753;738;738;753;738;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40931426101728;0,00000000000000;;"";"";"";"";""
;00011;7;854,717499999606;1;PU;757;612;757;759;612;614;758;613;1,00000000000000;0,00000000000000;3,00000000000000;3,00000000000000;1,00000000000000;0,00000000000000;0,48529716968197;0,00000000000000;;"";"";"";"";""
;00012;1;122,102499999944;1;PU;771;144;771;771;144;144;771;144;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46293333333333;0,00000000000000;;"";"";"";"";""
;00013;1;122,102499999944;2;PET;698;822;698;698;822;822;698;822;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30365811017115;0,00000000000000;;"";"";"";"";""
;00014;1;122,102499999944;2;PET;761;381;761;761;381;381;761;381;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38239340195082;0,00000000000000;;"";"";"";"";""
;00015;1;122,102499999944;4;PC;107;414;107;107;414;414;107;414;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45153839449547;0,00000000000000;;"";"";"";"";""
;00016;1;122,102499999944;4;PC;110;423;110;110;423;423;110;423;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49964794948267;0,00000000000000;;"";"";"";"";""
;00017;1;122,102499999944;4;PC;280;276;280;280;276;276;280;276;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43655804701417;0,00000000000000;;"";"";"";"";""
;00018;1;122,102499999944;4;PC;357;133;357;357;133;133;357;133;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,21114263557057;0,00000000000000;;"";"";"";"";""
;00019;1;122,102499999944;4;PC;358;132;358;358;132;132;358;132;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34240474074074;0,00000000000000;;"";"";"";"";""
;00020;1;122,102499999944;4;PC;428;258;428;428;258;258;428;258;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,26319825677915;0,00000000000000;;"";"";"";"";""
;00021;3;366,307499999831;5;PMMA;382;129;382;383;129;130;383;129;0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;45,0000000000000;0,81038222222222;0,00000000000000;OK;"";"bead";"59";"59";""
;00022;1;122,102499999944;5;PMMA;435;98;435;435;98;98;435;98;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,27468611282211;0,00000000000000;OK;"";"fragment";"64";"52";""
;00023;1;122,102499999944;5;PMMA;493;897;493;493;897;897;493;897;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44997846913580;0,00000000000000;;"";"";"";"";""
;00024;12;1465,22999999932;6;PVC;90;670;90;93;669;672;92;670;1,00000000000000;0,00000000000000;4,00000000000000;4,00000000000000;1,00000000000000;0,00000000000000;0,57631857777778;0,00000000000000;OK;"";"fragment";"100";"74";""
;00025;1;122,102499999944;6;PVC;95;672;95;95;672;672;95;672;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,59840000000000;0,00000000000000;;"";"";"";"";""
;00026;2;244,204999999887;6;PVC;209;530;209;210;530;530;210;530;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,27673675851852;0,00000000000000;;"";"";"";"";""
;00027;5;610,512499999719;6;PVC;212;526;212;214;526;528;213;527;1,00000000000000;0,00000000000000;3,00000000000000;3,00000000000000;1,00000000000000;0,00000000000000;0,50249955555556;0,00000000000000;OK;"";"fragment";"170";"120";""
;00028;4;488,409999999775;6;PVC;212;530;212;214;529;530;213;530;1,00000000000000;0,00000000000000;3,00000000000000;2,00000000000000;1,50000000000000;0,00000000000000;0,60711784284085;0,00000000000000;;"";"";"";"";""
;00029;3;366,307499999831;6;PVC;215;528;215;216;528;529;216;528;0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118653;1,41421356237312;45,0000000000000;0,50931029333333;0,00000000000000;;"";"";"";"";""
;00030;1;122,102499999944;6;PVC;217;530;217;217;530;530;217;530;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51114352164027;0,00000000000000;;"";"";"";"";""
;00031;37;4517,79249999792;6;PVC;306;581;306;313;578;584;310;581;0,88048023862122;0,47408285077349;8,17921283482121;6,41825235757881;1,27436759714863;28,2996513187304;0,59137970327704;0,00000000000000;OK;"";"fragment";"102";"72";""
;00032;2;244,204999999887;6;PVC;356;579;356;357;579;579;356;579;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,43536118518519;0,00000000000000;;"";"";"";"";""
;00033;4;488,409999999775;6;PVC;356;581;356;357;581;583;356;582;0,52573111211913;0,85065080835204;3,22703272882325;1,85065080835204;1,74372859226579;58,2825255885390;0,64096871512494;0,00000000000000;;"";"";"";"";""
;00034;1;122,102499999944;6;PVC;469;527;469;469;527;527;469;527;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47991466666667;0,00000000000000;;"";"";"";"";""
;00035;1;122,102499999944;6;PVC;476;595;476;476;595;595;476;595;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,63216829629630;0,00000000000000;;"";"";"";"";""
;00036;1;122,102499999944;6;PVC;479;595;479;479;595;595;479;595;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,29447159808000;0,00000000000000;;"";"";"";"";""
;00037;1;122,102499999944;6;PVC;514;279;514;514;279;279;514;279;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51746887058015;0,00000000000000;;"";"";"";"";""
;00038;2;244,204999999887;6;PVC;516;278;516;516;278;279;516;278;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,58417777777778;0,00000000000000;;"";"";"";"";""
;00039;6;732,614999999662;6;PVC;594;105;594;596;105;107;595;106;0,70710678118655;-0,70710678118655;3,82842712474621;2,41421356237311;1,58578643762690;135,000000000000;0,60359305887210;0,00000000000000;;"";"";"";"";""
;00040;2;244,204999999887;6;PVC;599;106;599;599;106;107;599;106;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,60688156444444;0,00000000000000;;"";"";"";"";""
;00041;1;122,102499999944;6;PVC;725;738;725;725;738;738;725;738;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46518044444444;0,00000000000000;;"";"";"";"";""
;00042;4;488,409999999775;6;PVC;727;269;727;728;269;270;728;270;1,00000000000000;0,00000000000000;2,00000000000000;2,00000000000000;1,00000000000000;0,00000000000000;0,40163001331358;0,00000000000000;;"";"";"";"";""
;00043;1;122,102499999944;6;PVC;748;436;748;748;436;436;748;436;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,70989482666667;0,00000000000000;;"";"";"";"";""
;00044;32;3907,27999999820;6;PVC;881;656;881;888;655;662;884;658;0,76762384666061;0,64090063975468;10,2187707651522;7,40172179232178;1,38059373911522;39,8590107661100;0,53084138149273;0,00000000000000;;"";"";"";"";""
;00045;1;122,102499999944;6;PVC;889;659;889;889;659;659;889;659;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39322749761906;0,00000000000000;;"";"";"";"";""
;00046;1;122,102499999944;6;PVC;895;382;895;895;382;382;895;382;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46151111111111;0,00000000000000;;"";"";"";"";""
;00047;1;122,102499999944;6;PVC;896;384;896;896;384;384;896;384;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,63672888888889;0,00000000000000;;"";"";"";"";""
;00048;1;122,102499999944;6;PVC;897;379;897;897;379;379;897;379;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35155349048889;0,00000000000000;;"";"";"";"";""
;00049;20;2442,04999999887;6;PVC;897;381;897;902;379;384;899;381;0,89639286946871;0,44326044665145;6,36848524064635;5,92522479399497;1,07480905148115;26,3120962522259;0,34611157030919;0,00000000000000;;"";"";"";"";""
;00050;1;122,102499999944;7;PE;123;532;123;123;532;532;123;532;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,54897373234568;0,00000000000000;;"";"";"";"";""
;00051;52;6349,32999999707;7;PE;157;192;157;168;188;194;162;191;0,95727221934317;-0,28918834359945;12,3975594435733;6,65392612751421;1,86319463215995;163,190630417411;0,84355555555556;0,00000000000000;OK;"";"fragment";"137";"73";""
;00052;1;122,102499999944;7;PE;196;768;196;196;768;768;196;768;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46131200000000;0,00000000000000;;"";"";"";"";""
