Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML3.3_0-5_NO.2-3\ML3_3_0-5_NO2-3.ilab
Date of Export:;2021-04-20 13:27:55
Classes:;24
Particles on File:;33997

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;3
;2;PET;PET;0
;3;PA;PA;1
;4;PC;PC;0
;5;PMMA;PMMA;0
;6;PVC;PVC;7
;7;PE;PE;517
;8;PP;PP;4
;9;POM;POM;1
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;0
;13;PBT;PBT;0
;14;PPSU;PPSU;2
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;5
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;11197
;22;Non-Polymer;Non-Polymer;22260
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;540

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer;Shape;Length;Width;Comment
;00001;1;122,102499999944;1;PU;152;292;152;152;292;292;152;292;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37471737173333;0,00000000000000;;"";"";"";"";""
;00002;1;122,102499999944;1;PU;216;510;216;216;510;510;216;510;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32345194479818;0,00000000000000;;"";"";"";"";""
;00003;6;732,614999999662;1;PU;249;759;249;252;758;759;250;758;0,94868329805051;-0,31622776601684;4,16227766016840;2,26491106406741;1,83772233983158;161,565051177078;0,16418133333333;0,00000000000000;;"";"";"";"";""
;00004;1;122,102499999944;3;PA;383;87;383;383;87;87;383;87;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43733333333333;0,00000000000000;;"";"";"";"";""
;00005;14;1709,43499999921;6;PVC;132;327;132;136;325;328;134;327;0,94513844465354;-0,32667004827178;5,43389387515771;4,48875543050423;1,21055690364207;160,933214901249;0,45703856208909;0,00000000000000;;"";"";"";"";""
;00006;1;122,102499999944;6;PVC;231;430;231;231;430;430;231;430;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40838586469136;0,00000000000000;;"";"";"";"";""
;00007;8;976,819999999550;6;PVC;724;662;724;727;661;663;725;662;0,95478080885492;0,29731062383027;4,16165305039499;3,20687224154017;1,29772960596530;17,2961443437550;0,41463709437610;0,00000000000000;OK;"";"fragment";"170";"110";""
;00008;1;122,102499999944;6;PVC;727;660;727;727;660;660;727;660;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,52346880000000;0,00000000000000;;"";"";"";"";""
;00009;2;244,204999999887;6;PVC;729;661;729;729;661;662;729;662;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,47324918518519;0,00000000000000;;"";"";"";"";""
;00010;2;244,204999999887;6;PVC;730;663;730;731;663;663;730;663;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,33280000000000;0,00000000000000;;"";"";"";"";""
