Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML3.3_0-5_No.3-1\ML3_3_0-5_NO3-1.ilab
Date of Export:;2021-04-20 13:28:54
Classes:;24
Particles on File:;2984

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;46
;2;PET;PET;6
;3;PA;PA;0
;4;PC;PC;4
;5;PMMA;PMMA;0
;6;PVC;PVC;49
;7;PE;PE;46
;8;PP;PP;8
;9;POM;POM;2
;10;ABS;ABS;1
;11;PAN;PAN;0
;12;PS;PS;16
;13;PBT;PBT;0
;14;PPSU;PPSU;1
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;2
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;2803
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;181

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer;Shape;Length;Width;Comment
;00001;1;122,102499999944;1;PU;65;509;65;65;509;509;65;509;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34191414243251;0,00000000000000;;"";"";"";"";""
;00002;2;244,204999999887;1;PU;66;507;66;66;507;508;66;508;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,32418706285454;0,00000000000000;;"";"";"";"";""
;00003;1;122,102499999944;1;PU;148;578;148;148;578;578;148;578;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41834666666667;0,00000000000000;;"";"";"";"";""
;00004;1;122,102499999944;1;PU;180;594;180;180;594;594;180;594;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44444444444444;0,00000000000000;;"";"";"";"";""
;00005;1;122,102499999944;1;PU;187;369;187;187;369;369;187;369;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38928367976133;0,00000000000000;;"";"";"";"";""
;00006;5;610,512499999719;1;PU;237;851;237;239;851;852;238;852;0,94868329805051;0,31622776601684;3,21359436211782;2,26491106406741;1,41886116991575;18,4349488229220;0,60707068839506;0,00000000000000;;"";"";"";"";""
;00007;1;122,102499999944;1;PU;269;124;269;269;124;124;269;124;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53295407407407;0,00000000000000;;"";"";"";"";""
;00008;1;122,102499999944;1;PU;286;332;286;286;332;332;286;332;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,57884444444445;0,00000000000000;;"";"";"";"";""
;00009;1;122,102499999944;1;PU;317;693;317;317;693;693;317;693;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36216067413333;0,00000000000000;;"";"";"";"";""
;00010;1;122,102499999944;1;PU;345;139;345;345;139;139;345;139;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41676800000000;0,00000000000000;;"";"";"";"";""
;00011;1;122,102499999944;1;PU;354;498;354;354;498;498;354;498;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42690265020576;0,00000000000000;;"";"";"";"";""
;00012;2;244,204999999887;1;PU;356;499;356;356;499;500;356;500;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,40361244444444;0,00000000000000;;"";"";"";"";""
;00013;1;122,102499999944;1;PU;398;592;398;398;592;592;398;592;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,31391072007067;0,00000000000000;;"";"";"";"";""
;00014;1;122,102499999944;1;PU;422;756;422;422;756;756;422;756;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43220385185185;0,00000000000000;;"";"";"";"";""
;00015;1;122,102499999944;1;PU;443;905;443;443;905;905;443;905;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,68337777777778;0,00000000000000;;"";"";"";"";""
;00016;1;122,102499999944;1;PU;444;904;444;444;904;904;444;904;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40144592592593;0,00000000000000;;"";"";"";"";""
;00017;4;488,409999999775;1;PU;445;903;445;447;902;903;446;903;1,00000000000000;0,00000000000000;3,00000000000000;2,00000000000000;1,50000000000000;0,00000000000000;0,89617777777778;0,00000000000000;;"";"";"";"";""
;00018;1;122,102499999944;1;PU;447;563;447;447;563;563;447;563;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37417153867972;0,00000000000000;;"";"";"";"";""
;00019;1;122,102499999944;1;PU;451;166;451;451;166;166;451;166;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50019218955378;0,00000000000000;;"";"";"";"";""
;00020;1;122,102499999944;1;PU;451;402;451;451;402;402;451;402;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,60620800000000;0,00000000000000;;"";"";"";"";""
;00021;1;122,102499999944;1;PU;482;922;482;482;922;922;482;922;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33447104900734;0,00000000000000;;"";"";"";"";""
;00022;1;122,102499999944;1;PU;506;337;506;506;337;337;506;337;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50859474134914;0,00000000000000;;"";"";"";"";""
;00023;1;122,102499999944;1;PU;511;529;511;511;529;529;511;529;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,52959004444444;0,00000000000000;;"";"";"";"";""
;00024;1;122,102499999944;1;PU;525;606;525;525;606;606;525;606;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37288969742210;0,00000000000000;;"";"";"";"";""
;00025;1;122,102499999944;1;PU;553;356;553;553;356;356;553;356;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38747761356379;0,00000000000000;;"";"";"";"";""
;00026;1;122,102499999944;1;PU;584;249;584;584;249;249;584;249;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,26597521190558;0,00000000000000;;"";"";"";"";""
;00027;1;122,102499999944;1;PU;610;210;610;610;210;210;610;210;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49843768888889;0,00000000000000;;"";"";"";"";""
;00028;2;244,204999999887;1;PU;646;349;646;647;349;349;646;349;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,34346666666667;0,00000000000000;;"";"";"";"";""
;00029;1;122,102499999944;1;PU;682;304;682;682;304;304;682;304;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43208317155556;0,00000000000000;;"";"";"";"";""
;00030;1;122,102499999944;1;PU;682;762;682;682;762;762;682;762;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42491812977778;0,00000000000000;;"";"";"";"";""
;00031;1;122,102499999944;1;PU;686;161;686;686;161;161;686;161;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41651960232720;0,00000000000000;;"";"";"";"";""
;00032;1;122,102499999944;1;PU;692;563;692;692;563;563;692;563;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45006933333333;0,00000000000000;;"";"";"";"";""
;00033;1;122,102499999944;1;PU;693;526;693;693;526;526;693;526;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41290024327901;0,00000000000000;;"";"";"";"";""
;00034;1;122,102499999944;1;PU;720;396;720;720;396;396;720;396;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43711656148385;0,00000000000000;;"";"";"";"";""
;00035;1;122,102499999944;1;PU;728;837;728;728;837;837;728;837;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36519463472818;0,00000000000000;;"";"";"";"";""
;00036;1;122,102499999944;1;PU;781;594;781;781;594;594;781;594;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33277346746313;0,00000000000000;;"";"";"";"";""
;00037;1;122,102499999944;1;PU;782;593;782;782;593;593;782;593;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38202148029630;0,00000000000000;;"";"";"";"";""
;00038;1;122,102499999944;1;PU;785;577;785;785;577;577;785;577;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44586666666667;0,00000000000000;;"";"";"";"";""
;00039;1;122,102499999944;1;PU;815;494;815;815;494;494;815;494;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44266776384688;0,00000000000000;;"";"";"";"";""
;00040;1;122,102499999944;1;PU;840;701;840;840;701;701;840;701;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48000000000000;0,00000000000000;;"";"";"";"";""
