Data ID:;D:\mrolf2\ML1\ML1.1_5-20_1-32_3v5\ML 1.1_5-20_1-32_3v5.ilab
Date of Export:;2021-02-06 11:47:04
Classes:;24
Particles on File:;8679

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;76
;2;PET;PET;13
;3;PA;PA;1
;4;PC;PC;10
;5;PMMA;PMMA;5
;6;PVC;PVC;11
;7;PE;PE;34
;8;PP;PP;14
;9;POM;POM;6
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;11
;13;PBT;PBT;1
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;3
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;1
;20;SILICONE;SI;2
;21;Substrat;Substrate;4
;22;Non-Polymer;Non-Polymer;8483
;23;PLA;PLA;1
;24;PLA-PBAT;PLAPBAT;3

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;192

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00001;1;122,102499999944;1;PU;77;677;77;77;677;677;78,0000000000000;678,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53760000000000;0,21462989385532;;"";"";"";"";"";""
;00002;4;488,409999999775;1;PU;89;505;89;91;505;506;91,0000000000000;506,000000000000;0,85065080835204;0,52573111211913;3,22703272882325;1,85065080835204;1,74372859226579;31,7174744114610;0,24543687030202;0,17339641025703;;"";"";"";"";"";""
;00003;3;366,307499999831;1;PU;106;710;106;107;710;711;107,000000000000;712,000000000000;0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;45,0000000000000;0,34256113339113;0,11861036713639;;"";"";"";"";"";""
;00004;2;244,204999999887;1;PU;112;691;112;113;691;691;114,000000000000;692,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,24557037037037;0,24615694408973;;"";"";"";"";"";""
;00005;1;122,102499999944;1;PU;141;764;141;141;764;764;142,000000000000;765,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41711881481481;0,10876140665674;;"";"";"";"";"";""
;00006;13;1587,33249999927;1;PU;141;766;141;145;764;767;144,000000000000;767,000000000000;0,96012017157544;-0,27958765375808;5,12006834005982;4,15994816848445;1,23080099383189;163,764403854576;0,77682093827160;0,35671213636455;;"";"";"";"";"";""
;00007;1;122,102499999944;1;PU;151;512;151;151;512;512;152,000000000000;513,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,26456965580228;0,12580502993056;;"";"";"";"";"";""
;00008;1;122,102499999944;1;PU;153;542;153;153;542;542;154,000000000000;543,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,59813925925926;0,18220156778296;;"";"";"";"";"";""
;00009;1;122,102499999944;1;PU;155;427;155;155;427;427;156,000000000000;428,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44925868819174;0,49535874784034;;"";"";"";"";"";""
;00010;1;122,102499999944;1;PU;157;406;157;157;406;406;158,000000000000;407,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44851200000000;0,24431295746246;;"";"";"";"";"";""
