Data ID:;D:\mrolf2\ML1\ML1.3_5-20_1-64_4v4\ML1.3_5-20_1-64_4v4.ilab
Date of Export:;2021-02-06 12:05:20
Classes:;24
Particles on File:;46232

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;0
;2;PET;PET;0
;3;PA;PA;0
;4;PC;PC;0
;5;PMMA;PMMA;0
;6;PVC;PVC;1
;7;PE;PE;1
;8;PP;PP;2
;9;POM;POM;1
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;0
;13;PBT;PBT;0
;14;PPSU;PPSU;1
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;38924
;22;Non-Polymer;Non-Polymer;7302
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;6

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;polymere?;Form;Farbe;Länge;Breite;Kommentar
;00001;5;610,512499999719;6;PVC;397;929;397;399;929;930;399,000000000000;930,000000000000;0,94868329805051;0,31622776601684;3,21359436211776;2,26491106406741;1,41886116991573;18,4349488229220;0,38169600000000;0,53025110637119;;"";"";"";"";"";""
;00002;1;122,102499999944;7;PE;623;918;623;623;918;918;624,000000000000;919,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34389900823392;1,10529027308149E-03;;"";"";"";"";"";""
;00003;45;5494,61249999747;8;PP;496;640;496;507;636;645;503,000000000000;642,000000000000;0,78083427368117;0,62473821481065;12,0881298697356;7,55922028651901;1,59912390584693;38,6629756956108;0,36266666666667;0,65651497281740;OK;"ja";"Fragment";"grau";"208";"134";""
;00004;4;488,409999999775;8;PP;507;646;507;509;645;646;509,000000000000;646,000000000000;0,85065080835204;-0,52573111211913;3,22703272882319;1,85065080835193;1,74372859226586;148,282525588539;0,47626666666667;0,67649770263192;;"";"";"";"";"";""
;00005;1;122,102499999944;9;POM;832;281;832;832;281;281;833,000000000000;282,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,62178411491176;0,00000000000000;;"";"";"";"";"";""
;00006;1;122,102499999944;14;PPSU;274;560;274;274;560;560;275,000000000000;561,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39631901574536;0,55389972469792;;"";"";"";"";"";""
