Data ID:;D:\mrolf2\ausgewertet - Copy\ML-2_5-20_1-64_3v5\ML-2_5-20_1-64_3v5.ilab
Date of Export:;2021-02-06 14:30:16
Classes:;24
Particles on File:;33379

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;7
;2;PET;PET;22
;3;PA;PA;0
;4;PC;PC;3
;5;PMMA;PMMA;3
;6;PVC;PVC;1
;7;PE;PE;29
;8;PP;PP;27
;9;POM;POM;1
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;16
;13;PBT;PBT;3
;14;PPSU;PPSU;0
;15;CA;CA;6
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;27533
;22;Non-Polymer;Non-Polymer;5728
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;118

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;Plastik ja/nein;Form;Farbe;L‰nge;Breite;Kommentar
;00001;1;122,102499999944;1;PU;43;439;43;43;439;439;44,0000000000000;440,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35882666666667;1,84124544011305E-02;;"";"";"";"";"";""
;00002;1;122,102499999944;1;PU;116;278;116;116;278;278;117,000000000000;279,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44564650666667;0,30938875765575;;"";"";"";"";"";""
;00003;1;122,102499999944;1;PU;147;607;147;147;607;607;148,000000000000;608,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46992592592593;1,07685673193495E-02;;"";"";"";"";"";""
;00004;2;244,204999999887;1;PU;191;687;191;191;687;688;192,000000000000;688,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,33528888888889;0,00000000000000;;"";"";"";"";"";""
;00005;1;122,102499999944;1;PU;249;187;249;249;187;187;250,000000000000;188,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44371192490667;0,00000000000000;;"";"";"";"";"";""
;00006;1;122,102499999944;1;PU;284;367;284;284;367;367;285,000000000000;368,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42614784000000;0,47028686946700;;"";"";"";"";"";""
;00007;1;122,102499999944;1;PU;676;107;676;676;107;107;677,000000000000;108,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41802307508148;0,00000000000000;;"";"";"";"";"";""
;00008;3;366,307499999831;2;PET;640;411;640;642;411;411;642,000000000000;412,000000000000;1,00000000000000;0,00000000000000;3,00000000000000;1,00000000000000;3,00000000000000;0,00000000000000;0,58234232647259;0,61586578066819;;"";"";"";"";"";""
;00009;1;122,102499999944;2;PET;644;412;644;644;412;412;645,000000000000;413,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36959133668109;0,59751153609532;;"";"";"";"";"";""
;00010;3;366,307499999831;2;PET;652;416;652;653;416;417;653,000000000000;418,000000000000;0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;45,0000000000000;0,28352547052289;0,62192254648627;;"";"";"";"";"";""
