Data ID:;D:\mrolf2\ML2_5-20_1-64_4v5\ML-2_5-20_1-64_4v5.ilab
Date of Export:;2021-02-06 14:33:03
Classes:;24
Particles on File:;18341

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;1
;2;PET;PET;1
;3;PA;PA;0
;4;PC;PC;0
;5;PMMA;PMMA;1
;6;PVC;PVC;2
;7;PE;PE;34
;8;PP;PP;8
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;21
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;13777
;22;Non-Polymer;Non-Polymer;4495
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;69

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;polymere?;Form;Farbe;Länge;Breite;Kommentar
;00001;2;244,204999999968;1;PU;501;690;501;502;690;690;502,000000000000;691,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,40186538666667;0,36011035823057;;"";"";"";"";"";""
;00002;1;122,102499999984;2;PET;965;661;965;965;661;661;966,000000000000;662,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42691495730919;0,17241372433890;;"";"";"";"";"";""
;00003;27;3296,76749999957;5;PMMA;689;798;689;694;797;802;692,000000000000;801,000000000000;0,41284082157145;0,91080319281622;7,20537925036695;5,79661368630593;1,24303250834002;65,6165838586334;0,41450987318508;0,69211009647673;OK;"ja";"Fragment";"grau";"125";"113";""
;00004;1;122,102499999984;6;PVC;246;172;246;246;172;172;247,000000000000;173,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48381685001481;7,07202314861055E-02;;"";"";"";"";"";""
;00005;4;488,409999999936;6;PVC;832;552;832;833;551;553;834,000000000000;553,000000000000;0,00000000000000;1,00000000000000;3,00000000000000;2,00000000000000;1,50000000000000;90,0000000000000;0,68622486583429;0,36793626341523;;"";"";"";"";"";""
;00006;27;3296,76749999957;7;PE;54;662;54;63;662;670;59,0000000000000;668,000000000000;0,74604920836650;0,66589081589681;11,7097877706794;5,58107731880801;2,09812319410410;41,7507026983569;0,62103577283951;0,70672934380204;;"";"";"";"";"";""
;00007;3;366,307499999952;7;PE;63;666;63;65;666;666;65,0000000000000;667,000000000000;1,00000000000000;0,00000000000000;3,00000000000000;1,00000000000000;3,00000000000000;0,00000000000000;0,45676088888889;0,60355580007253;;"";"";"";"";"";""
;00008;8;976,819999999871;7;PE;211;468;211;214;468;470;213,000000000000;470,000000000000;0,81558274403279;0,57864046491405;4,60402916192641;2,63116548806562;1,74980600148841;35,3549768904056;0,83230814814815;0,80109881284784;;"";"";"";"";"";""
;00009;5;610,512499999919;7;PE;269;435;269;271;434;435;271,000000000000;436,000000000000;0,94868329805051;-0,31622776601684;3,21359436211785;2,26491106406735;1,41886116991580;161,565051177078;0,45262222222222;0,66869393795314;;"";"";"";"";"";""
;00010;1;122,102499999984;7;PE;382;499;382;382;499;499;383,000000000000;500,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,58026666666667;0,11795641083446;;"";"";"";"";"";""
