Data ID:;D:\mrolf2\ML2_5-20_1-64_5v5\ML-2_5-20_1-64_5v5.ilab
Date of Export:;2021-02-06 14:34:59
Classes:;24
Particles on File:;40575

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;0
;2;PET;PET;0
;3;PA;PA;0
;4;PC;PC;0
;5;PMMA;PMMA;5
;6;PVC;PVC;0
;7;PE;PE;10
;8;PP;PP;2
;9;POM;POM;2
;10;ABS;ABS;0
;11;PAN;PAN;3
;12;PS;PS;4
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;1
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;32087
;22;Non-Polymer;Non-Polymer;8459
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;2

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;29

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00001;34;4151,48499999809;5;PMMA;497;271;497;504;267;272;502,000000000000;270,000000000000;0,93728507612329;-0,34856374750761;8,95525052289350;6,38355287563172;1,40286306033100;159,600507364429;0,78076165699002;0,64940086128803;OK;"ja";"Kugel";"weiﬂ";"453";"453";""
;00002;1;122,102499999944;5;PMMA;499;250;499;499;250;250;500,000000000000;251,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37670494814815;0,51510644662273;;"";"";"";"";"";""
;00003;1;122,102499999944;5;PMMA;499;253;499;499;253;253;500,000000000000;254,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45682397942519;0,68380398737494;;"";"";"";"";"";""
;00004;2;244,204999999887;5;PMMA;500;273;500;500;273;274;501,000000000000;274,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,38808234666667;0,48746877170275;;"";"";"";"";"";""
;00005;1;122,102499999944;5;PMMA;501;265;501;501;265;265;502,000000000000;266,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44277409185185;0,25970927318338;;"";"";"";"";"";""
;00006;1;122,102499999944;7;PE;133;252;133;133;252;252;134,000000000000;253,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42764325925926;0,76913954568366;OK;"ja";"Fragment";"transparent";"96";"43";""
;00007;18;2197,84499999899;7;PE;235;578;235;241;575;578;239,000000000000;578,000000000000;0,87430260274764;-0,48538125100656;7,70195936950552;4,10828905924950;1,87473647993808;150,962546044899;0,57569129981893;0,65950963712097;;"";"";"";"";"";""
;00008;2;244,204999999887;7;PE;424;84;424;424;84;85;425,000000000000;86,0000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,43200000000000;0,34977903795517;;"";"";"";"";"";""
;00009;130;15873,3249999927;7;PE;461;466;461;481;457;470;472,000000000000;463,000000000000;0,89898916251826;-0,43797087308944;21,6076084889017;11,3729464934690;1,89991296462267;154,025513636069;0,51200000000000;0,53364424752586;;"";"";"";"";"";""
;00010;1;122,102499999944;7;PE;472;464;472;472;464;464;473,000000000000;465,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39867323171468;0,41544246437541;;"";"";"";"";"";""
;00011;1;122,102499999944;7;PE;474;466;474;474;466;466;475,000000000000;467,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49579956148148;0,52090319278070;;"";"";"";"";"";""
