Data ID:;D:\mrolf2\ML2.3_5-20\NO2-1\ML2.3_5-20_NO2-1.ilab
Date of Export:;2021-02-06 14:44:15
Classes:;24
Particles on File:;2407

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;10
;2;PET;PET;1
;3;PA;PA;0
;4;PC;PC;1
;5;PMMA;PMMA;0
;6;PVC;PVC;36
;7;PE;PE;17
;8;PP;PP;1
;9;POM;POM;3
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;1
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;2336
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;71

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00001;1;122,102499999944;1;PU;177;785;177;177;785;785;178,000000000000;786,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47079348148148;6,04914066334013E-02;;"";"";"";"";"";""
;00002;2;244,204999999887;1;PU;226;692;226;226;692;693;227,000000000000;694,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,41048420503704;0,53745030077609;;"";"";"";"";"";""
;00003;1;122,102499999944;1;PU;237;617;237;237;617;617;238,000000000000;618,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32866304000000;0,00000000000000;;"";"";"";"";"";""
;00004;1;122,102499999944;1;PU;265;145;265;265;145;145;266,000000000000;146,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41425710143210;2,20649321771733E-02;;"";"";"";"";"";""
;00005;1;122,102499999944;1;PU;269;253;269;269;253;253;270,000000000000;254,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36083159955841;0,28124410598816;;"";"";"";"";"";""
;00006;1;122,102499999944;1;PU;331;96;331;331;96;96;332,000000000000;97,0000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37549346765432;9,99243062572112E-02;;"";"";"";"";"";""
;00007;1;122,102499999944;1;PU;545;607;545;545;607;607;546,000000000000;608,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41843843982222;0,44313682070743;;"";"";"";"";"";""
;00008;1;122,102499999944;1;PU;611;921;611;611;921;921;612,000000000000;922,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39582413727078;0,00000000000000;;"";"";"";"";"";""
;00009;1;122,102499999944;1;PU;720;417;720;720;417;417;721,000000000000;418,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44693807407407;0,22419252077845;;"";"";"";"";"";""
;00010;1;122,102499999944;1;PU;786;546;786;786;546;546;787,000000000000;547,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43401541756172;0,37284238311135;;"";"";"";"";"";""
;00011;1;122,102499999944;2;PET;561;663;561;561;663;663;562,000000000000;664,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51236266666667;8,65224837300368E-02;;"";"";"";"";"";""
;00012;1;122,102499999944;4;PC;715;124;715;715;124;124;716,000000000000;125,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37970410323918;0,18100953264069;;"";"";"";"";"";""
;00013;86;10500,8149999952;6;PVC;64;265;64;74;261;274;70,0000000000000;268,000000000000;-9,25511378848056E-02;0,99570793251647;13,9442031227142;10,8645281872799;1,28346145201592;95,3103892824822;0,53908436450478;0,77243253939562;OK;"ja";"Fragment";"weiﬂ";"201";"152";""
;00014;1;122,102499999944;6;PVC;70;275;70;70;275;275;71,0000000000000;276,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50466816000000;0,12092006430682;;"";"";"";"";"";""
;00015;1;122,102499999944;6;PVC;71;274;71;71;274;274;72,0000000000000;275,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47380409002667;6,91624022303372E-02;;"";"";"";"";"";""
;00016;1;122,102499999944;6;PVC;74;268;74;74;268;268;75,0000000000000;269,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39605589333333;1,87609380382420E-02;;"";"";"";"";"";""
;00017;1;122,102499999944;6;PVC;98;570;98;98;570;570;99,0000000000000;571,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48862890666667;0,35658168669160;;"";"";"";"";"";""
;00018;36;4395,68999999797;6;PVC;98;572;98;107;567;573;104,000000000000;571,000000000000;0,88219321757045;-0,47088759473222;11,7650645265274;4,70751878596377;2,49920713255714;151,908072334744;0,17520084764444;0,64745906886880;OK;"ja";"Fragment";"weiﬂ";"196";"99";""
;00019;2;244,204999999887;6;PVC;251;365;251;252;365;365;252,000000000000;366,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,47275102814815;0,45003449143160;;"";"";"";"";"";""
;00020;3;366,307499999831;6;PVC;251;368;251;252;367;368;253,000000000000;369,000000000000;0,70710678118655;-0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;135,000000000000;0,45954108850041;0,71552375117537;OK;"ja";"Fragment";"rot";"337";"286";""
;00021;2;244,204999999887;6;PVC;251;370;251;252;370;370;252,000000000000;371,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,31567720296296;0,53732359421684;;"";"";"";"";"";""
;00022;1;122,102499999944;6;PVC;255;372;255;255;372;372;256,000000000000;373,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32299767017423;0,69924768208422;;"";"";"";"";"";""
;00023;1;122,102499999944;6;PVC;257;369;257;257;369;369;258,000000000000;370,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,57954607407407;0,70414666665855;;"";"";"";"";"";""
;00024;4;488,409999999775;6;PVC;258;381;258;259;381;382;260,000000000000;382,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;2,00000000000000;1,00000000000000;0,00000000000000;0,56126160592593;0,57542227237418;;"";"";"";"";"";""
;00025;1;122,102499999944;6;PVC;259;370;259;259;370;370;260,000000000000;371,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45550731061728;0,71538485199713;;"";"";"";"";"";""
;00026;1;122,102499999944;6;PVC;261;366;261;261;366;366;262,000000000000;367,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39882692118136;0,64894789629243;;"";"";"";"";"";""
;00027;1;122,102499999944;6;PVC;261;381;261;261;381;381;262,000000000000;382,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,54101475317212;0,41510674740044;;"";"";"";"";"";""
;00028;1;122,102499999944;6;PVC;262;367;262;262;367;367;263,000000000000;368,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,54311111111111;0,70805998142158;;"";"";"";"";"";""
;00029;1;122,102499999944;6;PVC;262;380;262;262;380;380;263,000000000000;381,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49015254686025;0,34868480582153;;"";"";"";"";"";""
;00030;1;122,102499999944;6;PVC;263;366;263;263;366;366;264,000000000000;367,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51193704296296;0,66923311554853;;"";"";"";"";"";""
;00031;1;122,102499999944;6;PVC;264;369;264;264;369;369;265,000000000000;370,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,52749994666667;0,69243498458785;;"";"";"";"";"";""
;00032;9;1098,92249999949;6;PVC;265;366;265;267;365;368;267,000000000000;368,000000000000;4,74580204288370E-02;0,99887323334694;4,04407772046972;3,09266250755158;1,30763628769547;87,2798339844973;0,24837688888889;0,68159766938135;;"";"";"";"";"";""
;00033;13;1587,33249999927;6;PVC;267;370;267;271;368;371;270,000000000000;371,000000000000;0,85989886925166;-0,51046443035702;5,46052433772070;3,74072659921740;1,45974964833386;149,305229832983;0,69333333333333;0,55851620563888;;"";"";"";"";"";""
;00034;2;244,204999999887;6;PVC;274;279;274;275;279;279;276,000000000000;280,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,44202666666667;0,75492238427314;OK;"ja";"Fragment";"transparent";"59";"43";""
;00035;2;244,204999999887;6;PVC;341;864;341;342;864;864;342,000000000000;865,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,19547177306302;0,62901785790876;;"";"";"";"";"";""
;00036;2;244,204999999887;6;PVC;346;867;346;346;867;868;347,000000000000;868,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,42990675261735;0,77062593679330;;"";"";"";"";"";""
;00037;1;122,102499999944;6;PVC;355;869;355;355;869;869;356,000000000000;870,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47327898623742;0,15681757503420;;"";"";"";"";"";""
