;ATR-Messbar(0,1);Form(Faser, Fragment, Kugel);Farbe;Analyse;Sicherheit (0,x,1);Kommentar;Bearbeiter/in;Datum;L‰nge;Breite
gr1mm_ML2_5-20cm_Markus__001;1;Kugel;weiﬂ;PS;1;;Hannah;24.01.2020;1238;1274
gr1mm_ML2_5-20cm_Markus__002;1;Fragment;weiﬂ;PS;1;2x gem;Hannah;24.01.2020;12682;3937
gr1mm_ML2_5-20cm_Markus__003;1;Faser;schwarz;x;x;;Hannah;24.01.2020;;
gr1mm_ML2_5-20cm_Markus__004;1;Faser;schwarz;x;x;;Hannah;24.01.2020;;
gr1mm_ML2_5-20cm_Markus__005;1;Fragment;weiﬂ;x;x;zerbrochen;Hannah;24.01.2020;;
gr1mm_ML2_5-20cm_Markus__006;1;Fragment;weiﬂ;x;x;zerbrochen;Hannah;24.01.2020;;
gr1mm_ML2_5-20cm_Markus__007;1;Fragment;weiﬂ;x;x;zerbrochen;Hannah;24.01.2020;;
gr1mm_ML2_5-20cm_Markus__008;1;Fragment;weiﬂ;x;x;zerbrochen;Hannah;24.01.2020;;
gr1mm_ML2_5-20cm_Markus__009;1;Kugel;beige;PS;1;;Hannah;24.01.2020;1130;1088
gr1mm_ML2_5-20cm_Markus__010;1;Fragment;weiﬂ;x;x;zerbrochen;Hannah;24.01.2020;;
gr1mm_ML2_5-20cm_Markus__011;1;Faser;schwarz;x;x;;Hannah;24.01.2020;;
