Data ID:;D:\mrolf2\ML3.1_5-20_1-16_2v4\ML3.1_5-20_1-16_2v4.ilab
Date of Export:;2021-02-05 16:08:43
Classes:;24
Particles on File:;7534

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;42
;2;PET;PET;4
;3;PA;PA;4
;4;PC;PC;2
;5;PMMA;PMMA;29
;6;PVC;PVC;14
;7;PE;PE;261
;8;PP;PP;161
;9;POM;POM;7
;10;ABS;ABS;13
;11;PAN;PAN;0
;12;PS;PS;439
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;55
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;6502
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;1

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;1032

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00001;1;122,102499999944;1;PU;104;449;104;104;449;449;105,000000000000;450,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51231419414756;0,25206339948612;;"";"";"";"";"";""
;00002;1;122,102499999944;1;PU;212;235;212;212;235;235;213,000000000000;236,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42091880640984;0,29676874266768;;"";"";"";"";"";""
;00003;1;122,102499999944;1;PU;222;643;222;222;643;643;223,000000000000;644,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32653397362663;0,45742964505233;;"";"";"";"";"";""
;00004;9;1098,92249999949;1;PU;271;907;271;275;906;909;274,000000000000;909,000000000000;0,75862553303376;0,65152689939038;5,33755593091575;2,62434969971099;2,03385849511731;40,6568227093817;0,40310708148148;0,27038320440216;;"";"";"";"";"";""
;00005;1;122,102499999944;1;PU;273;905;273;273;905;905;274,000000000000;906,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40758297283951;0,19925828800758;;"";"";"";"";"";""
;00006;4;488,409999999775;1;PU;275;896;275;277;896;897;277,000000000000;897,000000000000;0,94868329805051;-0,31622776601684;3,21359436211793;1,94868329805058;1,64911064067349;161,565051177078;0,54264414814815;0,33600736108064;;"";"";"";"";"";""
;00007;1;122,102499999944;1;PU;275;907;275;275;907;907;276,000000000000;908,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39055511703704;7,57750735178530E-02;;"";"";"";"";"";""
;00008;1;122,102499999944;1;PU;281;899;281;281;899;899;282,000000000000;900,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46240000000000;0,24095121935260;;"";"";"";"";"";""
;00009;4;488,409999999775;1;PU;284;898;284;287;898;898;286,000000000000;899,000000000000;1,00000000000000;0,00000000000000;4,00000000000000;1,00000000000000;4,00000000000000;0,00000000000000;0,52586666666667;0,18740933590039;;"";"";"";"";"";""
;00010;67;8180,86749999623;1;PU;288;413;288;297;411;422;294,000000000000;417,000000000000;0,57672430738617;0,81693884304148;13,7831828895040;9,02546913083501;1,52714309801521;54,7795238594552;0,97333333333333;0,59311276003824;;"uneindeutig";"";"";"";"";""
;00011;1;122,102499999944;1;PU;289;921;289;289;921;921;290,000000000000;922,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39476264960000;0,19182621770472;;"";"";"";"";"";""
;00012;1;122,102499999944;1;PU;294;410;294;294;410;410;295,000000000000;411,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,29400373123603;0,55216165645762;;"";"";"";"";"";""
;00013;1;122,102499999944;1;PU;368;642;368;368;642;642;369,000000000000;643,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39311996777244;7,49063084101271E-02;;"";"";"";"";"";""
;00014;3;366,307499999831;1;PU;449;810;449;451;810;810;451,000000000000;811,000000000000;1,00000000000000;0,00000000000000;3,00000000000000;1,00000000000000;3,00000000000000;0,00000000000000;0,40124444444444;0,32625247154396;;"";"";"";"";"";""
;00015;8;976,819999999550;1;PU;449;812;449;451;812;814;451,000000000000;814,000000000000;0,70710678118655;0,70710678118655;3,82842712474610;3,12132034355966;1,22654091966095;45,0000000000000;0,55119799182222;0,38918142279376;;"";"";"";"";"";""
;00016;1;122,102499999944;1;PU;449;816;449;449;816;816;450,000000000000;817,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36739377167680;0,34482155249315;;"";"";"";"";"";""
;00017;5;610,512499999719;1;PU;450;818;450;452;817;819;452,000000000000;819,000000000000;1,00000000000000;0,00000000000000;3,00000000000000;3,00000000000000;1,00000000000000;0,00000000000000;0,30127567667200;0,43854094721151;;"";"";"";"";"";""
;00018;3;366,307499999831;1;PU;453;811;453;454;810;811;455,000000000000;812,000000000000;0,70710678118655;-0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;135,000000000000;0,71846874074074;0,26527746387435;;"";"";"";"";"";""
;00019;1;122,102499999944;1;PU;469;814;469;469;814;814;470,000000000000;815,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,58345122110578;0,26559954127388;;"";"";"";"";"";""
;00020;1;122,102499999944;1;PU;471;785;471;471;785;785;472,000000000000;786,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34017227706048;0,28421274538382;;"";"";"";"";"";""
;00021;1;122,102499999944;1;PU;473;784;473;473;784;784;474,000000000000;785,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43190044444444;0,22614731713927;;"";"";"";"";"";""
;00022;7;854,717499999606;1;PU;473;786;473;476;784;786;476,000000000000;786,000000000000;0,95229550854940;-0,30517743100798;3,85688652564818;3,20976844810684;1,20160895965035;162,231161104013;0,38643227896625;0,44076172041209;;"";"";"";"";"";""
;00023;1;122,102499999944;1;PU;638;579;638;638;579;579;639,000000000000;580,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46167229629630;0,23986076986920;;"";"";"";"";"";""
;00024;13;1587,33249999927;1;PU;638;585;638;642;581;586;641,000000000000;585,000000000000;-0,49052954866817;0,87142455891683;6,82871144058868;3,61427367675037;1,88937309438295;119,375393215055;0,86826666666667;0,58987380683462;;"";"";"";"";"";""
;00025;1;122,102499999944;1;PU;639;751;639;639;751;751;640,000000000000;752,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43017113124240;0,00000000000000;;"";"";"";"";"";""
;00026;1;122,102499999944;1;PU;643;221;643;643;221;221;644,000000000000;222,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45450096043299;0,23930834543045;;"";"";"";"";"";""
;00027;1;122,102499999944;1;PU;643;584;643;643;584;584;644,000000000000;585,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43245416296296;0,23654326056451;;"";"";"";"";"";""
;00028;4;488,409999999775;1;PU;647;725;647;649;725;726;649,000000000000;726,000000000000;0,85065080835204;0,52573111211913;3,22703272882325;1,85065080835204;1,74372859226579;31,7174744114610;0,25920062287901;0,34141383906358;;"";"";"";"";"";""
;00029;1;122,102499999944;1;PU;662;149;662;662;149;149;663,000000000000;150,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37629581096805;4,27073158924711E-02;;"";"";"";"";"";""
;00030;1;122,102499999944;1;PU;668;748;668;668;748;748;669,000000000000;749,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,58052931783799;0,27787329147311;;"";"";"";"";"";""
;00031;2;244,204999999887;1;PU;725;785;725;726;785;785;726,000000000000;786,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,53333333333333;0,32579157609693;;"";"";"";"";"";""
;00032;6;732,614999999662;1;PU;734;797;734;737;795;797;737,000000000000;797,000000000000;0,87264432039995;-0,48835631466554;4,59464559053100;1,97671262933113;2,32438722875247;150,767395952594;0,32237911018930;0,50257245746398;;"";"";"";"";"";""
