Data ID:;D:\mrolf2\ML3.3_5-20\NO3-2\ML3.3_5-20_NO3-2.ilab
Date of Export:;2020-07-10 11:20:41
Classes:;24
Particles:;52297

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;6
;2;PET;PET;8
;3;PA;PA;0
;4;PC;PC;0
;5;PMMA;PMMA;1
;6;PVC;PVC;10
;7;PE;PE;16
;8;PP;PP;4
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;1
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;2
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;45248
;22;Non-Polymer;Non-Polymer;7001
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00001;1;1;PU;350;90;350;350;90;90;351,000000000000;91,0000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45818291923057;0,53988249080973;;"";"";"";"";"";""
;00002;1;1;PU;352;381;352;352;381;381;353,000000000000;382,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35916547205061;0,31952406790812;;"";"";"";"";"";""
;00003;1;1;PU;531;135;531;531;135;135;532,000000000000;136,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46400000000000;0,00000000000000;;"";"";"";"";"";""
;00004;1;1;PU;578;538;578;578;538;538;579,000000000000;539,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46728533333333;6,57861851863958E-02;;"";"";"";"";"";""
;00005;1;1;PU;671;894;671;671;894;894;672,000000000000;895,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46810034631111;0,17416528182454;;"";"";"";"";"";""
;00006;1;1;PU;800;465;800;800;465;465;801,000000000000;466,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41432632888889;0,00000000000000;;"";"";"";"";"";""
;00007;1;2;PET;631;431;631;631;431;431;632,000000000000;432,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,32906185192035;0,46476829205220;;"";"";"";"";"";""
;00008;5;2;PET;632;428;632;634;427;429;634,000000000000;429,000000000000;0,70710678118655;-0,70710678118655;3,82842712474616;1,70710678118667;2,24264068711911;135,000000000000;0,83488312888889;0,74455934962682;OK;"ja";"Faser";"transparent";"370";"31";""
;00009;1;2;PET;635;426;635;635;426;426;636,000000000000;427,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40782222222222;0,37847183884553;;"";"";"";"";"";""
;00010;2;2;PET;643;426;643;644;426;426;644,000000000000;427,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,34328502468420;0,51364754644809;;"";"";"";"";"";""
;00011;1;2;PET;648;427;648;648;427;427;649,000000000000;428,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,26176658766337;0,56167299801387;;"";"";"";"";"";""
;00012;1;2;PET;652;427;652;652;427;427;653,000000000000;428,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35392638538948;0,50621125737179;;"";"";"";"";"";""
;00013;1;2;PET;862;625;862;862;625;625;863,000000000000;626,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38412008190947;0,12593567380029;;"";"";"";"";"";""
;00014;1;2;PET;954;488;954;954;488;488;955,000000000000;489,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39369620856623;7,78280572923669E-02;;"";"";"";"";"";""
;00015;1;5;PMMA;796;831;796;796;831;831;797,000000000000;832,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41909039407407;0,12613907593716;;"";"";"";"";"";""
;00016;2;6;PVC;53;487;53;53;487;488;54,0000000000000;488,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,44236344888889;0,33920725560390;;"";"";"";"";"";""
;00017;5;6;PVC;56;487;56;58;487;488;58,0000000000000;489,000000000000;0,94868329805051;0,31622776601684;3,21359436211785;2,26491106406735;1,41886116991580;18,4349488229220;0,31454849546856;0,60994651225570;;"";"";"";"";"";""
;00018;26;6;PVC;516;232;516;521;230;235;519,000000000000;233,000000000000;-0,70163862075674;0,71253297878946;7,36921937697426;5,25340915667141;1,40274993955419;134,558619061319;0,62293333333333;0,45270347594353;OK;"ja";"Fragment";"weiﬂ";"109";"74";""
;00019;31;6;PVC;599;482;599;604;475;483;603,000000000000;480,000000000000;-0,46770509614049;0,88388457563430;9,94189698963635;5,05476901532438;1,96683507386704;117,885432185904;0,89457777777778;0,58360210199039;OK;"ja";"Fragment";"weiﬂ";"121";"65";""
;00020;2;6;PVC;708;702;708;709;702;702;710,000000000000;703,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,58001384711796;0,20976340966075;;"";"";"";"";"";""
;00021;1;6;PVC;729;559;729;729;559;559;730,000000000000;560,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39343348242963;0,57462665117783;;"";"";"";"";"";""
;00022;1;6;PVC;730;560;730;730;560;560;731,000000000000;561,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,28995459888108;0,43358369912501;;"";"";"";"";"";""
;00023;2;6;PVC;731;559;731;732;559;559;732,000000000000;560,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,20824327891627;0,39875592254440;;"";"";"";"";"";""
;00024;1;6;PVC;761;153;761;761;153;153;762,000000000000;154,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34370267134177;0,17898427893504;;"";"";"";"";"";""
;00025;5;6;PVC;912;574;912;914;574;575;914,000000000000;575,000000000000;0,94868329805051;0,31622776601684;3,21359436211787;2,26491106406741;1,41886116991578;18,4349488229220;0,69054388148148;0,20429121934616;;"";"";"";"";"";""
;00026;1;7;PE;591;101;591;591;101;101;592,000000000000;102,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44426666666667;0,22974949233228;;"";"";"";"";"";""
;00027;1;7;PE;616;524;616;616;524;524;617,000000000000;525,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44070161572346;0,00000000000000;;"";"";"";"";"";""
;00028;1;7;PE;690;584;690;690;584;584;691,000000000000;585,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38957225179970;0,29951625344782;;"";"";"";"";"";""
;00029;1;7;PE;692;580;692;692;580;580;693,000000000000;581,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40525748148148;0,32007504102096;;"";"";"";"";"";""
;00030;1;7;PE;692;582;692;692;582;582;693,000000000000;583,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,66233837037037;0,24456370700672;;"";"";"";"";"";""
;00031;1;7;PE;694;586;694;694;586;586;695,000000000000;587,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,62967947061728;0,24150556967656;;"";"";"";"";"";""
;00032;3;7;PE;695;606;695;696;605;606;697,000000000000;607,000000000000;0,70710678118655;-0,70710678118655;2,41421356237305;1,70710678118644;1,41421356237316;135,000000000000;0,43359269683200;0,15663634949368;;"";"";"";"";"";""
;00033;3;7;PE;710;448;710;712;448;448;712,000000000000;449,000000000000;1,00000000000000;0,00000000000000;3,00000000000000;1,00000000000000;3,00000000000000;0,00000000000000;0,82133333333333;0,61675857940969;;"";"";"";"";"";""
;00034;26;7;PE;713;445;713;719;441;447;717,000000000000;445,000000000000;-0,66292745632119;0,74868363656188;8,80673910097721;3,99473454624751;2,20458681272074;131,523521265913;0,78400000000000;0,85186129468029;OK;"ja";"Fragment";"transparent";"137";"115";""
;00035;2;7;PE;715;189;715;716;189;189;716,000000000000;190,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,45297777777778;0,00000000000000;;"";"";"";"";"";""
;00036;4;7;PE;749;237;749;750;236;238;750,000000000000;238,000000000000;-0,52573111211913;0,85065080835204;3,22703272882319;1,85065080835204;1,74372859226576;121,717474411461;0,30941826252800;0,22556075134355;;"";"";"";"";"";""
;00037;1;7;PE;754;318;754;754;318;318;755,000000000000;319,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45066666666667;8,53383451898850E-02;;"";"";"";"";"";""
;00038;1;7;PE;789;418;789;789;418;418;790,000000000000;419,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41957451851852;0,00000000000000;;"";"";"";"";"";""
;00039;2;7;PE;831;651;831;831;651;652;832,000000000000;652,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,40122474039765;0,19737730637319;;"";"";"";"";"";""
;00040;2;7;PE;835;708;835;836;708;708;836,000000000000;709,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,49333333333333;0,28736121952545;;"";"";"";"";"";""
;00041;2;7;PE;913;427;913;914;427;427;914,000000000000;428,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,24124384142222;6,38721535979205E-03;;"";"";"";"";"";""
;00042;8;8;PP;293;845;293;295;845;847;295,000000000000;847,000000000000;0,70710678118655;0,70710678118655;3,82842712474621;3,12132034355960;1,22654091966101;45,0000000000000;0,67903827816296;0,92783581132883;OK;"ja";"Fragment";"grau";"58";"48";""
;00043;1;8;PP;323;205;323;323;205;205;324,000000000000;206,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,60902855111111;0,35484527833356;;"";"";"";"";"";""
;00044;1;8;PP;323;207;323;323;207;207;324,000000000000;208,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,62620444444444;0,62913217477494;;"";"";"";"";"";""
;00045;2;8;PP;644;443;644;645;443;443;646,000000000000;444,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,23399348148148;0,43893911422304;;"";"";"";"";"";""
;00046;2;12;PS;174;264;174;175;264;264;176,000000000000;265,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,44183133297778;0,19369544272830;;"";"";"";"";"";""
;00047;1;18;EVOH;262;383;262;262;383;383;263,000000000000;384,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41548767393548;0,15474274299731;;"";"";"";"";"";""
;00048;1;18;EVOH;937;675;937;937;675;675;938,000000000000;676,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44389767901235;0,21224996623983;;"";"";"";"";"";""
