sample_id;transect_id;horizon_wrb;description;colour;depth_average;depth_min;depth_max;mean_grain_size;sorting_grain_size;very_coarse_sand_proportion;coarse_sand_proportion;medium_sand_proportion;fine_sand_proportion;very_fine_sand_proportion;very_coarse_silt_proportion;coarse_silt_proportion;medium_silt_proportion;fine_silt_proportion;very_fine_silt_proportion;clay_proportion;n_tot_1_percent;n_tot_2_percent;c_tot_1_percent;c_tot_2_percent;soc_1_percent;soc_2_percent
transect1_00_05;1;Ah;NA;10YR 3/2;2.5;0;5;27.92;5391;0;0;0.024946521;0.144170265;0.194373083;0.204204687;0.112323716;0.09122172;0.07525854;0.059231686;0.094269782;0.36;0.35;5.07;5.14;3.74;3.76
transect1_05_10;1;Ah;NA;10YR 3/2;7.5;5;10;40.61;5678;0;0.013696087;0.098347163;0.158201901;0.18498345;0.200179807;0.089395133;0.071742005;0.060025986;0.047369547;0.076058921;0.28;0.29;4.1;4.21;2.88;2.88
transect1_10_15;1;Ah;NA;10YR 4/2;12.5;10;15;49.07;5103;0;0.01081099;0.102008465;0.191552775;0.218897891;0.177759216;0.081982937;0.063051882;0.050438104;0.039230883;0.064266857;0.28;0.27;3.99;4.07;2.92;2.92
transcet1_15_20;1;Ah;NA;10YR 4/2;17.5;15;20;118;4185;0;0.019819578;0.352028001;0.22352464;0.13970249;0.088791776;0.044987679;0.036532373;0.030427333;0.024016199;0.040169932;0.13;0.15;2.22;2.25;1.52;1.63
transect1_20_27;1;Ah;NA;10YR 4/3;23.5;20;27;110.6;4119;0;0.011463712;0.316991033;0.247321254;0.154227033;0.091865691;0.045597886;0.037924371;0.030742065;0.023688783;0.040178172;0.15;0.14;2.43;2.33;1.83;1.82
transect1_27_31;1;C;sandy intercalations;10YR 6/3;29;27;31;290.2;1.67;0;0.038087322;0.68509072;0.173543275;0.048699441;0.019091303;0.007327758;0.006697225;0.00570812;0.005035741;0.010719096;0.04;0.04;0.67;0.65;0.46;0.46
transect1_31_33;1;C;NA;10YR 4/3;32;31;33;220.8;2709;0;0.035541631;0.586197799;0.1838805;0.065979413;0.039236039;0.019240326;0.019203934;0.016236598;0.012918162;0.021565599;0.1;0.1;1.46;1.46;1.16;1.13
transect1_33_40;1;C2;pebbles in sandy matrix;10YR 6/3;36.5;33;40;216.8;2601;0;0.038452911;0.497732886;0.278897043;0.063442576;0.031522533;0.018915884;0.019283002;0.016120388;0.013205193;0.022427584;0.1;0.1;1.8;1.76;1.33;1.25
transect2_00_05;2;Ah;NA;10YR 3/2;2.5;0;5;21.17;5651;0;0;0.008040579;0.126044051;0.165953101;0.177233796;0.124304056;0.114843417;0.093965485;0.073907814;0.1157077;0.39;0.4;5.56;5.59;4.32;4.27
transect2_05_10;2;Ah;NA;10YR 3/2;7.5;5;10;23.09;5688;0;0;0.017640008;0.133228366;0.173482742;0.176257556;0.121489952;0.109550513;0.088643417;0.069415748;0.110291699;0.34;0.35;4.99;4.99;3.8;3.75
transect2_10-15;2;Ah;NA;10YR 3/2;12.5;10;15;24.1;5491;0;0;0.017722221;0.130895608;0.184377087;0.180448039;0.115079039;0.110799338;0.089646781;0.067987829;0.103044059;0.3;0.29;4.53;4.55;3.3;3.36
