MP identifier,Coordinates [pixels],Coordinates [µm],,,Polymer group,Number of pixels [-],Area on map [µm²],Major dimension [µm],Minor dimension [µm],Volume [µm³],Mass [ng],Sampling_Site,Sample_replicate,Sampling_Period
MP_1,[1201,1340],[6606,7370],pet,11,332.8,25.3,16.7,2226.188,3.07214,Janiskoski (S1),1,July2021
MP_2,[1387,87],[7629,479],pet,8,242,22.9,13.5,1302.888,1.79799,Janiskoski (S1),1,July2021
MP_3,[1580,504],[8690,2772],pet,6,181.5,22.9,10.1,732.875,1.01137,Janiskoski (S1),1,July2021
MP_4,[488,1027],[2684,5649],pe,218,6594.5,154.9,54.2,142939.672,135.79269,Janiskoski (S1),1,July2021
MP_5,[1030,2240],[5665,12320],pe,65,1966.3,83.2,30.1,23672.49,22.48887,Janiskoski (S1),1,July2021
MP_6,[1183,1668],[6507,9174],pe,876,26499,231.7,145.6,1543691.125,1466.5065,Janiskoski (S1),1,July2021
MP_7,[1482,1072],[8151,5896],pe,243,7350.8,150.8,62,182438.094,173.31619,Janiskoski (S1),1,July2021
MP_18,[1214,836],[6677,4598],abs,198,5989.5,139.2,54.8,131215.234,140.40031,Kallokoski (S2),1,July2021
MP_16,[958,1612],[5269,8866],pe,41,1240.3,52.4,30.1,14944.507,14.19728,Kallokoski (S2),1,July2021
MP_13,[260,878],[1430,4829],pe,160,4840,101.8,60.6,117249.445,111.38697,Kallokoski (S2),1,July2021
MP_15,[789,1702],[4340,9361],pe,114,3448.5,104.8,41.9,57789.535,54.90006,Kallokoski (S2),1,July2021
MP_14,[477,1563],[2624,8597],pe,125,3781.3,116.3,41.4,62625.473,59.4942,Kallokoski (S2),1,July2021
MP_3,[2009,1505],[11050,8278],pe,83,2510.8,87.3,36.6,36791.293,34.95173,Kallokoski (S2),1,July2021
MP_7,[334,1708],[1837,9394],pe,55,1663.8,58.7,36.1,24027.406,22.82604,Kallokoski (S2),1,July2021
MP_8,[778,483],[4279,2657],pe,32,968,50.3,24.5,9478.424,9.0045,Kallokoski (S2),1,July2021
MP_9,[1700,467],[9350,2569],pe,18,544.5,40.7,17,3708.413,3.52299,Kallokoski (S2),1,July2021
