"Parameter","mean","sd","median","lower_95_ci","upper_95_ci"
"R.ave.freshwater","0.671","0.28","0.671","0.12","1.22"
"R.ave.marine","0.769","0.289","0.768","0.206","1.34"
"a.l.freshwater","2.64","0.01","2.64","2.62","2.66"
"a.l.marine","2.07","0.03","2.07","2.01","2.13"
"a.m.freshwater","1.65","0.071","1.65","1.51","1.79"
"a.m.marine","1.32","0.00901","1.32","1.3","1.34"
"a.sa.freshwater","2","0.0651","2","1.87","2.13"
"a.sa.marine","1.5","0.00902","1.5","1.48","1.52"
"a.ssa.freshwater","2.71","0.00899","2.71","2.69","2.73"
"a.ssa.marine","1.98","0.298","1.98","1.39","2.56"
"a.v.freshwater","1.68","0.0808","1.68","1.52","1.84"
"a.v.marine","1.48","0.0627","1.48","1.36","1.6"
"body.length.beta","0.934","0.137","0.934","0.664","1.2"
"body.length.intercept","1.12","0.323","1.12","0.484","1.75"
"upper.tissue.size.um","179","5.62e+03","88.5","29.8","468"
