"","Tier","Tissue Translocation (Default)","Food Dilution (Default)","Tissue Translocation (5th %)","Tissue Translocation (95th %)","Food Dilution (5th %)","Food Dilution (95th %)","N Species (tissue trans)","N Species (food dilution)","N Groups (tissue trans)","N Groups (food dilution)","N Datapoints (tissue trans)","N Datapoints (food dilution)","label","Environment"
"1","Tier1",1.24853445031046,0.000141838737778169,NA,NA,NA,NA,15,14,7,7,220,222,"risk and tech","Marine"
"2","Tier2",16.227394017406,0.00333858980331798,1.24853445031046,11781.8071949984,0.000141838737778169,1.71069812332152,15,14,7,7,220,222,"risk and tech","Marine"
"3","Tier3",780.747679658818,0.520730232363961,120.652561871284,47686.9727694993,0.0990002333456021,57.8235252252522,13,13,7,7,34,40,"risk and tech","Marine"
"4","Tier4",3567.45494541708,2.80344839349303,478.787950452263,148920.431370471,0.349426939733562,236.553658579674,13,13,7,7,34,40,"risk and tech","Marine"
"5","Tier1",1.24853445031046,0.000141838737778169,NA,NA,NA,NA,15,14,7,7,220,222,"tech only","Marine"
"6","Tier2",16.227394017406,0.00333858980331798,1.24853445031046,11781.8071949984,0.000141838737778169,1.71069812332152,15,14,7,7,220,222,"tech only","Marine"
"7","Tier3",780.747679658818,0.520730232363961,120.652561871284,47686.9727694993,0.0990002333456021,57.8235252252522,13,13,7,7,34,40,"tech only","Marine"
"8","Tier4",3567.45494541708,2.80344839349303,478.787950452263,148920.431370471,0.349426939733562,236.553658579674,13,13,7,7,34,40,"tech only","Marine"
"9","Tier1",1.24853445031046,6.57080887148669e-05,NA,NA,NA,NA,15,15,7,7,223,247,"risk only","Marine"
"10","Tier2",16.227394017406,0.000938988300198924,1.24853445031046,11781.8071949984,6.57080887148669e-05,1.34895576406217,15,15,7,7,223,247,"risk only","Marine"
"11","Tier3",761.20602659738,0.514071481180626,115.412660899817,49627.2673548554,0.0976355503814492,58.5364522307085,13,13,7,7,37,43,"risk only","Marine"
"12","Tier4",3565.01987024783,2.77651431055688,469.737886295822,156641.288650953,0.346179983983459,241.950349067689,13,13,7,7,37,43,"risk only","Marine"
"13","Tier1",3.43050181502683,0.000145337187481374,NA,NA,NA,NA,17,18,8,8,238,298,"no quality filters","Marine"
"14","Tier2",43.6161713909999,0.0061180066822295,3.43050181502683,3495.47179646178,0.000145337187481374,0.447249199435748,17,18,8,8,238,298,"no quality filters","Marine"
"15","Tier3",761.20602659738,0.669337464257952,115.412660899817,49627.2673548554,0.0853627522607437,16.2426698930396,13,14,7,7,37,44,"no quality filters","Marine"
"16","Tier4",3565.01987024783,3.74991829574408,469.737886295822,156641.288650953,0.341546919888178,76.4550788608383,13,14,7,7,37,44,"no quality filters","Marine"
"17","Tier1",381.927797306029,6.30308725934393,NA,NA,NA,NA,10,9,3,2,151,143,"risk and tech","Freshwater"
"18","Tier2",1396.6377724952,27.1297848762846,381.927797306029,37828.583480547,6.30308725934393,3696.64808721652,10,9,3,2,151,143,"risk and tech","Freshwater"
"19","Tier3",6038.28750125333,278.585719391223,1277.02109615373,395764.848954944,58.5972332599621,57647.6202382424,6,7,2,2,109,110,"risk and tech","Freshwater"
"20","Tier4",13729.6655676387,711.369533971918,2369.8296027754,689163.025207248,124.161466505858,111022.80197445,6,7,2,2,109,110,"risk and tech","Freshwater"
"21","Tier1",296.992596252907,6.30308725934393,NA,NA,NA,NA,11,9,3,2,152,143,"tech only","Freshwater"
"22","Tier2",1346.92016531031,27.1297848762846,296.992596252907,51284.2467266747,6.30308725934393,3696.64808721652,11,9,3,2,152,143,"tech only","Freshwater"
"23","Tier3",6038.28750125333,278.585719391223,1277.02109615373,395764.848954944,58.5972332599621,57647.6202382424,6,7,2,2,109,110,"tech only","Freshwater"
"24","Tier4",13729.6655676387,711.369533971918,2369.8296027754,689163.025207248,124.161466505858,111022.80197445,6,7,2,2,109,110,"tech only","Freshwater"
"25","Tier1",381.927797306029,6.30308725934393,NA,NA,NA,NA,10,9,3,2,151,143,"risk only","Freshwater"
"26","Tier2",1396.6377724952,27.1297848762846,381.927797306029,37828.583480547,6.30308725934393,3696.64808721652,10,9,3,2,151,143,"risk only","Freshwater"
"27","Tier3",6038.28750125333,278.585719391223,1277.02109615373,395764.848954944,58.5972332599621,57647.6202382424,6,7,2,2,109,110,"risk only","Freshwater"
"28","Tier4",13729.6655676387,711.369533971918,2369.8296027754,689163.025207248,124.161466505858,111022.80197445,6,7,2,2,109,110,"risk only","Freshwater"
"29","Tier1",99.4250590060495,0.456461816349378,NA,NA,NA,NA,13,12,3,2,191,175,"no quality filters","Freshwater"
"30","Tier2",252.967432873829,3.23943293730841,99.4250590060495,41840.6063500641,0.456461816349378,228.093857699064,13,12,3,2,191,175,"no quality filters","Freshwater"
"31","Tier3",6038.28750125333,278.585719391223,1277.02109615373,395764.848954944,58.5972332599621,57647.6202382424,6,7,2,2,109,110,"no quality filters","Freshwater"
"32","Tier4",13729.6655676387,711.369533971918,2369.8296027754,689163.025207248,124.161466505858,111022.80197445,6,7,2,2,109,110,"no quality filters","Freshwater"
"33","Tier1",5.86701493658421,0.000710292504287486,NA,NA,NA,NA,25,23,7,7,371,365,"risk and tech","Freshwater & Marine"
"34","Tier2",89.2770421743278,0.0628928507352726,5.86701493658421,716.510500807613,0.000710292504287486,0.870967590812056,25,23,7,7,371,365,"risk and tech","Freshwater & Marine"
"35","Tier3",1531.72260101793,1.73165495922859,323.512435342661,8498.15075963247,0.23216320340044,21.7788508884868,19,20,7,7,143,150,"risk and tech","Freshwater & Marine"
