"","rowid","source","Issue Flag","doi","article","fed","tech.a1","tech.a2","tech.a3","tech.a4","tech.a5","tech.a6","tech.1","tech.2","tech.3","tech.4","tech.5","tech.6","tech.7","tech.8","tech.9","tech.10","tech.11","tech.12","risk.b1","risk.13","risk.14","risk.15","risk.16","risk.17","risk.18","risk.19","risk.20","technical.quality","risk.quality","authors","year","Species","Group","environment","life_f","vivo_f","sex","exp_type_f","exposure.route","mix","negative.control","reference.material","exposure.media","solvent","detergent","media.sal.ppt","media.ph","media.temp","media.temp.min","media.temp.max","exposure.duration.d","Recovery (Days)","treatments","treatment_range","replicates","dosing.frequency","sample.size","dose.particles.mL.nominal","dose.mg.L.nominal","dose.particles.mL.measured","dose.mg.L.measured","dose.particles.mL.master","dose.particles.mL.master.converted.reported","dose.mg.L.master","dose.mg.L.master.converted.reported","chem.add.nominal","chem.add.dose.mg.L.nominal","chem.add.measured","chem.add.dose.mg.L.measured","Nominal Dose Alternative Category","Nominal Dose Alternative Type","Nominal Dose Alternative Type Units","Measured Dose Alternative Category","Measured Dose Alternative Type","Measured Dose Alternative Type Units","effect_f","effect.metric","direction","lvl1_f","lvl2_f","lvl3_f","bio_f","target.cell.tissue","poly_f","density.g.cm3","density.reported.estimated","shape_f","charge","zetapotential.mV","zetapotential.media","size.length.um.used.for.conversions","size.width.um.used.for.conversions","size_f","particle.surface.area.um2","particle.volume.um3","mass.per.particle.mg","functional.group","size.length.mm.nominal","size.length.min.mm.nominal","size.length.max.mm.nominal","size.length.mm.measured","size.length.min.mm.measured","size.length.max.mm.measured","size.width.mm.nominal","size.width.min.mm.nominal","size.width.max.mm.nominal","size.width.mm.measured","size.width.min.mm.measured","size.width.max.mm.measured","size.height.mm.nominal","size.height.min.mm.nominal","size.height.max.mm.nominal","size.height.mm.measured","size.height.min.mm.measured","size.height.max.mm.measured","weather.biofoul_f","size.valid","shape.valid","polymer.valid","particle.source","sodium.azide","contaminant.screen","clean.method","sol.rinse","background.plastics","concentration.valid","particle.behavior","uptake.valid","uptake.valid.method","tissue.distribution","total.quality","tier_zero_tech_f","tier_zero_risk_f","af.time","acute.chronic_f","af.noec","dose.surface.area.um2.mL.master","particle.surface.area.um2.mg","polydispersity","size.length.min.um.used.for.conversions","size.width.min.um.used.for.conversions","size.height.min.um.used.for.conversions","size.length.max.um.used.for.conversions","size.width.max.um.used.for.conversions","size.height.max.um.used.for.conversions","particle.surface.area.um2.min","particle.surface.area.um2.max","particle.volume.um3.min","particle.volume.um3.max","mass.per.particle.mg.min","mass.per.particle.mg.max","dose.um3.mL.master","dose.um2.mL.master","dose.um2.ug.mL.master","body.length.cm","body.size.source","max.size.ingest.mm","max.size.ingest.um","alpha","a.sa","a.v","a.m","a.ssa","R.ave","p.ave","x2M","EC_mono_p.particles.mL","mu.p.mono","mu.p.poly","EC_poly_p.particles.mL","CF_bio","EC_env_p.particles.mL","mu.sa.mono","x_LL_sa","x_UL_sa","mu.sa.poly","EC_poly_sa.particles.mL","EC_env_sa.particles.mL","mu.v.mono","x_LL_v","x_UL_v","mu.v.poly","EC_poly_v.particles.mL","EC_env_v.particles.mL","mu.m.mono","x_LL_m","x_UL_m","mu.m.poly","EC_poly_m.particles.mL","EC_env_m.particles.mL","mu.ssa.mono","x_LL_ssa","x_UL_ssa","mu.ssa.poly","EC_poly_ssa.particles.mL","EC_env_ssa.particles.mL","dose_new"
"1",13,"Koelmans,Rochman",NA,"10.1002/etc.3093",2,"Y",2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,2,2,2,2,2,0,1,0,2,11,11,"Au",2015,"Hyalella azteca","Crustacea","Freshwater","Early","In Vivo",NA,"Particle Only","water","N","Y","N","hard reconstituted water","ethanol",NA,NA,NA,"25",NA,NA,10,NA,5,"3-5","3",2,"10",NA,NA,1000,NA,1000,"reported",0.599393782,"converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","NOEC",NA,"Fitness","Mortality","Mortality","Organism",NA,"Polyethylene",1.13,"reported","Fragment",NA,NA,NA,18.5,NA,"1µm < 100µm",2467.64272131785,1316.95627808413,5.99e-07,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Y","Y","N","commercial","unknown","N","Not Cleaned","No","N","Y","Not Evaluated","Y","microscopy flourescent particles","gut",22,"Red Criteria Passed","Red Criteria Passed",10,"Acute",1,2467642.72131785,4119603875.32196,"monodisperse",10,7.7,5.159,27,20.79,13.9293,721.005908347071,5256.13307185015,310.441714052231,6110.42425769007,0.000350799136879021,0.00690477941118978,1316956.27808413,2467642.72131785,4119603875321957,0.78,"Koelmans 2020",0.112,112,2.64,2,1.68,1.65,2.71,0.67,1.04,167.164179104478,1000,1,2.46626245249493,405.471850324922,1.00022515953138,405.563146176729,2467.64272131785,1.53195957525638,42808.8681488438,15.6846912319621,157328.103232872,157363.527154869,1316.95627808413,0.157479608632252,735620.776480127,45.2494494278481,29104.3602681633,29110.9133922825,0.000599,1.63778792977542e-07,0.765045607539332,6.53743569664068e-05,3716.01857108429,3716.85526808436,4119603.87532196,9353833.59105866,55955.9688036545,131230.353651834,12731.5019900814,12734.3686091033,15736352.7154869
"2",14,"Koelmans,Rochman",NA,"10.1002/etc.3093",2,"Y",2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,2,2,2,2,2,0,1,0,2,11,11,"Au",2015,"Hyalella azteca","Crustacea","Freshwater","Early","In Vivo",NA,"Particle Only","water","N","Y","N","hard reconstituted water","ethanol",NA,NA,NA,"25",NA,NA,10,NA,5,"3-5","3",2,"10",NA,NA,10000,NA,10000,"reported",5.993937824,"converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","LOEC","increase","Fitness","Mortality","Mortality","Organism",NA,"Polyethylene",1.13,"reported","Fragment",NA,NA,NA,18.5,NA,"1µm < 100µm",2467.64272131785,1316.95627808413,5.99e-07,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Y","Y","N","commercial","unknown","N","Not Cleaned","No","N","Y","Not Evaluated","Y","microscopy flourescent particles","gut",22,"Red Criteria Passed","Red Criteria Passed",10,"Acute",2,24676427.2131785,4119603875.32196,"monodisperse",10,7.7,5.159,27,20.79,13.9293,721.005908347071,5256.13307185015,310.441714052231,6110.42425769007,0.000350799136879021,0.00690477941118978,13169562.7808413,24676427.2131785,41196038753219568,0.78,"Koelmans 2020",0.112,112,2.64,2,1.68,1.65,2.71,0.67,1.04,167.164179104478,10000,1,2.46626245249493,4054.71850324922,1.00022515953138,4055.63146176729,2467.64272131785,1.53195957525638,42808.8681488438,15.6846912319621,1573281.03232872,1573635.27154869,1316.95627808413,0.157479608632252,735620.776480127,45.2494494278481,291043.602681633,291109.133922825,0.000599,1.63778792977542e-07,0.765045607539332,6.53743569664068e-05,37160.1857108429,37168.5526808435,4119603.87532196,9353833.59105866,55955.9688036545,131230.353651834,127315.019900814,127343.686091033,78681763.5774344
"3",16,"Koelmans,Rochman",NA,"10.1002/etc.3093",2,"Y",2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,2,2,2,2,2,0,1,0,2,11,11,"Au",2015,"Hyalella azteca","Crustacea","Freshwater","Early","In Vivo",NA,"Particle Only","water","N","Y","N","hard reconstituted water","ethanol",NA,NA,NA,"25",NA,NA,42,NA,3,"3-5","6",2,"10",NA,NA,5000,NA,5000,"reported",2.996968912,"converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","NOEC",NA,"Fitness","Growth","Body Mass","Organism",NA,"Polyethylene",1.13,"reported","Fragment",NA,NA,NA,18.5,NA,"1µm < 100µm",2467.64272131785,1316.95627808413,5.99e-07,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Y","Y","N","commercial","unknown","N","Not Cleaned","No","N","Y","Not Evaluated","Y","microscopy flourescent particles","gut",22,"Red Criteria Passed","Red Criteria Passed",1,"Chronic",1,12338213.6065893,4119603875.32196,"monodisperse",10,7.7,5.159,27,20.79,13.9293,721.005908347071,5256.13307185015,310.441714052231,6110.42425769007,0.000350799136879021,0.00690477941118978,6584781.39042064,12338213.6065893,20598019376609784,0.78,"Koelmans 2020",0.112,112,2.64,2,1.68,1.65,2.71,0.67,1.04,167.164179104478,5000,1,2.46626245249493,2027.35925162461,1.00022515953138,2027.81573088365,2467.64272131785,1.53195957525638,42808.8681488438,15.6846912319621,786640.516164359,786817.635774344,1316.95627808413,0.157479608632252,735620.776480127,45.2494494278481,145521.801340817,145554.566961412,0.000599,1.63778792977542e-07,0.765045607539332,6.53743569664068e-05,18580.0928554214,18584.2763404218,4119603.87532196,9353833.59105866,55955.9688036545,131230.353651834,63657.5099504071,63671.8430455165,786817635.774344
"4",17,"Koelmans,Rochman",NA,"10.1002/etc.3093",2,"Y",2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,2,2,2,2,2,0,1,0,2,11,11,"Au",2015,"Hyalella azteca","Crustacea","Freshwater","Early","In Vivo",NA,"Particle Only","water","N","Y","N","hard reconstituted water","ethanol",NA,NA,NA,"25",NA,NA,42,NA,3,"3-5","6",2,"10",NA,NA,10000,NA,10000,"reported",5.993937824,"converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","LOEC","decrease","Fitness","Growth","Body Mass","Organism",NA,"Polyethylene",1.13,"reported","Fragment",NA,NA,NA,18.5,NA,"1µm < 100µm",2467.64272131785,1316.95627808413,5.99e-07,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Y","Y","N","commercial","unknown","N","Not Cleaned","No","N","Y","Not Evaluated","Y","microscopy flourescent particles","gut",22,"Red Criteria Passed","Red Criteria Passed",1,"Chronic",2,24676427.2131785,4119603875.32196,"monodisperse",10,7.7,5.159,27,20.79,13.9293,721.005908347071,5256.13307185015,310.441714052231,6110.42425769007,0.000350799136879021,0.00690477941118978,13169562.7808413,24676427.2131785,41196038753219568,0.78,"Koelmans 2020",0.112,112,2.64,2,1.68,1.65,2.71,0.67,1.04,167.164179104478,10000,1,2.46626245249493,4054.71850324922,1.00022515953138,4055.63146176729,2467.64272131785,1.53195957525638,42808.8681488438,15.6846912319621,1573281.03232872,1573635.27154869,1316.95627808413,0.157479608632252,735620.776480127,45.2494494278481,291043.602681633,291109.133922825,0.000599,1.63778792977542e-07,0.765045607539332,6.53743569664068e-05,37160.1857108429,37168.5526808435,4119603.87532196,9353833.59105866,55955.9688036545,131230.353651834,127315.019900814,127343.686091033,786817635.774344
"5",19,"Koelmans,Rochman",NA,"10.1002/etc.3093",2,"Y",2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,2,2,2,2,2,0,1,0,2,11,11,"Au",2015,"Hyalella azteca","Crustacea","Freshwater","Early","In Vivo",NA,"Particle Only","water","N","Y","N","hard reconstituted water","ethanol",NA,NA,NA,"25",NA,NA,42,NA,3,"3-5","6",2,"10",NA,NA,5000,NA,5000,"reported",2.996968912,"converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","LOEC","decrease","Fitness","Reproduction","Fecundity","Organism",NA,"Polyethylene",1.13,"reported","Fragment",NA,NA,NA,18.5,NA,"1µm < 100µm",2467.64272131785,1316.95627808413,5.99e-07,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Y","Y","N","commercial","unknown","N","Not Cleaned","No","N","Y","Not Evaluated","Y","microscopy flourescent particles","gut",22,"Red Criteria Passed","Red Criteria Passed",1,"Chronic",2,12338213.6065893,4119603875.32196,"monodisperse",10,7.7,5.159,27,20.79,13.9293,721.005908347071,5256.13307185015,310.441714052231,6110.42425769007,0.000350799136879021,0.00690477941118978,6584781.39042064,12338213.6065893,20598019376609784,0.78,"Koelmans 2020",0.112,112,2.64,2,1.68,1.65,2.71,0.67,1.04,167.164179104478,5000,1,2.46626245249493,2027.35925162461,1.00022515953138,2027.81573088365,2467.64272131785,1.53195957525638,42808.8681488438,15.6846912319621,786640.516164359,786817.635774344,1316.95627808413,0.157479608632252,735620.776480127,45.2494494278481,145521.801340817,145554.566961412,0.000599,1.63778792977542e-07,0.765045607539332,6.53743569664068e-05,18580.0928554214,18584.2763404218,4119603.87532196,9353833.59105866,55955.9688036545,131230.353651834,63657.5099504071,63671.8430455165,393408817.887172
"6",22,"Koelmans,Rochman",NA,"10.1002/etc.3093",2,"Y",2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,2,2,2,2,2,0,1,0,2,11,11,"Au",2015,"Hyalella azteca","Crustacea","Freshwater","Early","In Vivo",NA,"Particle Only","water","N","Y","N","hard reconstituted water","ethanol",NA,NA,NA,"25",NA,NA,10,NA,5,"3-5","3",2,"10",46000,NA,NA,NA,4600,"reported",27.57211399,"converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC50",NA,"Fitness","Mortality","Mortality","Organism",NA,"Polyethylene",1.13,"reported","Fragment",NA,NA,NA,18.5,NA,"1µm < 100µm",2467.64272131785,1316.95627808413,5.99e-07,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Y","Y","N","commercial","unknown","N","Not Cleaned","No","N","Y","Not Evaluated","Y","microscopy flourescent particles","gut",22,"Red Criteria Passed","Red Criteria Passed",10,"Acute",10,11351156.5180621,4119603875.32196,"monodisperse",10,7.7,5.159,27,20.79,13.9293,721.005908347071,5256.13307185015,310.441714052231,6110.42425769007,0.000350799136879021,0.00690477941118978,6057998.87918699,11351156.5180621,18950177826481004,0.78,"Koelmans 2020",0.112,112,2.64,2,1.68,1.65,2.71,0.67,1.04,167.164179104478,4600,1,2.46626245249493,1865.17051149464,1.00022515953138,1865.59047241296,2467.64272131785,1.53195957525638,42808.8681488438,15.6846912319621,723709.27487121,723872.224912397,1316.95627808413,0.157479608632252,735620.776480127,45.2494494278481,133880.057233551,133910.201604499,0.000599,1.63778792977542e-07,0.765045607539332,6.53743569664068e-05,17093.6854269877,17097.534233188,4119603.87532196,9353833.59105866,55955.9688036545,131230.353651834,58564.9091543746,58578.0956018752,7238722.24912397
"7",23,"Koelmans,Rochman",NA,"10.1002/etc.3093",2,"Y",2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,2,2,2,2,2,0,1,0,2,11,11,"Au",2015,"Hyalella azteca","Crustacea","Freshwater","Early","In Vivo",NA,"Particle Only","water","N","Y","N","hard reconstituted water","ethanol",NA,NA,NA,"25",NA,NA,10,NA,3,"3-5","3",2,"10",NA,NA,22.5,NA,22.5,"reported",0.293788,"converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","NOEC",NA,"Fitness","Growth","Body Mass","Organism",NA,"Polypropylene",0.875,"estimated","Fiber",NA,NA,NA,47.5,20,"1µm < 100µm",3612.83155162826,14922.5651045515,1.31e-05,NA,NA,NA,NA,NA,0.02,0.075,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,"No","Y","Y","Y","lab","N","N","Not Cleaned","No","N","Y","Not Evaluated","Y","microscopy","gut",22,"Red Criteria Passed","Red Criteria Passed",10,"Acute",1,81288.7099116359,275788668.063226,"monodisperse",20,15.4,15.4,75,57.75,57.75,3588.65163867855,50465.4136689171,2483.53371241785,130967.598115785,0.00217309199836562,0.114596648351312,335757.714852409,81288.7099116359,6205245031422.59,0.78,"Koelmans 2020",0.112,112,2.64,2,1.68,1.65,2.71,0.67,1.04,167.164179104478,22.5,1,2.46626245249493,9.12311663231074,1.00022515953138,9.12517078897641,3612.83155162826,1.53195957525638,42808.8681488438,15.6846912319621,5182.67836513011,5183.8452945621,14922.5651045515,0.157479608632252,735620.776480127,45.2494494278481,7420.1502802324,7421.82099779228,0.0131,1.63778792977542e-07,0.765045607539332,6.53743569664068e-05,1828.54169253271,1828.95340612331,275788.668063226,9353833.59105866,55955.9688036545,131230.353651834,19.1771082505658,19.1814261592727,518384.52945621
"8",24,"Koelmans,Rochman",NA,"10.1002/etc.3093",2,"Y",2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,2,2,2,2,2,0,1,0,2,11,11,"Au",2015,"Hyalella azteca","Crustacea","Freshwater","Early","In Vivo",NA,"Particle Only","water","N","Y","N","hard reconstituted water","ethanol",NA,NA,NA,"25",NA,NA,10,NA,3,"3-5","3",2,"10",NA,NA,45,NA,45,"reported",0.587576001,"converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","LOEC","decrease","Fitness","Growth","Body Mass","Organism",NA,"Polypropylene",0.875,"estimated","Fiber",NA,NA,NA,47.5,20,"1µm < 100µm",3612.83155162826,14922.5651045515,1.31e-05,NA,NA,NA,NA,NA,0.02,0.075,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,"No","Y","Y","Y","lab","N","N","Not Cleaned","No","N","Y","Not Evaluated","Y","microscopy","gut",22,"Red Criteria Passed","Red Criteria Passed",10,"Acute",2,162577.419823272,275788668.063226,"monodisperse",20,15.4,15.4,75,57.75,57.75,3588.65163867855,50465.4136689171,2483.53371241785,130967.598115785,0.00217309199836562,0.114596648351312,671515.429704818,162577.419823272,12410490062845.2,0.78,"Koelmans 2020",0.112,112,2.64,2,1.68,1.65,2.71,0.67,1.04,167.164179104478,45,1,2.46626245249493,18.2462332646215,1.00022515953138,18.2503415779528,3612.83155162826,1.53195957525638,42808.8681488438,15.6846912319621,10365.3567302602,10367.6905891242,14922.5651045515,0.157479608632252,735620.776480127,45.2494494278481,14840.3005604648,14843.6419955846,0.0131,1.63778792977542e-07,0.765045607539332,6.53743569664068e-05,3657.08338506542,3657.90681224662,275788.668063226,9353833.59105866,55955.9688036545,131230.353651834,38.3542165011316,38.3628523185455,518384.52945621
"9",26,"Koelmans,Rochman",NA,"10.1002/etc.3093",2,"Y",2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,2,2,2,2,2,0,1,0,2,11,11,"Au",2015,"Hyalella azteca","Crustacea","Freshwater","Early","In Vivo",NA,"Particle Only","water","N","Y","N","hard reconstituted water","ethanol",NA,NA,NA,"25",NA,NA,10,NA,3,"3-5","3",2,"10",NA,NA,22.5,NA,22.5,"reported",0.293788,"converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","NOEC",NA,"Fitness","Mortality","Mortality","Organism",NA,"Polypropylene",0.875,"estimated","Fiber",NA,NA,NA,47.5,20,"1µm < 100µm",3612.83155162826,14922.5651045515,1.31e-05,NA,NA,NA,NA,NA,0.02,0.075,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,"No","Y","Y","Y","lab","N","N","Not Cleaned","No","N","Y","Not Evaluated","Y","microscopy","gut",22,"Red Criteria Passed","Red Criteria Passed",10,"Acute",1,81288.7099116359,275788668.063226,"monodisperse",20,15.4,15.4,75,57.75,57.75,3588.65163867855,50465.4136689171,2483.53371241785,130967.598115785,0.00217309199836562,0.114596648351312,335757.714852409,81288.7099116359,6205245031422.59,0.78,"Koelmans 2020",0.112,112,2.64,2,1.68,1.65,2.71,0.67,1.04,167.164179104478,22.5,1,2.46626245249493,9.12311663231074,1.00022515953138,9.12517078897641,3612.83155162826,1.53195957525638,42808.8681488438,15.6846912319621,5182.67836513011,5183.8452945621,14922.5651045515,0.157479608632252,735620.776480127,45.2494494278481,7420.1502802324,7421.82099779228,0.0131,1.63778792977542e-07,0.765045607539332,6.53743569664068e-05,1828.54169253271,1828.95340612331,275788.668063226,9353833.59105866,55955.9688036545,131230.353651834,19.1771082505658,19.1814261592727,518384.52945621
"10",27,"Koelmans,Rochman",NA,"10.1002/etc.3093",2,"Y",2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,2,2,2,2,2,0,1,0,2,11,11,"Au",2015,"Hyalella azteca","Crustacea","Freshwater","Early","In Vivo",NA,"Particle Only","water","N","Y","N","hard reconstituted water","ethanol",NA,NA,NA,"25",NA,NA,10,NA,3,"3-5","3",2,"10",NA,NA,45,NA,45,"reported",0.587576001,"converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","LOEC","increase","Fitness","Mortality","Mortality","Organism",NA,"Polypropylene",0.875,"estimated","Fiber",NA,NA,NA,47.5,20,"1µm < 100µm",3612.83155162826,14922.5651045515,1.31e-05,NA,NA,NA,NA,NA,0.02,0.075,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,"No","Y","Y","Y","lab","N","N","Not Cleaned","No","N","Y","Not Evaluated","Y","microscopy","gut",22,"Red Criteria Passed","Red Criteria Passed",10,"Acute",2,162577.419823272,275788668.063226,"monodisperse",20,15.4,15.4,75,57.75,57.75,3588.65163867855,50465.4136689171,2483.53371241785,130967.598115785,0.00217309199836562,0.114596648351312,671515.429704818,162577.419823272,12410490062845.2,0.78,"Koelmans 2020",0.112,112,2.64,2,1.68,1.65,2.71,0.67,1.04,167.164179104478,45,1,2.46626245249493,18.2462332646215,1.00022515953138,18.2503415779528,3612.83155162826,1.53195957525638,42808.8681488438,15.6846912319621,10365.3567302602,10367.6905891242,14922.5651045515,0.157479608632252,735620.776480127,45.2494494278481,14840.3005604648,14843.6419955846,0.0131,1.63778792977542e-07,0.765045607539332,6.53743569664068e-05,3657.08338506542,3657.90681224662,275788.668063226,9353833.59105866,55955.9688036545,131230.353651834,38.3542165011316,38.3628523185455,518384.52945621
