"","Tier","Environment","Metric","Mean","Median","Std_Dev","Min","Max","Percentile_5th","Percentile_95th","N_sim"
"1","Tier1","Freshwater","Food Dilution (Default)",0.958,0.364,1.53,0.000222,14.8,0.0257,4.07,9580
"2","Tier1","Freshwater","N Datapoints (food dilution)",131,131,0,131,131,131,131,9580
"3","Tier1","Freshwater","N Datapoints (tissue trans)",129,133,11.7,32,145,106,141,9580
"4","Tier1","Freshwater","N Groups (food dilution)",2,2,0,2,2,2,2,9580
"5","Tier1","Freshwater","N Groups (tissue trans)",3,3,0.0102,2,3,3,3,9580
"6","Tier1","Freshwater","N Species (food dilution)",8,8,0,8,8,8,8,9580
"7","Tier1","Freshwater","N Species (tissue trans)",9.41,9,0.725,3,11,9,11,9580
"8","Tier1","Freshwater","Tissue Translocation (Default)",110,101,44.5,7.15,552,66.4,183,9580
"9","Tier1","Freshwater","food_dilution_ug.L",35.5,12.8,59.9,0.0052,865,0.838,154,9580
"10","Tier1","Freshwater","food_dilution_um3.L",20.7,11.3,25.1,0.0332,288,1.41,74.2,9580
"11","Tier1","Freshwater","tissue_translocation_ug.L",4110,3590,2250,264,31800,1790,8020,9580
"12","Tier1","Freshwater","tissue_translocation_um2.L",943,862,361,68.7,5460,657,1470,9580
"13","Tier1","Marine","Food Dilution (Default)",0.000119,4.98e-05,0.000173,2.37e-07,0.0012,4.17e-06,0.000476,9580
"14","Tier1","Marine","N Datapoints (food dilution)",230,230,0,230,230,230,230,9580
"15","Tier1","Marine","N Datapoints (tissue trans)",230,228,8.18,9,255,228,255,9580
"16","Tier1","Marine","N Groups (food dilution)",7,7,0,7,7,7,7,9580
"17","Tier1","Marine","N Groups (tissue trans)",7.09,7,0.293,2,8,7,8,9580
"18","Tier1","Marine","N Species (food dilution)",15,15,0,15,15,15,15,9580
"19","Tier1","Marine","N Species (tissue trans)",16.2,16,0.606,3,18,16,18,9580
"20","Tier1","Marine","Tissue Translocation (Default)",0.88,0.807,0.472,0.0918,2.87,0.209,1.83,9580
"21","Tier1","Marine","food_dilution_ug.L",0.0196,0.00817,0.0285,3.99e-05,0.201,0.00069,0.0783,9580
"22","Tier1","Marine","food_dilution_um3.L",0.00699,0.00391,0.00801,5.15e-05,0.0518,0.000538,0.0238,9580
"23","Tier1","Marine","tissue_translocation_ug.L",145,133,77.9,14.8,462,34.6,302,9580
"24","Tier1","Marine","tissue_translocation_um2.L",62.1,56.9,33.3,7.32,187,14.9,128,9580
"25","Tier2","Freshwater","Food Dilution (5th %)",0.958,0.364,1.53,0.000222,14.8,0.0257,4.07,9580
"26","Tier2","Freshwater","Food Dilution (95th %)",188,116,204,0.158,1790,15.7,633,9580
"27","Tier2","Freshwater","Food Dilution (Default)",9.23,4.08,13.1,0.0035,97.7,0.341,37.9,9580
"28","Tier2","Freshwater","N Datapoints (food dilution)",131,131,0,131,131,131,131,9580
"29","Tier2","Freshwater","N Datapoints (tissue trans)",129,133,11.7,32,145,106,141,9580
"30","Tier2","Freshwater","N Groups (food dilution)",2,2,0,2,2,2,2,9580
"31","Tier2","Freshwater","N Groups (tissue trans)",3,3,0.0102,2,3,3,3,9580
"32","Tier2","Freshwater","N Species (food dilution)",8,8,0,8,8,8,8,9580
"33","Tier2","Freshwater","N Species (tissue trans)",9.41,9,0.725,3,11,9,11,9580
"34","Tier2","Freshwater","Tissue Translocation (5th %)",110,101,44.5,7.15,552,66.4,183,9580
"35","Tier2","Freshwater","Tissue Translocation (95th %)",14700,12900,9290,596,47000,3640,30800,9580
"36","Tier2","Freshwater","Tissue Translocation (Default)",725,708,187,47.4,1470,457,1050,9580
"37","Tier2","Freshwater","food_dilution_ug.L",342,143,523,0.0821,7650,11.1,1410,9580
"38","Tier2","Freshwater","food_dilution_um3.L",205,126,218,0.45,1370,18.4,693,9580
"39","Tier2","Freshwater","tissue_translocation_ug.L",26900,24800,11900,1610,129000,12100,48900,9580
"40","Tier2","Freshwater","tissue_translocation_um2.L",6180,6170,1230,455,10200,4360,8120,9580
"41","Tier2","Marine","Food Dilution (5th %)",0.000119,4.98e-05,0.000173,2.37e-07,0.0012,4.17e-06,0.000476,9580
