"","rowid","source","Issue Flag","doi","article","fed","tech.a1","tech.a2","tech.a3","tech.a4","tech.a5","tech.a6","tech.1","tech.2","tech.3","tech.4","tech.5","tech.6","tech.7","tech.8","tech.9","tech.10","tech.11","tech.12","risk.b1","risk.13","risk.14","risk.15","risk.16","risk.17","risk.18","risk.19","risk.20","technical.quality","risk.quality","authors","year","Species","Group","environment","life_f","vivo_f","sex","exp_type_f","exposure.route","mix","negative.control","reference.material","exposure.media","solvent","detergent","media.sal.ppt","media.ph","media.temp","media.temp.min","media.temp.max","exposure.duration.d","Recovery (Days)","treatments","treatment_range","replicates","dosing.frequency","sample.size","dose.particles.mL.nominal","dose.mg.L.nominal","dose.particles.mL.measured","dose.mg.L.measured","dose.particles.mL.master","dose.particles.mL.master.converted.reported","dose.mg.L.master","dose.mg.L.master.converted.reported","chem.add.nominal","chem.add.dose.mg.L.nominal","chem.add.measured","chem.add.dose.mg.L.measured","Nominal Dose Alternative Category","Nominal Dose Alternative Type","Nominal Dose Alternative Type Units","Measured Dose Alternative Category","Measured Dose Alternative Type","Measured Dose Alternative Type Units","effect_f","effect.metric","direction","lvl1_f","lvl2_f","lvl3_f","bio_f","target.cell.tissue","poly_f","density.g.cm3","density.reported.estimated","shape_f","charge","zetapotential.mV","zetapotential.media","size.length.um.used.for.conversions","size.width.um.used.for.conversions","size_f","particle.surface.area.um2","particle.volume.um3","mass.per.particle.mg","functional.group","size.length.mm.nominal","size.length.min.mm.nominal","size.length.max.mm.nominal","size.length.mm.measured","size.length.min.mm.measured","size.length.max.mm.measured","size.width.mm.nominal","size.width.min.mm.nominal","size.width.max.mm.nominal","size.width.mm.measured","size.width.min.mm.measured","size.width.max.mm.measured","size.height.mm.nominal","size.height.min.mm.nominal","size.height.max.mm.nominal","size.height.mm.measured","size.height.min.mm.measured","size.height.max.mm.measured","weather.biofoul_f","size.valid","shape.valid","polymer.valid","particle.source","sodium.azide","contaminant.screen","clean.method","sol.rinse","background.plastics","concentration.valid","particle.behavior","uptake.valid","uptake.valid.method","tissue.distribution","total.quality","tier_zero_tech_f","tier_zero_risk_f","af.time","acute.chronic_f","af.noec","dose.surface.area.um2.mL.master","particle.surface.area.um2.mg","polydispersity","size.length.min.um.used.for.conversions","size.width.min.um.used.for.conversions","size.height.min.um.used.for.conversions","size.length.max.um.used.for.conversions","size.width.max.um.used.for.conversions","size.height.max.um.used.for.conversions","particle.surface.area.um2.min","particle.surface.area.um2.max","particle.volume.um3.min","particle.volume.um3.max","mass.per.particle.mg.min","mass.per.particle.mg.max","dose.um3.mL.master","dose.um2.mL.master","dose.um2.ug.mL.master","body.length.cm","body.size.source","max.size.ingest.mm","max.size.ingest.um","alpha","a.sa","a.v","a.m","a.ssa","R.ave","p.ave","x2M_trans","EC_mono_p.particles.mL_trans","mu.p.mono","mu.p.poly_trans","EC_poly_p.particles.mL_trans","CF_bio_trans","EC_env_p.particles.mL_trans","x_LL_sa_trans","x_UL_sa_trans","mu.sa.poly_trans","mu.sa.mono","EC_poly_sa.particles.mL_trans","EC_env_sa.particles.mL_trans","x2M_ingest","EC_mono_p.particles.mL_ingest","mu.p.poly_ingest","EC_poly_p.particles.mL_ingest","CF_bio_ingest","EC_env_p.particles.mL_ingest","x_LL_v_ingest","x_UL_v_ingest","mu.v.poly_ingest","mu.v.mono","EC_poly_v.particles.mL_ingest","EC_env_v.particles.mL_ingest","particles.mL.ox.stress","particles.mL.food.dilution","dose_new"
"1",13,"Koelmans,Rochman",NA,"10.1002/etc.3093",2,"Y",2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,2,2,2,2,2,0,1,0,2,11,11,"Au",2015,"Hyalella azteca","Crustacea","Freshwater","Early","In Vivo",NA,"Particle Only","water","N","Y","N","hard reconstituted water","ethanol",NA,NA,NA,"25",NA,NA,10,NA,5,"3-5","3",2,"10",NA,NA,1000,NA,1000,"reported",0.599393782,"converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","NOEC",NA,"Fitness","Mortality","Mortality","Organism",NA,"Polyethylene",1.13,"reported","Fragment",NA,NA,NA,18.5,NA,"1µm < 100µm",2467.64272131785,1316.95627808413,5.99e-07,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Y","Y","N","commercial","unknown","N","Not Cleaned","No","N","Y","Not Evaluated","Y","microscopy flourescent particles","gut",22,"Red Criteria Passed","Red Criteria Passed",10,"Acute",1,2467642.72131785,4119603875.32196,"monodisperse",10,7.7,5.159,27,20.79,13.9293,721.005908347071,5256.13307185015,310.441714052231,6110.42425769007,0.000350799136879021,0.00690477941118978,1316956.27808413,2467642.72131785,4119603875321957,0.78,"Koelmans 2020",0.112,112,2.07,1.5,1.48,1.32,1.98,0.77,1.1,83,1000,1,4.10309701943436,243.718341356173,1.00881046026319,245.865612118104,3.14159265358979,21642.4317905801,260.752190247953,2467.64272131785,9463.55510560175,9546.93338180821,112,1000,4.32746160982392,231.082350385239,1.00634762240038,232.549173888876,0.35081117965086,492864.449004524,509.685014868067,1316.95627808413,2583.8630520166,2600.26443900508,9546.93338180821,2600.26443900508,954693.338180821
"2",14,"Koelmans,Rochman",NA,"10.1002/etc.3093",2,"Y",2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,2,2,2,2,2,0,1,0,2,11,11,"Au",2015,"Hyalella azteca","Crustacea","Freshwater","Early","In Vivo",NA,"Particle Only","water","N","Y","N","hard reconstituted water","ethanol",NA,NA,NA,"25",NA,NA,10,NA,5,"3-5","3",2,"10",NA,NA,10000,NA,10000,"reported",5.993937824,"converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","LOEC","increase","Fitness","Mortality","Mortality","Organism",NA,"Polyethylene",1.13,"reported","Fragment",NA,NA,NA,18.5,NA,"1µm < 100µm",2467.64272131785,1316.95627808413,5.99e-07,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Y","Y","N","commercial","unknown","N","Not Cleaned","No","N","Y","Not Evaluated","Y","microscopy flourescent particles","gut",22,"Red Criteria Passed","Red Criteria Passed",10,"Acute",2,24676427.2131785,4119603875.32196,"monodisperse",10,7.7,5.159,27,20.79,13.9293,721.005908347071,5256.13307185015,310.441714052231,6110.42425769007,0.000350799136879021,0.00690477941118978,13169562.7808413,24676427.2131785,41196038753219568,0.78,"Koelmans 2020",0.112,112,2.07,1.5,1.48,1.32,1.98,0.77,1.1,83,10000,1,4.10309701943436,2437.18341356173,1.00881046026319,2458.65612118104,3.14159265358979,21642.4317905801,260.752190247953,2467.64272131785,94635.5510560175,95469.3338180821,112,10000,4.32746160982392,2310.82350385239,1.00634762240038,2325.49173888876,0.35081117965086,492864.449004524,509.685014868067,1316.95627808413,25838.630520166,26002.6443900508,95469.3338180821,26002.6443900508,4773466.6909041
"3",16,"Koelmans,Rochman",NA,"10.1002/etc.3093",2,"Y",2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,2,2,2,2,2,0,1,0,2,11,11,"Au",2015,"Hyalella azteca","Crustacea","Freshwater","Early","In Vivo",NA,"Particle Only","water","N","Y","N","hard reconstituted water","ethanol",NA,NA,NA,"25",NA,NA,42,NA,3,"3-5","6",2,"10",NA,NA,5000,NA,5000,"reported",2.996968912,"converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","NOEC",NA,"Fitness","Growth","Body Mass","Organism",NA,"Polyethylene",1.13,"reported","Fragment",NA,NA,NA,18.5,NA,"1µm < 100µm",2467.64272131785,1316.95627808413,5.99e-07,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Y","Y","N","commercial","unknown","N","Not Cleaned","No","N","Y","Not Evaluated","Y","microscopy flourescent particles","gut",22,"Red Criteria Passed","Red Criteria Passed",1,"Chronic",1,12338213.6065893,4119603875.32196,"monodisperse",10,7.7,5.159,27,20.79,13.9293,721.005908347071,5256.13307185015,310.441714052231,6110.42425769007,0.000350799136879021,0.00690477941118978,6584781.39042064,12338213.6065893,20598019376609784,0.78,"Koelmans 2020",0.112,112,2.07,1.5,1.48,1.32,1.98,0.77,1.1,83,5000,1,4.10309701943436,1218.59170678087,1.00881046026319,1229.32806059052,3.14159265358979,21642.4317905801,260.752190247953,2467.64272131785,47317.7755280087,47734.666909041,112,5000,4.32746160982392,1155.41175192619,1.00634762240038,1162.74586944438,0.35081117965086,492864.449004524,509.685014868067,1316.95627808413,12919.315260083,13001.3221950254,47734.666909041,13001.3221950254,47734666.909041
"4",17,"Koelmans,Rochman",NA,"10.1002/etc.3093",2,"Y",2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,2,2,2,2,2,0,1,0,2,11,11,"Au",2015,"Hyalella azteca","Crustacea","Freshwater","Early","In Vivo",NA,"Particle Only","water","N","Y","N","hard reconstituted water","ethanol",NA,NA,NA,"25",NA,NA,42,NA,3,"3-5","6",2,"10",NA,NA,10000,NA,10000,"reported",5.993937824,"converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","LOEC","decrease","Fitness","Growth","Body Mass","Organism",NA,"Polyethylene",1.13,"reported","Fragment",NA,NA,NA,18.5,NA,"1µm < 100µm",2467.64272131785,1316.95627808413,5.99e-07,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Y","Y","N","commercial","unknown","N","Not Cleaned","No","N","Y","Not Evaluated","Y","microscopy flourescent particles","gut",22,"Red Criteria Passed","Red Criteria Passed",1,"Chronic",2,24676427.2131785,4119603875.32196,"monodisperse",10,7.7,5.159,27,20.79,13.9293,721.005908347071,5256.13307185015,310.441714052231,6110.42425769007,0.000350799136879021,0.00690477941118978,13169562.7808413,24676427.2131785,41196038753219568,0.78,"Koelmans 2020",0.112,112,2.07,1.5,1.48,1.32,1.98,0.77,1.1,83,10000,1,4.10309701943436,2437.18341356173,1.00881046026319,2458.65612118104,3.14159265358979,21642.4317905801,260.752190247953,2467.64272131785,94635.5510560175,95469.3338180821,112,10000,4.32746160982392,2310.82350385239,1.00634762240038,2325.49173888876,0.35081117965086,492864.449004524,509.685014868067,1316.95627808413,25838.630520166,26002.6443900508,95469.3338180821,26002.6443900508,47734666.909041
"5",19,"Koelmans,Rochman",NA,"10.1002/etc.3093",2,"Y",2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,2,2,2,2,2,0,1,0,2,11,11,"Au",2015,"Hyalella azteca","Crustacea","Freshwater","Early","In Vivo",NA,"Particle Only","water","N","Y","N","hard reconstituted water","ethanol",NA,NA,NA,"25",NA,NA,42,NA,3,"3-5","6",2,"10",NA,NA,5000,NA,5000,"reported",2.996968912,"converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","LOEC","decrease","Fitness","Reproduction","Fecundity","Organism",NA,"Polyethylene",1.13,"reported","Fragment",NA,NA,NA,18.5,NA,"1µm < 100µm",2467.64272131785,1316.95627808413,5.99e-07,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Y","Y","N","commercial","unknown","N","Not Cleaned","No","N","Y","Not Evaluated","Y","microscopy flourescent particles","gut",22,"Red Criteria Passed","Red Criteria Passed",1,"Chronic",2,12338213.6065893,4119603875.32196,"monodisperse",10,7.7,5.159,27,20.79,13.9293,721.005908347071,5256.13307185015,310.441714052231,6110.42425769007,0.000350799136879021,0.00690477941118978,6584781.39042064,12338213.6065893,20598019376609784,0.78,"Koelmans 2020",0.112,112,2.07,1.5,1.48,1.32,1.98,0.77,1.1,83,5000,1,4.10309701943436,1218.59170678087,1.00881046026319,1229.32806059052,3.14159265358979,21642.4317905801,260.752190247953,2467.64272131785,47317.7755280087,47734.666909041,112,5000,4.32746160982392,1155.41175192619,1.00634762240038,1162.74586944438,0.35081117965086,492864.449004524,509.685014868067,1316.95627808413,12919.315260083,13001.3221950254,47734.666909041,13001.3221950254,23867333.4545205
"6",22,"Koelmans,Rochman",NA,"10.1002/etc.3093",2,"Y",2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,2,2,2,2,2,0,1,0,2,11,11,"Au",2015,"Hyalella azteca","Crustacea","Freshwater","Early","In Vivo",NA,"Particle Only","water","N","Y","N","hard reconstituted water","ethanol",NA,NA,NA,"25",NA,NA,10,NA,5,"3-5","3",2,"10",46000,NA,NA,NA,4600,"reported",27.57211399,"converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC50",NA,"Fitness","Mortality","Mortality","Organism",NA,"Polyethylene",1.13,"reported","Fragment",NA,NA,NA,18.5,NA,"1µm < 100µm",2467.64272131785,1316.95627808413,5.99e-07,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Y","Y","N","commercial","unknown","N","Not Cleaned","No","N","Y","Not Evaluated","Y","microscopy flourescent particles","gut",22,"Red Criteria Passed","Red Criteria Passed",10,"Acute",10,11351156.5180621,4119603875.32196,"monodisperse",10,7.7,5.159,27,20.79,13.9293,721.005908347071,5256.13307185015,310.441714052231,6110.42425769007,0.000350799136879021,0.00690477941118978,6057998.87918699,11351156.5180621,18950177826481004,0.78,"Koelmans 2020",0.112,112,2.07,1.5,1.48,1.32,1.98,0.77,1.1,83,4600,1,4.10309701943436,1121.1043702384,1.00881046026319,1130.98181574328,3.14159265358979,21642.4317905801,260.752190247953,2467.64272131785,43532.353485768,43915.8935563178,112,4600,4.32746160982392,1062.9788117721,1.00634762240038,1069.72619988883,0.35081117965086,492864.449004524,509.685014868067,1316.95627808413,11885.7700392763,11961.2164194234,43915.8935563178,11961.2164194234,439158.935563178
"7",23,"Koelmans,Rochman",NA,"10.1002/etc.3093",2,"Y",2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,2,2,2,2,2,0,1,0,2,11,11,"Au",2015,"Hyalella azteca","Crustacea","Freshwater","Early","In Vivo",NA,"Particle Only","water","N","Y","N","hard reconstituted water","ethanol",NA,NA,NA,"25",NA,NA,10,NA,3,"3-5","3",2,"10",NA,NA,22.5,NA,22.5,"reported",0.293788,"converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","NOEC",NA,"Fitness","Growth","Body Mass","Organism",NA,"Polypropylene",0.875,"estimated","Fiber",NA,NA,NA,47.5,20,"1µm < 100µm",3612.83155162826,14922.5651045515,1.31e-05,NA,NA,NA,NA,NA,0.02,0.075,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,"No","Y","Y","Y","lab","N","N","Not Cleaned","No","N","Y","Not Evaluated","Y","microscopy","gut",22,"Red Criteria Passed","Red Criteria Passed",10,"Acute",1,81288.7099116359,275788668.063226,"monodisperse",20,15.4,15.4,75,57.75,57.75,3588.65163867855,50465.4136689171,2483.53371241785,130967.598115785,0.00217309199836562,0.114596648351312,335757.714852409,81288.7099116359,6205245031422.59,0.78,"Koelmans 2020",0.112,112,2.07,1.5,1.48,1.32,1.98,0.77,1.1,83,22.5,1,4.10309701943436,5.4836626805139,1.00881046026319,5.53197627265733,3.14159265358979,21642.4317905801,260.752190247953,3612.83155162826,311.746987951807,314.493622401327,112,22.5,4.32746160982392,5.19935288366787,1.00634762240038,5.2323564124997,0.35081117965086,492864.449004524,509.685014868067,14922.5651045515,658.755319575799,662.936849598704,314.493622401327,662.936849598704,31449.3622401327
"8",24,"Koelmans,Rochman",NA,"10.1002/etc.3093",2,"Y",2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,2,2,2,2,2,0,1,0,2,11,11,"Au",2015,"Hyalella azteca","Crustacea","Freshwater","Early","In Vivo",NA,"Particle Only","water","N","Y","N","hard reconstituted water","ethanol",NA,NA,NA,"25",NA,NA,10,NA,3,"3-5","3",2,"10",NA,NA,45,NA,45,"reported",0.587576001,"converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","LOEC","decrease","Fitness","Growth","Body Mass","Organism",NA,"Polypropylene",0.875,"estimated","Fiber",NA,NA,NA,47.5,20,"1µm < 100µm",3612.83155162826,14922.5651045515,1.31e-05,NA,NA,NA,NA,NA,0.02,0.075,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,"No","Y","Y","Y","lab","N","N","Not Cleaned","No","N","Y","Not Evaluated","Y","microscopy","gut",22,"Red Criteria Passed","Red Criteria Passed",10,"Acute",2,162577.419823272,275788668.063226,"monodisperse",20,15.4,15.4,75,57.75,57.75,3588.65163867855,50465.4136689171,2483.53371241785,130967.598115785,0.00217309199836562,0.114596648351312,671515.429704818,162577.419823272,12410490062845.2,0.78,"Koelmans 2020",0.112,112,2.07,1.5,1.48,1.32,1.98,0.77,1.1,83,45,1,4.10309701943436,10.9673253610278,1.00881046026319,11.0639525453147,3.14159265358979,21642.4317905801,260.752190247953,3612.83155162826,623.493975903615,628.987244802655,112,45,4.32746160982392,10.3987057673357,1.00634762240038,10.4647128249994,0.35081117965086,492864.449004524,509.685014868067,14922.5651045515,1317.5106391516,1325.87369919741,628.987244802655,1325.87369919741,31449.3622401327
"9",26,"Koelmans,Rochman",NA,"10.1002/etc.3093",2,"Y",2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,2,2,2,2,2,0,1,0,2,11,11,"Au",2015,"Hyalella azteca","Crustacea","Freshwater","Early","In Vivo",NA,"Particle Only","water","N","Y","N","hard reconstituted water","ethanol",NA,NA,NA,"25",NA,NA,10,NA,3,"3-5","3",2,"10",NA,NA,22.5,NA,22.5,"reported",0.293788,"converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","NOEC",NA,"Fitness","Mortality","Mortality","Organism",NA,"Polypropylene",0.875,"estimated","Fiber",NA,NA,NA,47.5,20,"1µm < 100µm",3612.83155162826,14922.5651045515,1.31e-05,NA,NA,NA,NA,NA,0.02,0.075,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,"No","Y","Y","Y","lab","N","N","Not Cleaned","No","N","Y","Not Evaluated","Y","microscopy","gut",22,"Red Criteria Passed","Red Criteria Passed",10,"Acute",1,81288.7099116359,275788668.063226,"monodisperse",20,15.4,15.4,75,57.75,57.75,3588.65163867855,50465.4136689171,2483.53371241785,130967.598115785,0.00217309199836562,0.114596648351312,335757.714852409,81288.7099116359,6205245031422.59,0.78,"Koelmans 2020",0.112,112,2.07,1.5,1.48,1.32,1.98,0.77,1.1,83,22.5,1,4.10309701943436,5.4836626805139,1.00881046026319,5.53197627265733,3.14159265358979,21642.4317905801,260.752190247953,3612.83155162826,311.746987951807,314.493622401327,112,22.5,4.32746160982392,5.19935288366787,1.00634762240038,5.2323564124997,0.35081117965086,492864.449004524,509.685014868067,14922.5651045515,658.755319575799,662.936849598704,314.493622401327,662.936849598704,31449.3622401327
"10",27,"Koelmans,Rochman",NA,"10.1002/etc.3093",2,"Y",2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,2,2,2,2,2,0,1,0,2,11,11,"Au",2015,"Hyalella azteca","Crustacea","Freshwater","Early","In Vivo",NA,"Particle Only","water","N","Y","N","hard reconstituted water","ethanol",NA,NA,NA,"25",NA,NA,10,NA,3,"3-5","3",2,"10",NA,NA,45,NA,45,"reported",0.587576001,"converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","LOEC","increase","Fitness","Mortality","Mortality","Organism",NA,"Polypropylene",0.875,"estimated","Fiber",NA,NA,NA,47.5,20,"1µm < 100µm",3612.83155162826,14922.5651045515,1.31e-05,NA,NA,NA,NA,NA,0.02,0.075,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,"No","Y","Y","Y","lab","N","N","Not Cleaned","No","N","Y","Not Evaluated","Y","microscopy","gut",22,"Red Criteria Passed","Red Criteria Passed",10,"Acute",2,162577.419823272,275788668.063226,"monodisperse",20,15.4,15.4,75,57.75,57.75,3588.65163867855,50465.4136689171,2483.53371241785,130967.598115785,0.00217309199836562,0.114596648351312,671515.429704818,162577.419823272,12410490062845.2,0.78,"Koelmans 2020",0.112,112,2.07,1.5,1.48,1.32,1.98,0.77,1.1,83,45,1,4.10309701943436,10.9673253610278,1.00881046026319,11.0639525453147,3.14159265358979,21642.4317905801,260.752190247953,3612.83155162826,623.493975903615,628.987244802655,112,45,4.32746160982392,10.3987057673357,1.00634762240038,10.4647128249994,0.35081117965086,492864.449004524,509.685014868067,14922.5651045515,1317.5106391516,1325.87369919741,628.987244802655,1325.87369919741,31449.3622401327
